analysis_version,analysis_status,universe,application_group,dimension,total_N,available_n,score_0_n,score_1_n,score_2_n,score_3_n,score_4_n,score_ge3_n,median_score,unknown_n,not_reported_n,unclear_n,not_applicable_n,unscored_n,human_gate_status
IJGGC-V2-WP8-R2-FULL-57-PAPER-REVIEW-2026-07-30,full_57_paper_independent_review_with_author_adjudication,main_claim_eligible_conservative,ALL,field_evidence_score,57,56,23,24,1,8,0,8,1.0,0,1,0,0,1,full_57_paper_independent_review_completed_and_author_adjudicated
IJGGC-V2-WP8-R2-FULL-57-PAPER-REVIEW-2026-07-30,full_57_paper_independent_review_with_author_adjudication,main_claim_eligible_conservative,ALL,physical_consistency_score,57,57,0,11,4,32,10,42,3.0,0,0,0,0,0,full_57_paper_independent_review_completed_and_author_adjudicated
IJGGC-V2-WP8-R2-FULL-57-PAPER-REVIEW-2026-07-30,full_57_paper_independent_review_with_author_adjudication,main_claim_eligible_conservative,ALL,uncertainty_score,57,56,24,9,9,10,4,14,1.0,0,1,0,0,1,full_57_paper_independent_review_completed_and_author_adjudicated
IJGGC-V2-WP8-R2-FULL-57-PAPER-REVIEW-2026-07-30,full_57_paper_independent_review_with_author_adjudication,main_claim_eligible_conservative,ALL,transferability_score,57,56,33,6,10,7,0,7,0.0,0,1,0,0,1,full_57_paper_independent_review_completed_and_author_adjudicated
IJGGC-V2-WP8-R2-FULL-57-PAPER-REVIEW-2026-07-30,full_57_paper_independent_review_with_author_adjudication,main_claim_eligible_conservative,ALL,decision_readiness_score,57,57,0,15,31,9,2,11,2.0,0,0,0,0,0,full_57_paper_independent_review_completed_and_author_adjudicated
IJGGC-V2-WP8-R2-FULL-57-PAPER-REVIEW-2026-07-30,full_57_paper_independent_review_with_author_adjudication,main_claim_eligible_conservative,Cross-cutting and other,field_evidence_score,1,1,0,1,0,0,0,0,1.0,0,0,0,0,0,full_57_paper_independent_review_completed_and_author_adjudicated
IJGGC-V2-WP8-R2-FULL-57-PAPER-REVIEW-2026-07-30,full_57_paper_independent_review_with_author_adjudication,main_claim_eligible_conservative,Cross-cutting and other,physical_consistency_score,1,1,0,0,0,1,0,1,3.0,0,0,0,0,0,full_57_paper_independent_review_completed_and_author_adjudicated
IJGGC-V2-WP8-R2-FULL-57-PAPER-REVIEW-2026-07-30,full_57_paper_independent_review_with_author_adjudication,main_claim_eligible_conservative,Cross-cutting and other,uncertainty_score,1,1,0,1,0,0,0,0,1.0,0,0,0,0,0,full_57_paper_independent_review_completed_and_author_adjudicated
IJGGC-V2-WP8-R2-FULL-57-PAPER-REVIEW-2026-07-30,full_57_paper_independent_review_with_author_adjudication,main_claim_eligible_conservative,Cross-cutting and other,transferability_score,1,1,1,0,0,0,0,0,0.0,0,0,0,0,0,full_57_paper_independent_review_completed_and_author_adjudicated
IJGGC-V2-WP8-R2-FULL-57-PAPER-REVIEW-2026-07-30,full_57_paper_independent_review_with_author_adjudication,main_claim_eligible_conservative,Cross-cutting and other,decision_readiness_score,1,1,0,1,0,0,0,0,1.0,0,0,0,0,0,full_57_paper_independent_review_completed_and_author_adjudicated
