analysis_version,analysis_status,universe,application_group,dimension,total_N,available_n,score_0_n,score_1_n,score_2_n,score_3_n,score_4_n,score_ge3_n,score_ge3_proportion,score_ge3_wilson95_low,score_ge3_wilson95_high,median_score,unknown_n,not_reported_n,unclear_n,not_applicable_n,unscored_n
WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,author_verified_wp9_8_r1_controlled_integration,main_claim_eligible_conservative,ALL,field_evidence_score,57,56,23,24,4,5,0,5,0.089,0.039,0.193,1.0,0,1,0,0,1
WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,author_verified_wp9_8_r1_controlled_integration,main_claim_eligible_conservative,ALL,physical_consistency_score,57,57,0,11,5,32,9,41,0.719,0.592,0.819,3.0,0,0,0,0,0
WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,author_verified_wp9_8_r1_controlled_integration,main_claim_eligible_conservative,ALL,uncertainty_score,57,56,24,9,10,10,3,13,0.232,0.141,0.358,1.0,0,1,0,0,1
WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,author_verified_wp9_8_r1_controlled_integration,main_claim_eligible_conservative,ALL,transferability_score,57,56,34,6,10,6,0,6,0.107,0.050,0.215,0.0,0,1,0,0,1
WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,author_verified_wp9_8_r1_controlled_integration,main_claim_eligible_conservative,ALL,decision_readiness_score,57,57,0,15,34,8,0,8,0.140,0.073,0.253,2.0,0,0,0,0,0
WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,author_verified_wp9_8_r1_controlled_integration,main_claim_eligible_conservative,Cross-cutting and other,field_evidence_score,1,1,0,1,0,0,0,0,0.000,0.000,0.793,1.0,0,0,0,0,0
WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,author_verified_wp9_8_r1_controlled_integration,main_claim_eligible_conservative,Cross-cutting and other,physical_consistency_score,1,1,0,0,0,1,0,1,1.000,0.207,1.000,3.0,0,0,0,0,0
WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,author_verified_wp9_8_r1_controlled_integration,main_claim_eligible_conservative,Cross-cutting and other,uncertainty_score,1,1,0,1,0,0,0,0,0.000,0.000,0.793,1.0,0,0,0,0,0
WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,author_verified_wp9_8_r1_controlled_integration,main_claim_eligible_conservative,Cross-cutting and other,transferability_score,1,1,1,0,0,0,0,0,0.000,0.000,0.793,0.0,0,0,0,0,0
WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,author_verified_wp9_8_r1_controlled_integration,main_claim_eligible_conservative,Cross-cutting and other,decision_readiness_score,1,1,0,1,0,0,0,0,0.000,0.000,0.793,1.0,0,0,0,0,0
