analysis_universe,metric,N,positive,available,missing_or_unavailable,observed_fraction_of_total,positive_paper_ids,interpretation
Peer-reviewed journal-only sensitivity set,synthetic_led_evidence,36,28,35,1,0.778,Baek2023_WellboreLeakage;Diplas2026_DOEInjection;ESR_Chan2024_124;ESR_Kadeethum2024_128;ESR_Kanakaki2025_045;ESR_Liu2025_121;ESR_Lozano2025_215;ESR_Nunez2023_166;ESR_Park2025_223;ESR_Tang2024_135;ESR_Zhang2025_115;ESR_Zheng2025_207;Gahlot2025_DigitalShadow;Mo2018_EncoderDecoderUQ;Seabra2024_AIEnhancedDA;Shokouhi2021_PhysicsInformedSite;TARGET_DRLGeoRisk2026_214483;TARGET_JointInversion2023_2022JB025372;Tang2022_DLDataAssimilationForecasting;Teng2024_LikelihoodFreeDA;VoThanh2026_DigitalTwinGNN;Wen2021_CCSNet;Wen2022_UFNO;Wen2023_NestedFNO;Witte2023_WNO;Yan2021_RobustDLWorkflow;Yin2022_XAILeakage;Zhong2019_PressureAnomaly,Descriptive sensitivity count only; the corpus is not a random sample and no population-prevalence inference is intended.
Peer-reviewed journal-only sensitivity set,score_ge3::field_evidence_score,36,4,35,1,0.111,Arafath2025_MalayBasinML;ESR_Wang2024_089;ESR_Zhang2025_178;Lu2025_GISMLSite,Descriptive sensitivity count only; the corpus is not a random sample and no population-prevalence inference is intended.
Peer-reviewed journal-only sensitivity set,score_ge3::physical_consistency_score,36,28,36,0,0.778,Baek2023_WellboreLeakage;Diplas2026_DOEInjection;ESR_Chan2024_124;ESR_Kanakaki2025_045;ESR_Lozano2025_215;ESR_Meng2025_211;ESR_Nunez2023_166;ESR_Park2025_223;ESR_Tang2022_226;ESR_Tang2024_135;ESR_Zhang2025_115;ESR_Zhang2025_178;ESR_Zheng2025_207;Gahlot2025_DigitalShadow;Leong2024_SeisCO2Net;Mo2018_EncoderDecoderUQ;Seabra2024_AIEnhancedDA;TARGET_DRLGeoRisk2026_214483;TARGET_JointInversion2023_2022JB025372;Tang2022_DLDataAssimilationForecasting;Teng2024_LikelihoodFreeDA;VoThanh2026_DigitalTwinGNN;Wen2021_CCSNet;Wen2022_UFNO;Wen2023_NestedFNO;Witte2023_WNO;Yan2021_RobustDLWorkflow;Yin2022_XAILeakage,Descriptive sensitivity count only; the corpus is not a random sample and no population-prevalence inference is intended.
Peer-reviewed journal-only sensitivity set,score_ge3::uncertainty_score,36,8,35,1,0.222,ESR_Lozano2025_215;ESR_Tang2022_226;Gahlot2025_DigitalShadow;Mo2018_EncoderDecoderUQ;Seabra2024_AIEnhancedDA;Tang2022_DLDataAssimilationForecasting;Teng2024_LikelihoodFreeDA;VoThanh2026_DigitalTwinGNN,Descriptive sensitivity count only; the corpus is not a random sample and no population-prevalence inference is intended.
Peer-reviewed journal-only sensitivity set,score_ge3::transferability_score,36,4,35,1,0.111,Leong2024_SeisCO2Net;Seabra2024_AIEnhancedDA;Tang2022_DLDataAssimilationForecasting;Zhong2019_PressureAnomaly,Descriptive sensitivity count only; the corpus is not a random sample and no population-prevalence inference is intended.
Peer-reviewed journal-only sensitivity set,score_ge3::decision_readiness_score,36,4,36,0,0.111,Diplas2026_DOEInjection;ESR_Tang2022_226;TARGET_DRLGeoRisk2026_214483;Zhong2019_PressureAnomaly,Descriptive sensitivity count only; the corpus is not a random sample and no population-prevalence inference is intended.
Peer-reviewed journal-only sensitivity set,direct_field_validation,36,4,35,1,0.111,Arafath2025_MalayBasinML;ESR_Wang2024_089;ESR_Zhang2025_178;Lu2025_GISMLSite,Descriptive sensitivity count only; the corpus is not a random sample and no population-prevalence inference is intended.
Peer-reviewed journal-only sensitivity set,controlled_release_ml_validation,36,4,35,1,0.111,ESR_Wang2024_089;ESR_Zhang2025_178;Leong2024_SeisCO2Net;Zhong2019_PressureAnomaly,Descriptive sensitivity count only; the corpus is not a random sample and no population-prevalence inference is intended.
Peer-reviewed journal-only sensitivity set,explicit_ood_testing,36,8,34,2,0.222,ESR_Chan2024_124;ESR_Tang2022_226;ESR_Zhang2025_115;Leong2024_SeisCO2Net;Seabra2024_AIEnhancedDA;Tang2022_DLDataAssimilationForecasting;Wen2022_UFNO;Zhong2019_PressureAnomaly,Descriptive sensitivity count only; the corpus is not a random sample and no population-prevalence inference is intended.
Peer-reviewed journal-only sensitivity set,explicit_cross_site_testing,36,0,35,1,0.000,,Descriptive sensitivity count only; the corpus is not a random sample and no population-prevalence inference is intended.
