paper_id,dimension,priority,current_category_field,current_category,current_score_field,current_score,boundary_trigger,full_text_question,existing_locator_or_note,pdf_path,required_action,automatic_writeback_allowed,recheck_status
Baek2023_WellboreLeakage,decision_readiness,high,decision_metric_used,not reported,decision_readiness_score,3,score_at_least_3_without_explicit_decision_metric,"Which evaluated threshold, alarm, update, optimization objective, or auditable action supports score 3 or 4?",Automated full-text text extraction; page-specific manual notes still recommended.,literature\full_text_verified_pdfs\Baek2023_WellboreLeakage.pdf,Named-author full-text recheck against WP9.3 codebook; record page or section locator.,no,targeted_author_recheck_required
Crain2023_MonitoringHistory,decision_readiness,high,decision_metric_used,not reported,decision_readiness_score,3,score_at_least_3_without_explicit_decision_metric,"Which evaluated threshold, alarm, update, optimization objective, or auditable action supports score 3 or 4?",Automated full-text text extraction; page-specific manual notes still recommended.,literature\full_text_verified_pdfs\Crain2023_MonitoringHistory.pdf,Named-author full-text recheck against WP9.3 codebook; record page or section locator.,no,targeted_author_recheck_required
ESR_Tang2022_226,decision_readiness,high,decision_metric_used,explicit decision metric unknown from metadata,decision_readiness_score,3,score_at_least_3_without_explicit_decision_metric,"Which evaluated threshold, alarm, update, optimization objective, or auditable action supports score 3 or 4?","Full text extracted; evidence terms detected: mass, plume, geomechanics, rock/sensor physics, uncertainty, OOD/transfer",literature\full_text_verified_pdfs\ESR_Tang2022_226.pdf,Named-author full-text recheck against WP9.3 codebook; record page or section locator.,no,targeted_author_recheck_required
Leong2024_SeisCO2Net,decision_readiness,high,decision_metric_used,not reported,decision_readiness_score,3,score_at_least_3_without_explicit_decision_metric,"Which evaluated threshold, alarm, update, optimization objective, or auditable action supports score 3 or 4?",Automated full-text text extraction; page-specific manual notes still recommended.,literature\full_text_verified_pdfs\Leong2024_SeisCO2Net.pdf,Named-author full-text recheck against WP9.3 codebook; record page or section locator.,no,targeted_author_recheck_required
Lin2020_PressureLeakage,decision_readiness,high,decision_metric_used,not reported,decision_readiness_score,4,score_at_least_3_without_explicit_decision_metric,"Which evaluated threshold, alarm, update, optimization objective, or auditable action supports score 3 or 4?",Automated full-text text extraction; page-specific manual notes still recommended.,literature\full_text_verified_pdfs\Lin2020_PressureLeakage.pdf,Named-author full-text recheck against WP9.3 codebook; record page or section locator.,no,targeted_author_recheck_required
Lu2022_BayesianOptimization,decision_readiness,high,decision_metric_used,not reported,decision_readiness_score,3,score_at_least_3_without_explicit_decision_metric,"Which evaluated threshold, alarm, update, optimization objective, or auditable action supports score 3 or 4?",Automated full-text text extraction; page-specific manual notes still recommended.,literature\full_text_verified_pdfs\Lu2022_BayesianOptimization.pdf,Named-author full-text recheck against WP9.3 codebook; record page or section locator.,no,targeted_author_recheck_required
Wang2025_4DHistoryMatching,decision_readiness,high,decision_metric_used,not reported,decision_readiness_score,3,score_at_least_3_without_explicit_decision_metric,"Which evaluated threshold, alarm, update, optimization objective, or auditable action supports score 3 or 4?",Automated full-text text extraction; page-specific manual notes still recommended.,literature\full_text_verified_pdfs\Wang2025_4DHistoryMatching.pdf,Named-author full-text recheck against WP9.3 codebook; record page or section locator.,no,targeted_author_recheck_required
Wen2023_NestedFNO,decision_readiness,high,decision_metric_used,not reported,decision_readiness_score,3,score_at_least_3_without_explicit_decision_metric,"Which evaluated threshold, alarm, update, optimization objective, or auditable action supports score 3 or 4?",Automated full-text extraction from lawful PDF; page-level notes still needed before detailed prose.,literature\full_text_verified_pdfs\Wen2023_NestedFNO.pdf,Named-author full-text recheck against WP9.3 codebook; record page or section locator.,no,targeted_author_recheck_required
Zhong2019_PressureAnomaly,decision_readiness,high,decision_metric_used,not reported,decision_readiness_score,4,score_at_least_3_without_explicit_decision_metric,"Which evaluated threshold, alarm, update, optimization objective, or auditable action supports score 3 or 4?",Automated full-text extraction from lawful PDF; page-level notes still needed before detailed prose.,literature\full_text_verified_pdfs\Zhong2019_PressureAnomaly.pdf,Named-author full-text recheck against WP9.3 codebook; record page or section locator.,no,targeted_author_recheck_required
ESR_Chen2024_119,physical_consistency,high,physical_diagnostic_fields,,physical_consistency_score,3,score_at_least_3_without_explicit_diagnostic_field,"Which decision-relevant physical diagnostic was quantitatively checked, and where is it reported?",Automated full-text text extraction; page-specific manual notes still recommended.,literature\full_text_verified_pdfs\ESR_Chen2024_119.pdf,Named-author full-text recheck against WP9.3 codebook; record page or section locator.,no,targeted_author_recheck_required
ESR_Falola2024_123,physical_consistency,high,physical_diagnostic_fields,,physical_consistency_score,3,score_at_least_3_without_explicit_diagnostic_field,"Which decision-relevant physical diagnostic was quantitatively checked, and where is it reported?",User-supplied local full-text PDF ingested on 2026-05-31; automated text extraction completed. Human page-level verification is still recommended before detailed prose claims.,literature\full_text_verified_pdfs\ESR_Falola2024_123.pdf,Named-author full-text recheck against WP9.3 codebook; record page or section locator.,no,targeted_author_recheck_required
ESR_Lozano2025_215,physical_consistency,high,physical_diagnostic_fields,,physical_consistency_score,3,score_at_least_3_without_explicit_diagnostic_field,"Which decision-relevant physical diagnostic was quantitatively checked, and where is it reported?",Local full-text PDF ingested on 2026-05-31; automated text extraction completed. Human page-level verification is still recommended before detailed prose claims.,literature\full_text_verified_pdfs\ESR_Lozano2025_215.pdf,Named-author full-text recheck against WP9.3 codebook; record page or section locator.,no,targeted_author_recheck_required
ESR_Meng2025_211,physical_consistency,high,physical_diagnostic_fields,,physical_consistency_score,4,score_at_least_3_without_explicit_diagnostic_field,"Which decision-relevant physical diagnostic was quantitatively checked, and where is it reported?","Full text extracted; evidence terms detected: geomechanics, geochemistry, rock/sensor physics, uncertainty",literature\full_text_verified_pdfs\ESR_Meng2025_211.pdf,Named-author full-text recheck against WP9.3 codebook; record page or section locator.,no,targeted_author_recheck_required
ESR_Nunez2023_166,physical_consistency,high,physical_diagnostic_fields,,physical_consistency_score,3,score_at_least_3_without_explicit_diagnostic_field,"Which decision-relevant physical diagnostic was quantitatively checked, and where is it reported?",User-supplied local full-text PDF ingested on 2026-05-31; automated text extraction completed. Human page-level verification is still recommended before detailed prose claims.,literature\full_text_verified_pdfs\ESR_Nunez2023_166.pdf,Named-author full-text recheck against WP9.3 codebook; record page or section locator.,no,targeted_author_recheck_required
ESR_Park2025_223,physical_consistency,high,physical_diagnostic_fields,,physical_consistency_score,4,score_at_least_3_without_explicit_diagnostic_field,"Which decision-relevant physical diagnostic was quantitatively checked, and where is it reported?",Local full-text PDF ingested on 2026-05-31; automated text extraction completed. Human page-level verification is still recommended before detailed prose claims.,literature\full_text_verified_pdfs\ESR_Park2025_223.pdf,Named-author full-text recheck against WP9.3 codebook; record page or section locator.,no,targeted_author_recheck_required
ESR_Tariq2023_174,physical_consistency,high,physical_diagnostic_fields,,physical_consistency_score,3,score_at_least_3_without_explicit_diagnostic_field,"Which decision-relevant physical diagnostic was quantitatively checked, and where is it reported?",User-supplied local full-text PDF ingested on 2026-05-31; automated text extraction completed. Human page-level verification is still recommended before detailed prose claims.,literature\full_text_verified_pdfs\ESR_Tariq2023_174.pdf,Named-author full-text recheck against WP9.3 codebook; record page or section locator.,no,targeted_author_recheck_required
