paper_id,title,decision_package_id,decision_package,decision_claim_scope,figure_application_group,mapping_basis,reclassification_note
Arafath2025_MalayBasinML,Permeability Prediction and Potential Site Assessment for CO2 Storage from Core Data and Well-Log Data in Malay Basin Using Advanced Machine Learning Algorithms,P1_screening_capacity,Site screening and capacity triage,Prioritize sites or intervals for further characterization; do not treat a ranking as certification of dynamic capacity or containment.,Screening and characterization,Decision package follows the WP5 decision supported by the paper; figure group follows the dominant ML application and is used only for compact visual aggregation.,The two classifications answer different questions; the paper remains a single quantitative record.
Attanasi2025_ResourceML,Machine learning provides reconnaissance-type estimates of geologic carbon dioxide storage resources,P1_screening_capacity,Site screening and capacity triage,Prioritize sites or intervals for further characterization; do not treat a ranking as certification of dynamic capacity or containment.,Screening and characterization,Decision package follows the WP5 decision supported by the paper; figure group follows the dominant ML application and is used only for compact visual aggregation.,The two classifications answer different questions; the paper remains a single quantitative record.
ESR_Vishal2025_213,"AI-Driven Reservoir Characterization for CO2 Storage: Integrating CNNs for Seismic Interpretation, Machine Learning, and Statistical Validation for Uncertainty Quantification, Risk Mitigation, and Storage Optimization in the Cauvery Basin",P1_screening_capacity,Site screening and capacity triage,Prioritize sites or intervals for further characterization; do not treat a ranking as certification of dynamic capacity or containment.,Operation and control,Decision package follows the WP5 decision supported by the paper; figure group follows the dominant ML application and is used only for compact visual aggregation.,The two classifications answer different questions; the paper remains a single quantitative record.
Lu2025_GISMLSite,Optimisation study of carbon dioxide geological storage sites based on GIS and machine learning algorithms,P1_screening_capacity,Site screening and capacity triage,Prioritize sites or intervals for further characterization; do not treat a ranking as certification of dynamic capacity or containment.,Screening and characterization,Decision package follows the WP5 decision supported by the paper; figure group follows the dominant ML application and is used only for compact visual aggregation.,The two classifications answer different questions; the paper remains a single quantitative record.
Nassabeh2024_OffshoreSite,Sub-surface geospatial intelligence in CCUS: A machine learning approach for offshore storage site selection,P1_screening_capacity,Site screening and capacity triage,Prioritize sites or intervals for further characterization; do not treat a ranking as certification of dynamic capacity or containment.,Screening and characterization,Decision package follows the WP5 decision supported by the paper; figure group follows the dominant ML application and is used only for compact visual aggregation.,The two classifications answer different questions; the paper remains a single quantitative record.
Diplas2026_DOEInjection,A Fully Automated Design of Experiments-Based Method for Rapidly Screening Near-Optimal CO2 Injection Strategies,P2_pressure_control,Pressure management and injection control,"Choose rates, schedules, wells, or control actions while respecting predeclared pressure and risk constraints.",Operation and control,Decision package follows the WP5 decision supported by the paper; figure group follows the dominant ML application and is used only for compact visual aggregation.,The two classifications answer different questions; the paper remains a single quantitative record.
ESR_Chan2024_124,Accelerated Co2 Storage Optimization Using Multi-Resolution Fourier Neural Operator at the Illinois Basin Decatur Project (Ibdp),P2_pressure_control,Pressure management and injection control,"Choose rates, schedules, wells, or control actions while respecting predeclared pressure and risk constraints.",Operation and control,Decision package follows the WP5 decision supported by the paper; figure group follows the dominant ML application and is used only for compact visual aggregation.,The two classifications answer different questions; the paper remains a single quantitative record.
ESR_Chen2024_119,Optimization of pressure management strategies for geological CO2 storage using surrogate model-based reinforcement learning,P2_pressure_control,Pressure management and injection control,"Choose rates, schedules, wells, or control actions while respecting predeclared pressure and risk constraints.",Operation and control,Decision package follows the WP5 decision supported by the paper; figure group follows the dominant ML application and is used only for compact visual aggregation.,The two classifications answer different questions; the paper remains a single quantitative record.
ESR_Wu2025_042,A Lightweight Machine Learning-Driven Framework for Prediction and Multi-Objective Optimization of CO2 Geological Storage,P2_pressure_control,Pressure management and injection control,"Choose rates, schedules, wells, or control actions while respecting predeclared pressure and risk constraints.",Operation and control,Decision package follows the WP5 decision supported by the paper; figure group follows the dominant ML application and is used only for compact visual aggregation.,The two classifications answer different questions; the paper remains a single quantitative record.
Lu2022_BayesianOptimization,Bayesian Optimization for Field-Scale Geological Carbon Storage,P2_pressure_control,Pressure management and injection control,"Choose rates, schedules, wells, or control actions while respecting predeclared pressure and risk constraints.",Operation and control,Decision package follows the WP5 decision supported by the paper; figure group follows the dominant ML application and is used only for compact visual aggregation.,The two classifications answer different questions; the paper remains a single quantitative record.
TARGET_DRLGeoRisk2026_214483,Deep reinforcement learning optimizing for geological CO2 storage considering geomechanical and leakage risks,P2_pressure_control,Pressure management and injection control,"Choose rates, schedules, wells, or control actions while respecting predeclared pressure and risk constraints.",Operation and control,Decision package follows the WP5 decision supported by the paper; figure group follows the dominant ML application and is used only for compact visual aggregation.,The two classifications answer different questions; the paper remains a single quantitative record.
ESR_Falola2024_123,Application of Neural Operator Technique for Rapid Forecast of CO2 Pressure and Saturation Distribution,P3_plume_trapping,"Plume, saturation, and trapping forecasts","Forecast pressure, saturation, plume geometry, and trapping-related variables for scenario comparison, monitoring design, or downstream decisions.",Storage dynamics and surrogates,Decision package follows the WP5 decision supported by the paper; figure group follows the dominant ML application and is used only for compact visual aggregation.,The two classifications answer different questions; the paper remains a single quantitative record.
ESR_Hassani2024_118,Machine Learning-Based CO2 Saturation Tracking in Saline Aquifers Using Bottomhole Pressure for Carbon Capture and Storage CCS Projects,P3_plume_trapping,"Plume, saturation, and trapping forecasts","Forecast pressure, saturation, plume geometry, and trapping-related variables for scenario comparison, monitoring design, or downstream decisions.",Storage dynamics and surrogates,Decision package follows the WP5 decision supported by the paper; figure group follows the dominant ML application and is used only for compact visual aggregation.,The two classifications answer different questions; the paper remains a single quantitative record.
ESR_Kadeethum2024_128,An improved neural operator framework for large-scale CO2 storage operations,P3_plume_trapping,"Plume, saturation, and trapping forecasts","Forecast pressure, saturation, plume geometry, and trapping-related variables for scenario comparison, monitoring design, or downstream decisions.",Storage dynamics and surrogates,Decision package follows the WP5 decision supported by the paper; figure group follows the dominant ML application and is used only for compact visual aggregation.,The two classifications answer different questions; the paper remains a single quantitative record.
ESR_Kanakaki2025_045,Application of an Automated Machine Learning-Driven Grid Block Classification Framework to a Realistic Deep Saline Aquifer Model for Accelerating Numerical Simulations of CO2 Geological Storage,P3_plume_trapping,"Plume, saturation, and trapping forecasts","Forecast pressure, saturation, plume geometry, and trapping-related variables for scenario comparison, monitoring design, or downstream decisions.",Cross-cutting and other,Decision package follows the WP5 decision supported by the paper; figure group follows the dominant ML application and is used only for compact visual aggregation.,The two classifications answer different questions; the paper remains a single quantitative record.
