reported_metric,source_field,positive_rule,final_positive_n,positive_exact_agreement_n,positive_author_adjudicated_n,positive_baseline_unavailable_verified_n,interpretation
direct_field_evaluation,field_validation_category,final categorical value in positive set,8,1,7,0,"This is an adjudication-dependence audit, not an alternative prevalence estimate. It shows which positive findings survive without relying on a disagreement resolution."
controlled_release_or_planned_experimental_injection_evaluation,controlled_release_validation_state,final categorical value in positive set,5,3,2,0,"This is an adjudication-dependence audit, not an alternative prevalence estimate. It shows which positive findings survive without relying on a disagreement resolution."
explicit_ood_testing,ood_test_category,final categorical value in positive set,14,9,5,0,"This is an adjudication-dependence audit, not an alternative prevalence estimate. It shows which positive findings survive without relying on a disagreement resolution."
explicit_cross_site_or_cross_setting_testing,cross_site_test_state,final categorical value in positive set,1,1,0,0,"This is an adjudication-dependence audit, not an alternative prevalence estimate. It shows which positive findings survive without relying on a disagreement resolution."
uncertainty_calibration_or_posterior_checking,uncertainty_calibration_category,final categorical value in positive set,13,2,11,0,"This is an adjudication-dependence audit, not an alternative prevalence estimate. It shows which positive findings survive without relying on a disagreement resolution."
surrogate_error_propagation,surrogate_error_propagation_category,final categorical value in positive set,4,0,4,0,"This is an adjudication-dependence audit, not an alternative prevalence estimate. It shows which positive findings survive without relying on a disagreement resolution."
field_evidence_score_ge_3,field_evidence_score,final numeric score >= 3,8,3,5,0,"This is an adjudication-dependence audit, not an alternative prevalence estimate. It shows which positive findings survive without relying on a disagreement resolution."
physical_consistency_score_ge_3,physical_consistency_score,final numeric score >= 3,42,1,33,8,"This is an adjudication-dependence audit, not an alternative prevalence estimate. It shows which positive findings survive without relying on a disagreement resolution."
uncertainty_score_ge_3,uncertainty_score,final numeric score >= 3,14,2,11,1,"This is an adjudication-dependence audit, not an alternative prevalence estimate. It shows which positive findings survive without relying on a disagreement resolution."
transferability_score_ge_3,transferability_score,final numeric score >= 3,7,0,7,0,"This is an adjudication-dependence audit, not an alternative prevalence estimate. It shows which positive findings survive without relying on a disagreement resolution."
decision_readiness_score_ge_3,decision_readiness_score,final numeric score >= 3,11,2,9,0,"This is an adjudication-dependence audit, not an alternative prevalence estimate. It shows which positive findings survive without relying on a disagreement resolution."
