citation_key,doi,identity_status,title_similarity,updated_fields,crossref_title,notes
Attanasi2025_ResourceML,10.3389/fenvs.2025.1562087,verified_override,1.000,,Machine learning provides reconnaissance-type estimates of carbon dioxide storage resources in oil and gas reservoirs,cache
Baek2023_WellboreLeakage,10.1016/j.ijggc.2023.103903,title_match,1.000,,Enabling site-specific well leakage risk estimation during geologic carbon sequestration using a modular deep-learning-based wellbore leakage model,cache
Crain2023_MonitoringHistory,10.1007/s10596-023-10216-3,verified_override,0.995,,An integrated framework for optimal monitoring and history matching in CO$$_{2}$$ storage projects,cache
ESR_Chen2024_119,10.1016/j.ijggc.2024.104262,title_match,1.000,,Optimization of pressure management strategies for geological CO2 storage using surrogate model-based reinforcement learning,cache
ESR_Liu2025_121,10.1016/j.ijggc.2025.104538,title_match,1.000,,Physics-coupled machine learning toolset for geological carbon storage evaluation and performance analysis,cache
ESR_Lozano2025_215,10.1016/j.ijggc.2026.104582,title_match,1.000,,Unified deep-learning workflow for uncertainty reduction in subsurface carbon storage modeling through data assimilation of seismic-inverted CO2 maps,cache
ESR_Meng2025_211,10.1038/s41598-025-10111-0,title_match,1.000,,Multiobjective optimization of CO2 injection under geomechanical risk in high water cut oil reservoirs using artificial intelligence approaches,cache
ESR_Park2025_223,10.1016/j.ijggc.2025.104461,title_match,1.000,,Deep learning-assisted THM-integrated InSAR modeling for CO2 storage characterization and surface deformation forecasting,cache
ESR_Tang2022_226,10.1016/j.ijggc.2022.103765,title_match,1.000,,Deep learning-accelerated 3D carbon storage reservoir pressure forecasting based on data assimilation using surface displacement from InSAR,cache
ESR_Tang2024_135,10.1016/j.jhydrol.2024.130641,title_match,1.000,,Multi-fidelity Fourier neural operator for fast modeling of large-scale geological carbon storage,cache
ESR_Um2024_091,10.1111/1365-2478.13197,title_match,0.996,,Real‐time deep‐learning inversion of seismic full waveform data for CO<sub>2</sub> saturation and uncertainty in geological carbon storage monitoring,cache
ESR_Um2024_104,10.1111/1365-2478.13257,title_match,0.996,,Deep learning multiphysics network for imaging CO<sub>2</sub> saturation and estimating uncertainty in geological carbon storage,cache
ESR_Wang2024_089,10.1016/j.fuel.2023.130586,title_match,1.000,,Machine learning and deep learning for mineralogy interpretation and CO2 saturation estimation in geological carbon Storage: A case study in the Illinois Basin,cache
ESR_Wu2025_042,10.2139/ssrn.5342578,title_match,1.000,,A Lightweight Machine Learning–Driven Framework for Prediction and Multi-Objective Optimization of Co2 Geological Storage,cache
ESR_Zhang2025_178,10.1016/j.geoen.2025.213689,title_match,1.000,volume;pages,"Physics-Informed Neural Networks for CO
                    <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" altimg=""si10.svg"" display=""inline"" id=""d1e1216"">
                      <mml:msub>
                        <mml:mrow/>
                        <mml:mrow>
                          <mml:mn>2</mml:mn>
                        </mml:mrow>
                      </mml:msub>
                    </mml:math>
                    migration modeling in stratified saline aquifers: Applications in geological carbon sequestration",cache
ESR_Zheng2025_207,10.2118/220850-pa,title_match,1.000,,Deep Learning–Assisted Multiobjective Optimization of Geological CO2 Storage Performance under Geomechanical Risks,cache
Espinoza2017_Caprock,10.1016/j.ijggc.2017.09.019,title_match,1.000,,CO2 breakthrough—Caprock sealing efficiency and integrity for carbon geological storage,cache
Gahlot2025_DigitalShadow,10.1093/gji/ggaf176,title_match,1.000,,An uncertainty-aware digital shadow for underground multimodal CO2 storage monitoring,cache
Han2024_HierarchicalMCMC,10.1016/j.advwatres.2024.104678,title_match,1.000,volume;pages,"Surrogate model for geological CO<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" altimg=""si333.svg"" display=""inline"" id=""d1e1718""><mml:msub><mml:mrow/><mml:mrow><mml:mn>2</mml:mn></mml:mrow></mml:msub></mml:math> storage and its use in hierarchical MCMC history matching",cache
Jiang2024_DSIHistoryMatching,10.1016/j.ijggc.2024.104124,title_match,1.000,,History matching for geological carbon storage using data-space inversion with spatio-temporal data parameterization,cache
