paper_id,title,authors,year,venue,doi_or_url,peer_review_status,storage_stage,application_area,application_group,decision_supported,data_regime,field_case,ml_method_family,target_outputs,validation_type,field_validation_category,controlled_release_validation_state,ood_test_category,cross_site_test_state,uncertainty_calibration_category,surrogate_error_propagation_category,mass_conservation_diagnostic,pressure_threshold_diagnostic,plume_volume_diagnostic,geomechanics_diagnostic,geochemistry_diagnostic,rock_physics_diagnostic,sensor_physics_diagnostic,field_evidence_score_state,physical_consistency_score_state,uncertainty_score_state,transferability_score_state,decision_readiness_score_state,wp4_main_claim_eligible
ESR_Tang2024_135,Multi-fidelity Fourier neural operator for fast modeling of large-scale geological carbon storage,Hewei Tang; Qingkai Kong; Joseph P. Morris,2024,Journal of Hydrology,https://doi.org/10.1016/j.jhydrol.2024.130641,peer_reviewed_journal,dynamic_prediction,neural operator surrogate,Storage dynamics and surrogates,accelerate ensemble forecasts for pressure/plume decisions,synthetic simulation,none identified,neural operator,pressure/saturation fields,held-out simulation or benchmark,confirmed_absent,confirmed_absent,confirmed_absent,confirmed_absent,confirmed_absent,not_applicable,diagnostic_checked,not_reported,diagnostic_checked,not_reported,not_reported,not_reported,not_reported,scored,scored,scored,scored,scored,yes
Wen2022_UFNO,U-FNO—An enhanced Fourier neural operator-based deep-learning model for multiphase flow,Gege Wen; Zongyi Li; Kamyar Azizzadenesheli; Anima Anandkumar; Sally M. Benson,2022,Advances in Water Resources,https://doi.org/10.1016/j.advwatres.2022.104180,peer_reviewed_journal,forward prediction,neural operator surrogate,Storage dynamics and surrogates,pressure buildup and gas saturation,synthetic simulation,CO2-water multiphase-flow benchmark cases,U-FNO,pressure buildup and gas saturation,held-out simulation or benchmark,confirmed_absent,confirmed_absent,unseen_parameter_range,confirmed_absent,deterministic_or_confirmed_absent,not_applicable,not_reported,diagnostic_checked,diagnostic_checked,not_reported,not_reported,not_reported,encoded_or_simplified,scored,scored,scored,scored,scored,yes
Wen2021_CCSNet,CCSNet: A deep learning modeling suite for CO2 storage,Gege Wen; Catherine Hay; Sally M. Benson,2021,Advances in Water Resources,https://doi.org/10.1016/j.advwatres.2021.104009,peer_reviewed_journal,forward prediction and storage metrics,plume/saturation surrogate,Storage dynamics and surrogates,saturation; pressure; trapping; sweep metrics,synthetic simulation,radial CO2 storage simulation cases,CNN-based modeling suite,saturation; pressure; trapping; sweep metrics,held-out simulation or benchmark,confirmed_absent,confirmed_absent,confirmed_absent,confirmed_absent,not_reported,confirmed_absent,diagnostic_checked,diagnostic_checked,diagnostic_checked,not_reported,not_reported,not_reported,not_reported,scored,scored,scored,scored,scored,yes
ESR_Um2024_091,Real‐time deep‐learning inversion of seismic full waveform data for CO2 saturation and uncertainty in geological carbon storage monitoring,Evan Schankee Um; David Alumbaugh; Youzuo Lin; Shihang Feng,2024,Geophysical Prospecting,https://doi.org/10.1111/1365-2478.13197,peer_reviewed_journal,characterization,seismic inversion,"Monitoring, inversion and updating",update plume/saturation interpretation,field-facing monitoring or synthetic monitoring,none identified,not specified,CO2 saturation; uncertainty/posterior; seismic-derived state,monitoring/synthetic-monitoring validation,confirmed_absent,confirmed_absent,confirmed_absent,confirmed_absent,confirmed_absent,not_applicable,not_reported,not_reported,diagnostic_checked,encoded_or_simplified,not_reported,encoded_or_simplified,encoded_or_simplified,scored,scored,scored,scored,scored,yes
ESR_Wang2024_089,Machine learning and deep learning for mineralogy interpretation and CO2 saturation estimation in geological carbon Storage: A case study in the Illinois Basin,Hongsheng Wang; Sherilyn Williams-Stroud; Dustin Crandall; Cheng Chen,2024,Fuel,https://doi.org/10.1016/j.fuel.2023.130586,peer_reviewed_journal,characterization,seismic inversion,"Monitoring, inversion and updating",update plume/saturation interpretation,single field case,Illinois Basin,deep learning,CO2 saturation,field case comparison,operating_storage_site_evaluation,ml_evaluated_on_controlled_release,confirmed_absent,confirmed_absent,deterministic_or_confirmed_absent,not_applicable,not_reported,not_reported,not_reported,encoded_or_simplified,encoded_or_simplified,encoded_or_simplified,encoded_or_simplified,scored,scored,scored,scored,scored,yes
ESR_Um2024_104,Deep learning multiphysics network for imaging CO2 saturation and estimating uncertainty in geological carbon storage,Evan Schankee Um; David Alumbaugh; Michael Commer; Shihang Feng; Erika Gasperikova; Yaoguo Li; Youzuo Lin; Savini Samarasinghe,2024,Geophysical Prospecting,https://doi.org/10.1111/1365-2478.13257,peer_reviewed_journal,characterization,multiphysics inversion,"Monitoring, inversion and updating",update plume/saturation uncertainty,unknown,none identified,deep learning,CO2 saturation; uncertainty/posterior,synthetic monitoring validation,confirmed_absent,confirmed_absent,confirmed_absent,confirmed_absent,confirmed_absent,not_applicable,not_reported,not_reported,not_reported,encoded_or_simplified,encoded_or_simplified,encoded_or_simplified,encoded_or_simplified,scored,scored,scored,scored,scored,yes
ESR_Tang2022_226,Deep learning-accelerated 3D carbon storage reservoir pressure forecasting based on data assimilation using surface displacement from InSAR,Hewei Tang; Pengcheng Fu; Honggeun Jo; Su Jiang; Christopher S. Sherman; François Hamon; Nicholas A. Azzolina; Joseph P. Morris,2022,International Journal of Greenhouse Gas Control,https://doi.org/10.1016/j.ijggc.2022.103765,peer_reviewed_journal,monitoring_mrv,geomechanics/seal risk,"Leakage, wellbore and containment risk","assess seal, fault, or induced-seismicity risk",field-facing monitoring or synthetic monitoring,none identified,deep learning,pressure field/pressure risk,monitoring/synthetic-monitoring validation,confirmed_absent,confirmed_absent,unseen_parameter_range,confirmed_absent,posterior_predictive_check,confirmed_absent,diagnostic_checked,not_reported,diagnostic_checked,encoded_or_simplified,not_reported,not_reported,encoded_or_simplified,scored,scored,scored,scored,scored,yes
ESR_Meng2025_211,Multiobjective optimization of CO2 injection under geomechanical risk in high water cut oil reservoirs using artificial intelligence approaches,Fankun Meng; Jia Liu; Gang Tong; Hui Zhao; Chengyue Wen; Yuhui Zhou; Vamegh Rasouli; Minou Rabiei,2025,Scientific Reports,https://doi.org/10.1038/s41598-025-10111-0,peer_reviewed_journal,operation_control,geomechanics/seal risk,"Leakage, wellbore and containment risk","assess seal, fault, or induced-seismicity risk",unknown,none identified,not specified,storage-relevant output unknown,unknown,confirmed_absent,confirmed_absent,confirmed_absent,confirmed_absent,deterministic_or_confirmed_absent,confirmed_absent,not_reported,not_reported,not_reported,encoded_or_simplified,encoded_or_simplified,not_reported,encoded_or_simplified,scored,scored,scored,scored,scored,yes
Lu2025_GISMLSite,Optimisation study of carbon dioxide geological storage sites based on GIS and machine learning algorithms,Wei Lu; Shengwen Qi; Bowen Zheng; Wang Zhang; Zan Wang; Yi Ru; Yan Zhang; Lina Ma; Yujie Diao; Lei Fu,2025,Geomechanics and Geophysics for Geo-Energy and Geo-Resources,https://doi.org/10.1007/s40948-025-00945-3,peer_reviewed_journal,site screening,site screening,Screening and characterization,suitability maps and site rankings,GIS layers and geological screening criteria,regional CO2 geological storage site evaluation,RF; LightGBM; XGBoost; SVM; ANN,suitability maps and site rankings,,operating_storage_site_evaluation,confirmed_absent,confirmed_absent,confirmed_absent,deterministic_or_confirmed_absent,not_applicable,not_reported,not_reported,not_reported,encoded_or_simplified,encoded_or_simplified,not_reported,encoded_or_simplified,scored,scored,scored,scored,scored,yes
Wang2025_4DHistoryMatching,Deep learning framework for history matching CO2 storage with 4D seismic and monitoring well data,Nanzhe Wang; Louis J. Durlofsky,2025,Geoenergy Science and Engineering,https://doi.org/10.1016/j.geoen.2025.213736,peer_reviewed_journal,monitoring_mrv,Bayesian history matching,"Monitoring, inversion and updating",update storage model and plume uncertainty from monitoring data,synthetic monitoring,CO2 storage history-matching cases,deep learning surrogate,geological parameters; CO2 plume uncertainty; monitoring predictions,monitoring/synthetic-monitoring validation,confirmed_absent,confirmed_absent,confirmed_absent,confirmed_absent,calibrated_or_posterior_checked,propagated_into_inference_or_decision,not_reported,not_reported,not_reported,encoded_or_simplified,not_reported,not_reported,encoded_or_simplified,scored,scored,scored,scored,scored,yes
ESR_Chen2024_119,Optimization of pressure management strategies for geological CO2 storage using surrogate model-based reinforcement learning,Jungang Chen; Eduardo Gildin; Georgy Kompantsev,2024,International Journal of Greenhouse Gas Control,https://doi.org/10.1016/j.ijggc.2024.104262,peer_reviewed_journal,operation_control,RL control,Operation and control,optimize pressure-management strategy under storage constraints,synthetic simulation,none identified,reinforcement learning,pressure-management policy,held-out simulation or benchmark,confirmed_absent,confirmed_absent,confirmed_absent,confirmed_absent,deterministic_or_confirmed_absent,confirmed_absent,not_reported,not_reported,not_reported,encoded_or_simplified,not_reported,not_reported,encoded_or_simplified,scored,scored,scored,scored,scored,yes
Han2024_HierarchicalMCMC,Surrogate model for geological CO2 storage and its use in hierarchical MCMC history matching,Yifu Han; François P. Hamon; Su Jiang; Louis J. Durlofsky,2024,Advances in Water Resources,https://doi.org/10.1016/j.advwatres.2024.104678,peer_reviewed_journal,monitoring_mrv,Bayesian history matching,"Monitoring, inversion and updating",history matching and posterior forecasting,synthetic simulation,3D geological storage cases,surrogate + Bayesian inference,posterior geological parameters; pressure/plume forecasts,history_matching_or_posterior_check,confirmed_absent,confirmed_absent,confirmed_absent,confirmed_absent,calibrated_or_posterior_checked,propagated_into_inference_or_decision,not_reported,not_reported,diagnostic_checked,encoded_or_simplified,not_reported,encoded_or_simplified,encoded_or_simplified,scored,scored,scored,scored,scored,yes
Tang2024_GNNFaulted,Learning CO2 plume migration in faulted reservoirs with Graph Neural Networks,Xin Ju; François P. Hamon; Gege Wen; Rayan Kanfar; Mauricio Araya-Polo; Hamdi A. Tchelepi,2024,Computers & Geosciences,https://doi.org/10.1016/j.cageo.2024.105711,peer_reviewed_journal,dynamic_prediction,GNN/faulted reservoir surrogate,Storage dynamics and surrogates,forecast plume behavior under faulted-reservoir connectivity,synthetic simulation,faulted reservoir simulation cases,graph neural network,CO2 plume migration in faulted reservoirs,held-out simulation or benchmark,confirmed_absent,confirmed_absent,unseen_parameter_range,confirmed_absent,deterministic_or_confirmed_absent,not_applicable,diagnostic_checked,not_reported,diagnostic_checked,encoded_or_simplified,not_reported,not_reported,encoded_or_simplified,scored,scored,scored,scored,scored,yes
Jiang2024_DSIHistoryMatching,History matching for geological carbon storage using data-space inversion with spatio-temporal data parameterization,Su Jiang; Louis J. Durlofsky,2024,International Journal of Greenhouse Gas Control,https://doi.org/10.1016/j.ijggc.2024.104124,peer_reviewed_journal,monitoring_mrv,Bayesian history matching,"Monitoring, inversion and updating",history matching with spatio-temporal data,synthetic monitoring,3D simulated GCS model,data-space inversion,history-matched storage forecasts,history_matching_or_posterior_check,confirmed_absent,confirmed_absent,confirmed_absent,confirmed_absent,calibrated_or_posterior_checked,not_applicable,not_reported,not_reported,diagnostic_checked,encoded_or_simplified,not_reported,not_reported,encoded_or_simplified,scored,scored,scored,scored,scored,yes
Lin2020_PressureLeakage,Normal or abnormal? Machine learning for the leakage detection in carbon sequestration projects using pressure field data,Saurabh Sinha; Rafael Pires de Lima; Youzuo Lin; Alexander Y. Sun; Neill Symons; Rajesh Pawar; George Guthrie,2020,International Journal of Greenhouse Gas Control,https://doi.org/10.1016/j.ijggc.2020.103189,peer_reviewed_journal,risk_response,leakage detection,"Leakage, wellbore and containment risk",flag pressure anomalies for leakage investigation,synthetic simulation,Cranfield HPT pressure data,machine learning classifier,normal/abnormal leakage class from pressure data,held-out simulation or benchmark,controlled_field_experiment_evaluation,ml_evaluated_on_controlled_release,unseen_schedule_or_boundary,confirmed_absent,not_reported,not_applicable,not_reported,not_reported,not_reported,encoded_or_simplified,encoded_or_simplified,not_reported,encoded_or_simplified,scored,scored,scored,scored,scored,yes
Leong2024_SeisCO2Net,Time-lapse seismic inversion for CO2 saturation with SeisCO2Net: An application to Frio-II site,Zi Xian Leong; Tieyuan Zhu; Alexander Y. Sun,2024,International Journal of Greenhouse Gas Control,https://doi.org/10.1016/j.ijggc.2024.104058,peer_reviewed_journal,characterization,seismic inversion,"Monitoring, inversion and updating",estimate saturation/plume state from field seismic monitoring,single field case,Frio-II site application,deep learning,CO2 saturation from time-lapse seismic data,field case comparison,controlled_field_experiment_evaluation,ml_evaluated_on_controlled_release,unseen_geology_or_faults,confirmed_absent,not_reported,not_applicable,not_reported,not_reported,diagnostic_checked,not_reported,not_reported,encoded_or_simplified,encoded_or_simplified,scored,scored,scored,scored,scored,yes
Mo2018_EncoderDecoderUQ,Deep Convolutional Encoder‐Decoder Networks for Uncertainty Quantification of Dynamic Multiphase Flow in Heterogeneous Media,Shaoxing Mo; Yinhao Zhu; Nicholas Zabaras; Xiaoqing Shi; Jichun Wu,2019,Water Resources Research,https://doi.org/10.1029/2018wr023528,peer_reviewed_journal,dynamic_prediction,plume/saturation surrogate,Storage dynamics and surrogates,rapid uncertainty-aware multiphase-flow prediction for storage-relevant forecasts,synthetic simulation,synthetic heterogeneous media,CNN encoder-decoder,dynamic multiphase-flow states and uncertainty estimates,held-out simulation or benchmark,confirmed_absent,confirmed_absent,confirmed_absent,confirmed_absent,calibration_or_interval_reliability_test,confirmed_absent,not_reported,not_reported,diagnostic_checked,not_reported,encoded_or_simplified,not_reported,encoded_or_simplified,scored,scored,scored,scored,scored,yes
Wen2023_NestedFNO,"Real-time high-resolution CO
                    2
                    geological storage prediction using nested Fourier neural operators",Gege Wen; Zongyi Li; Qirui Long; Kamyar Azizzadenesheli; Anima Anandkumar; Sally M. Benson,2023,Energy & Environmental Science,https://doi.org/10.1039/d2ee04204e,peer_reviewed_journal,dynamic_prediction,neural operator surrogate,Storage dynamics and surrogates,real-time high-resolution forecasting for storage screening and dynamic prediction,synthetic simulation,large-scale 3D storage simulations,neural operator,pressure buildup and CO2 plume migration at high resolution,held-out simulation or benchmark,confirmed_absent,confirmed_absent,confirmed_absent,confirmed_absent,not_reported,confirmed_absent,not_reported,diagnostic_checked,diagnostic_checked,not_reported,not_reported,not_reported,encoded_or_simplified,scored,scored,scored,scored,scored,yes
Zhong2019_PressureAnomaly,A deep learning approach to anomaly detection in geological carbon sequestration sites using pressure measurements,Zhi Zhong; Alexander Y. Sun; Qian Yang; Qi Ouyang,2019,Journal of Hydrology,https://doi.org/10.1016/j.jhydrol.2019.04.015,peer_reviewed_journal,risk_response,leakage detection,"Leakage, wellbore and containment risk",flag pressure anomalies for leakage investigation,synthetic simulation,Cranfield pressure data and controlled release experiments,deep learning classifier,normal/abnormal pressure anomaly or leakage class,held-out simulation or benchmark,controlled_field_experiment_evaluation,ml_evaluated_on_controlled_release,unseen_schedule_or_boundary,confirmed_absent,uncertainty_reported_not_calibrated,not_applicable,not_reported,not_reported,diagnostic_checked,encoded_or_simplified,not_reported,not_reported,encoded_or_simplified,scored,scored,scored,scored,scored,yes
Wen2021_PlumeDNN,Towards a predictor for CO2 plume migration using deep neural networks,Gege Wen; Meng Tang; Sally M. Benson,2021,International Journal of Greenhouse Gas Control,https://doi.org/10.1016/j.ijggc.2020.103223,peer_reviewed_journal,dynamic_prediction,plume/saturation surrogate,Storage dynamics and surrogates,rapid plume-migration forecasting for storage assessment,synthetic simulation,synthetic heterogeneous formations,deep neural network,CO2 plume migration,held-out simulation or benchmark,confirmed_absent,confirmed_absent,unseen_parameter_range,confirmed_absent,deterministic_or_confirmed_absent,not_applicable,diagnostic_checked,not_reported,diagnostic_checked,not_reported,not_reported,not_reported,not_reported,scored,scored,scored,scored,scored,yes
Zhang2021_LearningInversionFreeForecast,Accurate and Rapid Forecasts for Geologic Carbon Storage via Learning-Based Inversion-Free Prediction,Dan Lu; Scott L. Painter; Nicholas A. Azzolina; Matthew Burton-Kelly; Tao Jiang; Cody Williamson,2022,Frontiers in Energy Research,https://doi.org/10.3389/fenrg.2021.752185,peer_reviewed_journal,dynamic_prediction,learning-based forecasting,Storage dynamics and surrogates,rapid forecast generation for geological carbon storage assessment,synthetic simulation,none identified,learning-based inverse-free prediction,CO2 storage forecast quantities,held-out simulation or benchmark,confirmed_absent,confirmed_absent,confirmed_absent,confirmed_absent,posterior_predictive_check,not_applicable,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,encoded_or_simplified,scored,scored,scored,scored,scored,yes
