figure_id,visual_element,aggregation_rule,source_file,source_paper_ids,source_paper_count,unknown_count,notes
Fig01,decision chain and eight evidence layers,author synthesis from seven WP5 packages,evidence/WP5_MINIMUM_VALIDATION_PACKAGES.csv,Arafath2025_MalayBasinML;Attanasi2025_ResourceML;Baek2023_WellboreLeakage;Crain2023_MonitoringHistory;Diplas2026_DOEInjection;ESR_Chan2024_124;ESR_Chen2024_119;ESR_Falola2024_123;ESR_Hassani2024_118;ESR_Kadeethum2024_128;ESR_Kanakaki2025_045;ESR_Liu2025_121;ESR_Lozano2025_215;ESR_Meng2025_211;ESR_Nunez2023_166;ESR_Park2025_223;ESR_Pawar2023_168;ESR_RefNone_173;ESR_Tang2022_226;ESR_Tang2024_135;ESR_Tariq2023_174;ESR_Um2024_091;ESR_Um2024_104;ESR_Vishal2025_213;ESR_Wang2024_089;ESR_Wu2025_042;ESR_Zhang2025_115;ESR_Zhang2025_178;ESR_Zheng2025_207;ESR_Zhou2026_127;Gahlot2025_DigitalShadow;Han2024_HierarchicalMCMC;Jiang2024_DSIHistoryMatching;Leong2024_SeisCO2Net;Lin2020_PressureLeakage;Lu2022_BayesianOptimization;Lu2025_GISMLSite;Mo2018_EncoderDecoderUQ;Nassabeh2024_OffshoreSite;Seabra2024_AIEnhancedDA;Shokouhi2021_PhysicsInformedSite;TARGET_DRLGeoRisk2026_214483;TARGET_JointInversion2023_2022JB025372;Tang2022_DLDataAssimilationForecasting;Tang2024_GNNFaulted;Teng2024_LikelihoodFreeDA;VoThanh2026_DigitalTwinGNN;Wang2025_4DHistoryMatching;Wen2021_CCSNet;Wen2021_PlumeDNN;Wen2022_UFNO;Wen2023_NestedFNO;Witte2023_WNO;Yan2021_RobustDLWorkflow;Yin2022_XAILeakage;Zhang2021_LearningInversionFreeForecast;Zhong2019_PressureAnomaly,57,NA,Conceptual synthesis; not a quantitative maturity score.
Fig02,Storage dynamics and surrogates | Simulator-generated,count of N=57 claim-eligible records after documented regime grouping,evidence/WP4_CONSERVATIVE_ANALYSIS_CORE.csv,ESR_Falola2024_123;ESR_Hassani2024_118;ESR_Kadeethum2024_128;ESR_Liu2025_121;ESR_Pawar2023_168;ESR_Tang2024_135;ESR_Tariq2023_174;ESR_Zhang2025_178;ESR_Zhou2026_127;Mo2018_EncoderDecoderUQ;Shokouhi2021_PhysicsInformedSite;Tang2024_GNNFaulted;Wen2021_CCSNet;Wen2021_PlumeDNN;Wen2022_UFNO;Wen2023_NestedFNO;Yan2021_RobustDLWorkflow;Zhang2021_LearningInversionFreeForecast,18,0,Other/cross-cutting combines two one-record groups; no record is removed.
Fig02,Storage dynamics and surrogates | Synthetic monitoring,count of N=57 claim-eligible records after documented regime grouping,evidence/WP4_CONSERVATIVE_ANALYSIS_CORE.csv,,0,0,Other/cross-cutting combines two one-record groups; no record is removed.
Fig02,Storage dynamics and surrogates | Field-inspired simulation,count of N=57 claim-eligible records after documented regime grouping,evidence/WP4_CONSERVATIVE_ANALYSIS_CORE.csv,ESR_Nunez2023_166;ESR_Zhang2025_115;Witte2023_WNO,3,0,Other/cross-cutting combines two one-record groups; no record is removed.
Fig02,Storage dynamics and surrogates | Single field case,count of N=57 claim-eligible records after documented regime grouping,evidence/WP4_CONSERVATIVE_ANALYSIS_CORE.csv,,0,0,Other/cross-cutting combines two one-record groups; no record is removed.
Fig02,Storage dynamics and surrogates | Field-/experiment-derived,count of N=57 claim-eligible records after documented regime grouping,evidence/WP4_CONSERVATIVE_ANALYSIS_CORE.csv,ESR_RefNone_173,1,0,Other/cross-cutting combines two one-record groups; no record is removed.
Fig02,Storage dynamics and surrogates | Not reported,count of N=57 claim-eligible records after documented regime grouping,evidence/WP4_CONSERVATIVE_ANALYSIS_CORE.csv,,0,0,Other/cross-cutting combines two one-record groups; no record is removed.
Fig02,"Monitoring, inversion and updating | Simulator-generated",count of N=57 claim-eligible records after documented regime grouping,evidence/WP4_CONSERVATIVE_ANALYSIS_CORE.csv,Han2024_HierarchicalMCMC;Seabra2024_AIEnhancedDA;Teng2024_LikelihoodFreeDA,3,0,Other/cross-cutting combines two one-record groups; no record is removed.
Fig02,"Monitoring, inversion and updating | Synthetic monitoring",count of N=57 claim-eligible records after documented regime grouping,evidence/WP4_CONSERVATIVE_ANALYSIS_CORE.csv,Crain2023_MonitoringHistory;ESR_Lozano2025_215;ESR_Um2024_091;Jiang2024_DSIHistoryMatching;TARGET_JointInversion2023_2022JB025372;Tang2022_DLDataAssimilationForecasting;Wang2025_4DHistoryMatching,7,0,Other/cross-cutting combines two one-record groups; no record is removed.
Fig02,"Monitoring, inversion and updating | Field-inspired simulation",count of N=57 claim-eligible records after documented regime grouping,evidence/WP4_CONSERVATIVE_ANALYSIS_CORE.csv,,0,0,Other/cross-cutting combines two one-record groups; no record is removed.
Fig02,"Monitoring, inversion and updating | Single field case",count of N=57 claim-eligible records after documented regime grouping,evidence/WP4_CONSERVATIVE_ANALYSIS_CORE.csv,ESR_Wang2024_089;Leong2024_SeisCO2Net,2,0,Other/cross-cutting combines two one-record groups; no record is removed.
Fig02,"Monitoring, inversion and updating | Field-/experiment-derived",count of N=57 claim-eligible records after documented regime grouping,evidence/WP4_CONSERVATIVE_ANALYSIS_CORE.csv,,0,0,Other/cross-cutting combines two one-record groups; no record is removed.
Fig02,"Monitoring, inversion and updating | Not reported",count of N=57 claim-eligible records after documented regime grouping,evidence/WP4_CONSERVATIVE_ANALYSIS_CORE.csv,ESR_Um2024_104,1,1,Other/cross-cutting combines two one-record groups; no record is removed.
Fig02,"Leakage, wellbore and containment risk | Simulator-generated",count of N=57 claim-eligible records after documented regime grouping,evidence/WP4_CONSERVATIVE_ANALYSIS_CORE.csv,Baek2023_WellboreLeakage;ESR_Zheng2025_207;Lin2020_PressureLeakage;VoThanh2026_DigitalTwinGNN;Zhong2019_PressureAnomaly,5,0,Other/cross-cutting combines two one-record groups; no record is removed.
Fig02,"Leakage, wellbore and containment risk | Synthetic monitoring",count of N=57 claim-eligible records after documented regime grouping,evidence/WP4_CONSERVATIVE_ANALYSIS_CORE.csv,ESR_Tang2022_226;Yin2022_XAILeakage,2,0,Other/cross-cutting combines two one-record groups; no record is removed.
Fig02,"Leakage, wellbore and containment risk | Field-inspired simulation",count of N=57 claim-eligible records after documented regime grouping,evidence/WP4_CONSERVATIVE_ANALYSIS_CORE.csv,ESR_Park2025_223,1,0,Other/cross-cutting combines two one-record groups; no record is removed.
Fig02,"Leakage, wellbore and containment risk | Single field case",count of N=57 claim-eligible records after documented regime grouping,evidence/WP4_CONSERVATIVE_ANALYSIS_CORE.csv,,0,0,Other/cross-cutting combines two one-record groups; no record is removed.
Fig02,"Leakage, wellbore and containment risk | Field-/experiment-derived",count of N=57 claim-eligible records after documented regime grouping,evidence/WP4_CONSERVATIVE_ANALYSIS_CORE.csv,,0,0,Other/cross-cutting combines two one-record groups; no record is removed.
Fig02,"Leakage, wellbore and containment risk | Not reported",count of N=57 claim-eligible records after documented regime grouping,evidence/WP4_CONSERVATIVE_ANALYSIS_CORE.csv,ESR_Meng2025_211,1,1,Other/cross-cutting combines two one-record groups; no record is removed.
Fig02,Operation and control | Simulator-generated,count of N=57 claim-eligible records after documented regime grouping,evidence/WP4_CONSERVATIVE_ANALYSIS_CORE.csv,Diplas2026_DOEInjection;ESR_Chen2024_119;ESR_Wu2025_042;Lu2022_BayesianOptimization,4,0,Other/cross-cutting combines two one-record groups; no record is removed.
Fig02,Operation and control | Synthetic monitoring,count of N=57 claim-eligible records after documented regime grouping,evidence/WP4_CONSERVATIVE_ANALYSIS_CORE.csv,,0,0,Other/cross-cutting combines two one-record groups; no record is removed.
Fig02,Operation and control | Field-inspired simulation,count of N=57 claim-eligible records after documented regime grouping,evidence/WP4_CONSERVATIVE_ANALYSIS_CORE.csv,ESR_Chan2024_124;TARGET_DRLGeoRisk2026_214483,2,0,Other/cross-cutting combines two one-record groups; no record is removed.
Fig02,Operation and control | Single field case,count of N=57 claim-eligible records after documented regime grouping,evidence/WP4_CONSERVATIVE_ANALYSIS_CORE.csv,,0,0,Other/cross-cutting combines two one-record groups; no record is removed.
Fig02,Operation and control | Field-/experiment-derived,count of N=57 claim-eligible records after documented regime grouping,evidence/WP4_CONSERVATIVE_ANALYSIS_CORE.csv,ESR_Vishal2025_213,1,0,Other/cross-cutting combines two one-record groups; no record is removed.
Fig02,Operation and control | Not reported,count of N=57 claim-eligible records after documented regime grouping,evidence/WP4_CONSERVATIVE_ANALYSIS_CORE.csv,,0,0,Other/cross-cutting combines two one-record groups; no record is removed.
Fig02,Screening and characterization | Simulator-generated,count of N=57 claim-eligible records after documented regime grouping,evidence/WP4_CONSERVATIVE_ANALYSIS_CORE.csv,,0,0,Other/cross-cutting combines two one-record groups; no record is removed.
Fig02,Screening and characterization | Synthetic monitoring,count of N=57 claim-eligible records after documented regime grouping,evidence/WP4_CONSERVATIVE_ANALYSIS_CORE.csv,,0,0,Other/cross-cutting combines two one-record groups; no record is removed.
Fig02,Screening and characterization | Field-inspired simulation,count of N=57 claim-eligible records after documented regime grouping,evidence/WP4_CONSERVATIVE_ANALYSIS_CORE.csv,,0,0,Other/cross-cutting combines two one-record groups; no record is removed.
Fig02,Screening and characterization | Single field case,count of N=57 claim-eligible records after documented regime grouping,evidence/WP4_CONSERVATIVE_ANALYSIS_CORE.csv,,0,0,Other/cross-cutting combines two one-record groups; no record is removed.
Fig02,Screening and characterization | Field-/experiment-derived,count of N=57 claim-eligible records after documented regime grouping,evidence/WP4_CONSERVATIVE_ANALYSIS_CORE.csv,Arafath2025_MalayBasinML;Attanasi2025_ResourceML;Lu2025_GISMLSite;Nassabeh2024_OffshoreSite,4,0,Other/cross-cutting combines two one-record groups; no record is removed.
Fig02,Screening and characterization | Not reported,count of N=57 claim-eligible records after documented regime grouping,evidence/WP4_CONSERVATIVE_ANALYSIS_CORE.csv,,0,0,Other/cross-cutting combines two one-record groups; no record is removed.
Fig02,Other / cross-cutting | Simulator-generated,count of N=57 claim-eligible records after documented regime grouping,evidence/WP4_CONSERVATIVE_ANALYSIS_CORE.csv,ESR_Kanakaki2025_045,1,0,Other/cross-cutting combines two one-record groups; no record is removed.
Fig02,Other / cross-cutting | Synthetic monitoring,count of N=57 claim-eligible records after documented regime grouping,evidence/WP4_CONSERVATIVE_ANALYSIS_CORE.csv,Gahlot2025_DigitalShadow,1,0,Other/cross-cutting combines two one-record groups; no record is removed.
Fig02,Other / cross-cutting | Field-inspired simulation,count of N=57 claim-eligible records after documented regime grouping,evidence/WP4_CONSERVATIVE_ANALYSIS_CORE.csv,,0,0,Other/cross-cutting combines two one-record groups; no record is removed.
Fig02,Other / cross-cutting | Single field case,count of N=57 claim-eligible records after documented regime grouping,evidence/WP4_CONSERVATIVE_ANALYSIS_CORE.csv,,0,0,Other/cross-cutting combines two one-record groups; no record is removed.
Fig02,Other / cross-cutting | Field-/experiment-derived,count of N=57 claim-eligible records after documented regime grouping,evidence/WP4_CONSERVATIVE_ANALYSIS_CORE.csv,,0,0,Other/cross-cutting combines two one-record groups; no record is removed.
Fig02,Other / cross-cutting | Not reported,count of N=57 claim-eligible records after documented regime grouping,evidence/WP4_CONSERVATIVE_ANALYSIS_CORE.csv,,0,0,Other/cross-cutting combines two one-record groups; no record is removed.
