analysis_version,analysis_status,universe,application_group,data_regime,n,N,proportion_of_total,source_paper_ids
WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,author_verified_wp9_8_r1_controlled_integration,main_claim_eligible_conservative,ALL,GIS layers and geological screening criteria,1,57,0.018,Lu2025_GISMLSite
WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,author_verified_wp9_8_r1_controlled_integration,main_claim_eligible_conservative,ALL,experimental/literature database,1,57,0.018,ESR_RefNone_173
WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,author_verified_wp9_8_r1_controlled_integration,main_claim_eligible_conservative,ALL,field-derived case study,1,57,0.018,ESR_Vishal2025_213
WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,author_verified_wp9_8_r1_controlled_integration,main_claim_eligible_conservative,ALL,field-derived database,1,57,0.018,Arafath2025_MalayBasinML
WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,author_verified_wp9_8_r1_controlled_integration,main_claim_eligible_conservative,ALL,field-derived geospatial database,1,57,0.018,Nassabeh2024_OffshoreSite
WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,author_verified_wp9_8_r1_controlled_integration,main_claim_eligible_conservative,ALL,field-derived reservoir database,1,57,0.018,Attanasi2025_ResourceML
WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,author_verified_wp9_8_r1_controlled_integration,main_claim_eligible_conservative,ALL,field-facing monitoring or synthetic monitoring,2,57,0.035,ESR_Tang2022_226;ESR_Um2024_091
WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,author_verified_wp9_8_r1_controlled_integration,main_claim_eligible_conservative,ALL,field-inspired simulation,6,57,0.105,ESR_Chan2024_124;ESR_Nunez2023_166;ESR_Park2025_223;ESR_Zhang2025_115;TARGET_DRLGeoRisk2026_214483;Witte2023_WNO
WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,author_verified_wp9_8_r1_controlled_integration,main_claim_eligible_conservative,ALL,reduced-physics simulation / analytical regimes,1,57,0.018,ESR_Zhang2025_178
WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,author_verified_wp9_8_r1_controlled_integration,main_claim_eligible_conservative,ALL,single field case,2,57,0.035,ESR_Wang2024_089;Leong2024_SeisCO2Net
WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,author_verified_wp9_8_r1_controlled_integration,main_claim_eligible_conservative,ALL,synthetic monitoring,8,57,0.140,Crain2023_MonitoringHistory;ESR_Lozano2025_215;Gahlot2025_DigitalShadow;Jiang2024_DSIHistoryMatching;TARGET_JointInversion2023_2022JB025372;Tang2022_DLDataAssimilationForecasting;Wang2025_4DHistoryMatching;Yin2022_XAILeakage
