field,comparable_n,numeric_score_pairs_n,exact_agreement_fraction,unweighted_cohen_kappa,linear_weighted_kappa,quadratic_weighted_kappa,locked_modal_value,locked_modal_fraction,reviewer_modal_value,reviewer_modal_fraction,marginal_imbalance_note,interpretation
controlled_release_validation_state,57,0,0.157895,0.066212,,,not_reported,0.859649,confirmed_absent,0.894737,Kappa is sensitive to the strongly imbalanced coder marginals; interpret together with raw agreement and the confusion matrix.,"Weighted kappa is reported only for numeric 0-4 score pairs; missing, unclear, and not-reported values are excluded from weighted calculations."
cross_site_test_state,57,0,0.122807,0.026307,,,not_reported,0.877193,confirmed_absent,0.947368,Kappa is sensitive to the strongly imbalanced coder marginals; interpret together with raw agreement and the confusion matrix.,"Weighted kappa is reported only for numeric 0-4 score pairs; missing, unclear, and not-reported values are excluded from weighted calculations."
decision_readiness_score,56,54,0.535714,0.228814,0.281369,0.339674,2,0.535714,2,0.535714,"Coder marginals are less concentrated, but kappa still requires the confusion matrix.","Weighted kappa is reported only for numeric 0-4 score pairs; missing, unclear, and not-reported values are excluded from weighted calculations."
field_evidence_score,56,54,0.625000,0.412881,0.518931,0.593502,0,0.589286,0,0.410714,"Coder marginals are less concentrated, but kappa still requires the confusion matrix.","Weighted kappa is reported only for numeric 0-4 score pairs; missing, unclear, and not-reported values are excluded from weighted calculations."
field_validation_category,57,0,0.105263,0.030354,,,not_reported,0.877193,confirmed_absent,0.842105,Kappa is sensitive to the strongly imbalanced coder marginals; interpret together with raw agreement and the confusion matrix.,"Weighted kappa is reported only for numeric 0-4 score pairs; missing, unclear, and not-reported values are excluded from weighted calculations."
ood_test_category,57,0,0.245614,0.093900,,,not_reported,0.456140,confirmed_absent,0.666667,"Coder marginals are less concentrated, but kappa still requires the confusion matrix.","Weighted kappa is reported only for numeric 0-4 score pairs; missing, unclear, and not-reported values are excluded from weighted calculations."
physical_consistency_score,46,43,0.217391,0.093596,0.121145,0.187465,2,0.456522,3,0.500000,"Coder marginals are less concentrated, but kappa still requires the confusion matrix.","Weighted kappa is reported only for numeric 0-4 score pairs; missing, unclear, and not-reported values are excluded from weighted calculations."
surrogate_error_propagation_category,57,0,0.017544,0.002188,,,not_reported,0.824561,not_applicable,0.614035,Kappa is sensitive to the strongly imbalanced coder marginals; interpret together with raw agreement and the confusion matrix.,"Weighted kappa is reported only for numeric 0-4 score pairs; missing, unclear, and not-reported values are excluded from weighted calculations."
transferability_score,45,23,0.133333,0.030387,0.161943,0.258065,not_reported,0.488889,0,0.511111,"Coder marginals are less concentrated, but kappa still requires the confusion matrix.","Weighted kappa is reported only for numeric 0-4 score pairs; missing, unclear, and not-reported values are excluded from weighted calculations."
uncertainty_calibration_category,57,0,0.228070,0.053942,,,not_reported,0.701754,deterministic_or_confirmed_absent,0.456140,Kappa is sensitive to the strongly imbalanced coder marginals; interpret together with raw agreement and the confusion matrix.,"Weighted kappa is reported only for numeric 0-4 score pairs; missing, unclear, and not-reported values are excluded from weighted calculations."
uncertainty_score,44,27,0.181818,0.093822,0.239437,0.400000,2,0.431818,0,0.386364,"Coder marginals are less concentrated, but kappa still requires the confusion matrix.","Weighted kappa is reported only for numeric 0-4 score pairs; missing, unclear, and not-reported values are excluded from weighted calculations."
