field,sample_N,comparable_n,locked_baseline_unavailable_n,exact_agreement_n,exact_agreement_fraction,cohen_kappa,interpretation
field_validation_category,57,57,0,6,0.105263,0.030354,pre_adjudication_independent_comparison_across_two_review_batches
controlled_release_validation_state,57,57,0,9,0.157895,0.066212,pre_adjudication_independent_comparison_across_two_review_batches
ood_test_category,57,57,0,14,0.245614,0.093900,pre_adjudication_independent_comparison_across_two_review_batches
cross_site_test_state,57,57,0,7,0.122807,0.026307,pre_adjudication_independent_comparison_across_two_review_batches
uncertainty_calibration_category,57,57,0,13,0.228070,0.053942,pre_adjudication_independent_comparison_across_two_review_batches
surrogate_error_propagation_category,57,57,0,1,0.017544,0.002188,pre_adjudication_independent_comparison_across_two_review_batches
field_evidence_score,57,56,1,35,0.625000,0.412881,pre_adjudication_independent_comparison_across_two_review_batches
physical_consistency_score,57,46,11,10,0.217391,0.093596,pre_adjudication_independent_comparison_across_two_review_batches
uncertainty_score,57,44,13,8,0.181818,0.093822,pre_adjudication_independent_comparison_across_two_review_batches
transferability_score,57,45,12,6,0.133333,0.030387,pre_adjudication_independent_comparison_across_two_review_batches
decision_readiness_score,57,56,1,30,0.535714,0.228814,pre_adjudication_independent_comparison_across_two_review_batches
