analysis_version,analysis_status,universe,application_group,dimension,total_N,available_n,score_0_n,score_1_n,score_2_n,score_3_n,score_4_n,score_ge3_n,score_ge3_proportion,score_ge3_wilson95_low,score_ge3_wilson95_high,median_score,unknown_n,not_reported_n,unclear_n,not_applicable_n,unscored_n
WP4-CONSERVATIVE-AUTHOR-VERIFIED-V2-2026-07-28,final_conservative_single_author_verified,main_claim_eligible_conservative,ALL,field_evidence_score,57,55,33,15,4,3,0,3,0.055,0.019,0.149,0.0,0,2,0,0,2
WP4-CONSERVATIVE-AUTHOR-VERIFIED-V2-2026-07-28,final_conservative_single_author_verified,main_claim_eligible_conservative,ALL,physical_consistency_score,57,43,0,20,21,2,0,2,0.047,0.013,0.155,2.0,0,14,0,0,14
WP4-CONSERVATIVE-AUTHOR-VERIFIED-V2-2026-07-28,final_conservative_single_author_verified,main_claim_eligible_conservative,ALL,uncertainty_score,57,27,1,3,19,4,0,4,0.148,0.059,0.325,2.0,0,30,0,0,30
WP4-CONSERVATIVE-AUTHOR-VERIFIED-V2-2026-07-28,final_conservative_single_author_verified,main_claim_eligible_conservative,ALL,transferability_score,57,23,1,3,17,1,1,2,0.087,0.024,0.268,2.0,0,34,0,0,34
WP4-CONSERVATIVE-AUTHOR-VERIFIED-V2-2026-07-28,final_conservative_single_author_verified,main_claim_eligible_conservative,ALL,decision_readiness_score,57,54,0,22,30,2,0,2,0.037,0.010,0.125,2.0,0,3,0,0,3
WP4-CONSERVATIVE-AUTHOR-VERIFIED-V2-2026-07-28,final_conservative_single_author_verified,main_claim_eligible_conservative,Cross-cutting and other,field_evidence_score,1,1,1,0,0,0,0,0,0.000,0.000,0.793,0.0,0,0,0,0,0
WP4-CONSERVATIVE-AUTHOR-VERIFIED-V2-2026-07-28,final_conservative_single_author_verified,main_claim_eligible_conservative,Cross-cutting and other,physical_consistency_score,1,1,0,1,0,0,0,0,0.000,0.000,0.793,1.0,0,0,0,0,0
WP4-CONSERVATIVE-AUTHOR-VERIFIED-V2-2026-07-28,final_conservative_single_author_verified,main_claim_eligible_conservative,Cross-cutting and other,uncertainty_score,1,0,0,0,0,0,0,0,,,,,0,1,0,0,1
WP4-CONSERVATIVE-AUTHOR-VERIFIED-V2-2026-07-28,final_conservative_single_author_verified,main_claim_eligible_conservative,Cross-cutting and other,transferability_score,1,0,0,0,0,0,0,0,,,,,0,1,0,0,1
WP4-CONSERVATIVE-AUTHOR-VERIFIED-V2-2026-07-28,final_conservative_single_author_verified,main_claim_eligible_conservative,Cross-cutting and other,decision_readiness_score,1,1,0,1,0,0,0,0,0.000,0.000,0.793,1.0,0,0,0,0,0
WP4-CONSERVATIVE-AUTHOR-VERIFIED-V2-2026-07-28,final_conservative_single_author_verified,main_claim_eligible_conservative,"Leakage, wellbore and containment risk",field_evidence_score,9,8,5,3,0,0,0,0,0.000,0.000,0.324,0.0,0,1,0,0,1
WP4-CONSERVATIVE-AUTHOR-VERIFIED-V2-2026-07-28,final_conservative_single_author_verified,main_claim_eligible_conservative,"Leakage, wellbore and containment risk",physical_consistency_score,9,6,0,2,3,1,0,1,0.167,0.030,0.564,2.0,0,3,0,0,3
WP4-CONSERVATIVE-AUTHOR-VERIFIED-V2-2026-07-28,final_conservative_single_author_verified,main_claim_eligible_conservative,"Leakage, wellbore and containment risk",uncertainty_score,9,3,0,0,2,1,0,1,0.333,0.061,0.792,2.0,0,6,0,0,6
WP4-CONSERVATIVE-AUTHOR-VERIFIED-V2-2026-07-28,final_conservative_single_author_verified,main_claim_eligible_conservative,"Leakage, wellbore and containment risk",transferability_score,9,3,0,0,3,0,0,0,0.000,0.000,0.562,2.0,0,6,0,0,6
WP4-CONSERVATIVE-AUTHOR-VERIFIED-V2-2026-07-28,final_conservative_single_author_verified,main_claim_eligible_conservative,"Leakage, wellbore and containment risk",decision_readiness_score,9,9,0,0,9,0,0,0,0.000,0.000,0.299,2.0,0,0,0,0,0
WP4-CONSERVATIVE-AUTHOR-VERIFIED-V2-2026-07-28,final_conservative_single_author_verified,main_claim_eligible_conservative,"Monitoring, inversion and updating",field_evidence_score,13,13,5,6,0,2,0,2,0.154,0.043,0.422,1.0,0,0,0,0,0
WP4-CONSERVATIVE-AUTHOR-VERIFIED-V2-2026-07-28,final_conservative_single_author_verified,main_claim_eligible_conservative,"Monitoring, inversion and updating",physical_consistency_score,13,8,0,2,5,1,0,1,0.125,0.022,0.471,2.0,0,5,0,0,5
WP4-CONSERVATIVE-AUTHOR-VERIFIED-V2-2026-07-28,final_conservative_single_author_verified,main_claim_eligible_conservative,"Monitoring, inversion and updating",uncertainty_score,13,12,0,0,10,2,0,2,0.167,0.047,0.448,2.0,0,1,0,0,1
WP4-CONSERVATIVE-AUTHOR-VERIFIED-V2-2026-07-28,final_conservative_single_author_verified,main_claim_eligible_conservative,"Monitoring, inversion and updating",transferability_score,13,6,1,1,4,0,0,0,0.000,0.000,0.390,2.0,0,7,0,0,7
WP4-CONSERVATIVE-AUTHOR-VERIFIED-V2-2026-07-28,final_conservative_single_author_verified,main_claim_eligible_conservative,"Monitoring, inversion and updating",decision_readiness_score,13,13,0,1,12,0,0,0,0.000,0.000,0.228,2.0,0,0,0,0,0
WP4-CONSERVATIVE-AUTHOR-VERIFIED-V2-2026-07-28,final_conservative_single_author_verified,main_claim_eligible_conservative,Operation and control,field_evidence_score,7,7,4,2,1,0,0,0,0.000,0.000,0.354,0.0,0,0,0,0,0
WP4-CONSERVATIVE-AUTHOR-VERIFIED-V2-2026-07-28,final_conservative_single_author_verified,main_claim_eligible_conservative,Operation and control,physical_consistency_score,7,7,0,5,2,0,0,0,0.000,0.000,0.354,1.0,0,0,0,0,0
WP4-CONSERVATIVE-AUTHOR-VERIFIED-V2-2026-07-28,final_conservative_single_author_verified,main_claim_eligible_conservative,Operation and control,uncertainty_score,7,4,0,3,1,0,0,0,0.000,0.000,0.490,1.0,0,3,0,0,3
WP4-CONSERVATIVE-AUTHOR-VERIFIED-V2-2026-07-28,final_conservative_single_author_verified,main_claim_eligible_conservative,Operation and control,transferability_score,7,4,0,0,3,0,1,1,0.250,0.046,0.699,2.0,0,3,0,0,3
WP4-CONSERVATIVE-AUTHOR-VERIFIED-V2-2026-07-28,final_conservative_single_author_verified,main_claim_eligible_conservative,Operation and control,decision_readiness_score,7,7,0,0,5,2,0,2,0.286,0.082,0.641,2.0,0,0,0,0,0
WP4-CONSERVATIVE-AUTHOR-VERIFIED-V2-2026-07-28,final_conservative_single_author_verified,main_claim_eligible_conservative,Screening and characterization,field_evidence_score,4,3,0,0,2,1,0,1,0.333,0.061,0.792,2.0,0,1,0,0,1
WP4-CONSERVATIVE-AUTHOR-VERIFIED-V2-2026-07-28,final_conservative_single_author_verified,main_claim_eligible_conservative,Screening and characterization,physical_consistency_score,4,3,0,2,1,0,0,0,0.000,0.000,0.562,1.0,0,1,0,0,1
WP4-CONSERVATIVE-AUTHOR-VERIFIED-V2-2026-07-28,final_conservative_single_author_verified,main_claim_eligible_conservative,Screening and characterization,uncertainty_score,4,1,1,0,0,0,0,0,0.000,0.000,0.793,0.0,0,3,0,0,3
WP4-CONSERVATIVE-AUTHOR-VERIFIED-V2-2026-07-28,final_conservative_single_author_verified,main_claim_eligible_conservative,Screening and characterization,transferability_score,4,2,0,2,0,0,0,0,0.000,0.000,0.658,1.0,0,2,0,0,2
WP4-CONSERVATIVE-AUTHOR-VERIFIED-V2-2026-07-28,final_conservative_single_author_verified,main_claim_eligible_conservative,Screening and characterization,decision_readiness_score,4,3,0,3,0,0,0,0,0.000,0.000,0.562,1.0,0,1,0,0,1
WP4-CONSERVATIVE-AUTHOR-VERIFIED-V2-2026-07-28,final_conservative_single_author_verified,main_claim_eligible_conservative,Storage dynamics and surrogates,field_evidence_score,22,22,17,4,1,0,0,0,0.000,0.000,0.149,0.0,0,0,0,0,0
WP4-CONSERVATIVE-AUTHOR-VERIFIED-V2-2026-07-28,final_conservative_single_author_verified,main_claim_eligible_conservative,Storage dynamics and surrogates,physical_consistency_score,22,17,0,8,9,0,0,0,0.000,0.000,0.184,2.0,0,5,0,0,5
WP4-CONSERVATIVE-AUTHOR-VERIFIED-V2-2026-07-28,final_conservative_single_author_verified,main_claim_eligible_conservative,Storage dynamics and surrogates,uncertainty_score,22,6,0,0,5,1,0,1,0.167,0.030,0.564,2.0,0,16,0,0,16
WP4-CONSERVATIVE-AUTHOR-VERIFIED-V2-2026-07-28,final_conservative_single_author_verified,main_claim_eligible_conservative,Storage dynamics and surrogates,transferability_score,22,8,0,0,7,1,0,1,0.125,0.022,0.471,2.0,0,14,0,0,14
WP4-CONSERVATIVE-AUTHOR-VERIFIED-V2-2026-07-28,final_conservative_single_author_verified,main_claim_eligible_conservative,Storage dynamics and surrogates,decision_readiness_score,22,20,0,17,3,0,0,0,0.000,0.000,0.161,1.0,0,2,0,0,2
WP4-CONSERVATIVE-AUTHOR-VERIFIED-V2-2026-07-28,final_conservative_single_author_verified,main_claim_eligible_conservative,Unmapped applications,field_evidence_score,1,1,1,0,0,0,0,0,0.000,0.000,0.793,0.0,0,0,0,0,0
WP4-CONSERVATIVE-AUTHOR-VERIFIED-V2-2026-07-28,final_conservative_single_author_verified,main_claim_eligible_conservative,Unmapped applications,physical_consistency_score,1,1,0,0,1,0,0,0,0.000,0.000,0.793,2.0,0,0,0,0,0
WP4-CONSERVATIVE-AUTHOR-VERIFIED-V2-2026-07-28,final_conservative_single_author_verified,main_claim_eligible_conservative,Unmapped applications,uncertainty_score,1,1,0,0,1,0,0,0,0.000,0.000,0.793,2.0,0,0,0,0,0
WP4-CONSERVATIVE-AUTHOR-VERIFIED-V2-2026-07-28,final_conservative_single_author_verified,main_claim_eligible_conservative,Unmapped applications,transferability_score,1,0,0,0,0,0,0,0,,,,,0,1,0,0,1
WP4-CONSERVATIVE-AUTHOR-VERIFIED-V2-2026-07-28,final_conservative_single_author_verified,main_claim_eligible_conservative,Unmapped applications,decision_readiness_score,1,1,0,0,1,0,0,0,0.000,0.000,0.793,2.0,0,0,0,0,0
