paper_id,field,reviewer_value,locked_value,final_value,decision_basis,changed_from_locked,reviewer_evidence,author_evidence,resolution_rationale,reviewer,adjudicator,review_date,adjudication_date,source_workbook,review_batch
Arafath2025_MalayBasinML,field_validation_category,field_observation_comparison,field_observation_comparison,field_observation_comparison,independent_exact_agreement_retained,no,"原文说明使用 X field 的“petrophysical data, well records, and core data”，模型结果与该场地岩心／测井解释相对照，故为单场地现场观测比较。数据采用 80%／10%／10% 划分及交叉验证，属于同分布测试而非 OOD。文中把“field-scale validation ... using pilot CO2 injection tests”列为未来工作，故没有受控注入验证；也未报告不确定性校准或需要传播的下游代理误差。物理得分来自 Archie 等简化岩石物理／测井约束。",,Reviewer and locked coding agreed exactly; the locked value was retained.,Xiaoyang Zhang (XZ),Yangqi Ma (YM),2026-07-29,2026-07-30,outputs\wp8_ijggc_v2_2026-07-30\IJGGC_V2_INDEPENDENT_REVIEW_FINALIZED_LOCKED.xlsx,prior26
ESR_Vishal2025_213,field_validation_category,field_observation_comparison,not_reported,field_observation_comparison,author_adjudicated_disagreement,yes,论文称数据来自 Cauvery Basin 的二维／三维地震与勘探井测井，并用 Well X-42 岩心数据验证，故记为现场观测比较；但 p.16 明言“lack of any real-time field validation”，不能记成注入工作流现场验证。p.14–15 仅笼统称对“independent offshore subsets”交叉验证、R²下降 5%–10%，未交代训练区域、留出规则或地质差异，故 OOD 与跨地质测试均记 unclear。95% 置信区间由残差标准误得到，但没有覆盖率／可靠性检验；BNN 被列为未来工作，故不记校准。,核查字段：现场验证类别。全文页码／章节：PDF pp.4–6（数据与训练）；pp.9–12（现场数据比较与区间）；pp.14–17（局限）。全文证据：论文称数据来自 Cauvery Basin 的二维／三维地震与勘探井测井，并用 Well X-42 岩心数据验证，故记为现场观测比较；但 p.16 明言“lack of any real-time field validation”，不能记成注入工作流现场验证。p.14–15 仅笼统称对“independent offshore subsets”交叉验证、R²下降 5%–10%，未交代训练区域、留出规则或地质差异，故 OOD 与跨地质测试均记 unclear。95% 置信区间由残差标准误得到，但没有覆盖率／可靠性检验；BNN 被列为未来工作，故不记校准。。复核信心：medium。,ML 输出已与单一场地的地震、测井、岩心或其他现场观测比较，但没有证据表明其进入现场运行工作流。因此最终编码为“field_observation_comparison”；原锁定值“not_reported”在本行全文证据及当前 Codebook 边界下不采用。,Xiaoyang Zhang (XZ),Yangqi Ma (YM),2026-07-29,2026-07-30,outputs\wp8_ijggc_v2_2026-07-30\IJGGC_V2_INDEPENDENT_REVIEW_FINALIZED_LOCKED.xlsx,prior26
ESR_Wu2025_042,field_validation_category,confirmed_absent,not_reported,confirmed_absent,author_adjudicated_disagreement,yes,"常规训练／测试来自合成汇编数据；结论亦承认“current training data relies on synthetic datasets”。显式盲测把韩国 Gorae V 盆地参数送入 CMG–GEM，并与训练好的 XGBoost 对比（RTI／STI 拟合约 98.53%／96.48%），属于跨地质背景的模拟 OOD，不是现场跨场地验证。100,000 次 Monte Carlo 给出 TEI 分布，但没有名义覆盖率或后验预测校验。模型 RMSE 与 Williams 图只评估代理误差，NSGA–II 目标中未纳入该误差，故不记误差传播。SHAP 趋势与 Henry’s law 对照，支持简化物理一致性。","核查字段：现场验证类别。全文页码／章节：PDF pp.17–26（数据与常规划分）；pp.29–35（Gorae V 盲测、Monte Carlo 与结论）。全文证据：常规训练／测试来自合成汇编数据；结论亦承认“current training data relies on synthetic datasets”。显式盲测把韩国 Gorae V 盆地参数送入 CMG–GEM，并与训练好的 XGBoost 对比（RTI／STI 拟合约 98.53%／96.48%），属于跨地质背景的模拟 OOD，不是现场跨场地验证。100,000 次 Monte Carlo 给出 TEI 分布，但没有名义覆盖率或后验预测校验。模型 RMSE 与 Williams 图只评估代理误差，NSGA–II 目标中未纳入该误差，故不记误差传播。SHAP 趋势与 Henry’s law 对照，支持简化物理一致性。。复核信心：high。",全文明确的 ML 评价对象仅为合成模拟、实验室数据库或场地模型模拟，未与现场观测或运行结果比较；这属于明确缺失。因此最终编码为“confirmed_absent”；原锁定值“not_reported”在本行全文证据及当前 Codebook 边界下不采用。,Xiaoyang Zhang (XZ),Yangqi Ma (YM),2026-07-29,2026-07-30,outputs\wp8_ijggc_v2_2026-07-30\IJGGC_V2_INDEPENDENT_REVIEW_FINALIZED_LOCKED.xlsx,prior26
ESR_Chan2024_124,field_validation_category,confirmed_absent,not_reported,confirmed_absent,author_adjudicated_disagreement,yes,所谓 IBDP field application 实际以场地模型的 ECLIPSE 模拟结果训练／评价 ML，没有与现场观测或注入数据对照。模型以粗网格数据训练并在原始细网格预测，且用 E300 细网格结果验证，属于明确的跨分辨率 OOD。作者同时指出代理为“pure data-driven”且不保证物理连续性，但对压力／饱和度场及选定优化方案进行了高保真模拟诊断。优化后仅把所选方案重新送入 E300；代理误差没有进入 MOGA 目标或约束，因此这是事后复核而不是误差传播。,核查字段：现场验证类别。全文页码／章节：PDF pp.5–8（合成测试、IBDP 模型与跨分辨率训练）；pp.9–11（优化与高保真复核）。全文证据：所谓 IBDP field application 实际以场地模型的 ECLIPSE 模拟结果训练／评价 ML，没有与现场观测或注入数据对照。模型以粗网格数据训练并在原始细网格预测，且用 E300 细网格结果验证，属于明确的跨分辨率 OOD。作者同时指出代理为“pure data-driven”且不保证物理连续性，但对压力／饱和度场及选定优化方案进行了高保真模拟诊断。优化后仅把所选方案重新送入 E300；代理误差没有进入 MOGA 目标或约束，因此这是事后复核而不是误差传播。。复核信心：high。,全文明确的 ML 评价对象仅为合成模拟、实验室数据库或场地模型模拟，未与现场观测或运行结果比较；这属于明确缺失。因此最终编码为“confirmed_absent”；原锁定值“not_reported”在本行全文证据及当前 Codebook 边界下不采用。,Xiaoyang Zhang (XZ),Yangqi Ma (YM),2026-07-29,2026-07-30,outputs\wp8_ijggc_v2_2026-07-30\IJGGC_V2_INDEPENDENT_REVIEW_FINALIZED_LOCKED.xlsx,prior26
TARGET_DRLGeoRisk2026_214483,field_validation_category,confirmed_absent,confirmed_absent,confirmed_absent,independent_exact_agreement_retained,no,研究使用基于 Aquistore 的条件地质统计实现及 820 个耦合流动–地质力学模拟，不是现场观测验证。独立验证实现被明确描述为“previously unseen realizations drawn from the same uncertainty distribution”，所以虽未见样本但仍是同分布，不能算 OOD。1000 个地质实现与域随机化用于稳健策略学习，但未做区间覆盖或校准。GRU–FNO 的误差只在附录／验证中报告，未作为奖励、约束或策略不确定性项传播。43 MPa 高风险压力线和边界泄漏惩罚直接进入控制目标，故决策就绪度较高但仍是 proof of concept。,,Reviewer and locked coding agreed exactly; the locked value was retained.,Xiaoyang Zhang (XZ),Yangqi Ma (YM),2026-07-29,2026-07-30,outputs\wp8_ijggc_v2_2026-07-30\IJGGC_V2_INDEPENDENT_REVIEW_FINALIZED_LOCKED.xlsx,prior26
ESR_RefNone_173,field_validation_category,confirmed_absent,not_reported,confirmed_absent,author_adjudicated_disagreement,yes,训练标签来自已发表的 CO2–水／盐水溶解度实验数据库，因此是实验室／受控证据而非储层现场验证或计划注入评价。全文采用随机 80%／20% 训练–测试划分，没有独立范围、场地或地质背景留出。网络给出点预测与常规误差指标，未见概率校准、后验预测检查或下游代理决策链。物理关系主要由温度、压力、盐度等输入及文献机理继承，未显式施加守恒／热力学约束。,"核查字段：现场验证类别。全文页码／章节：PDF pp.1, 5–13（实验数据库、模型、80／20 划分与结果）。全文证据：训练标签来自已发表的 CO2–水／盐水溶解度实验数据库，因此是实验室／受控证据而非储层现场验证或计划注入评价。全文采用随机 80%／20% 训练–测试划分，没有独立范围、场地或地质背景留出。网络给出点预测与常规误差指标，未见概率校准、后验预测检查或下游代理决策链。物理关系主要由温度、压力、盐度等输入及文献机理继承，未显式施加守恒／热力学约束。。复核信心：high。",全文明确的 ML 评价对象仅为合成模拟、实验室数据库或场地模型模拟，未与现场观测或运行结果比较；这属于明确缺失。因此最终编码为“confirmed_absent”；原锁定值“not_reported”在本行全文证据及当前 Codebook 边界下不采用。,Xiaoyang Zhang (XZ),Yangqi Ma (YM),2026-07-29,2026-07-30,outputs\wp8_ijggc_v2_2026-07-30\IJGGC_V2_INDEPENDENT_REVIEW_FINALIZED_LOCKED.xlsx,prior26
Wen2021_CCSNet,field_validation_category,confirmed_absent,not_reported,confirmed_absent,author_adjudicated_disagreement,yes,CCSNet 全部以 ECLIPSE 合成模拟训练；“training/validation data split is 10/1”，验证样本仍在同一参数采样域内，故无现场、受控注入或 OOD。模型对压力、饱和度、相组成等多物理输出做了模拟器对照和误差空间诊断，物理一致性高于仅报告网络精度。均值、标准差、误差直方图及经验回归误差项没有覆盖率／可靠性检验，故不记校准。CCSNet 又被用于生成筛选用 sweep／溶解度指标，但代理误差没有进入这些派生估计或决策。,核查字段：现场验证类别。全文页码／章节：PDF pp.5–15（全物理模拟、10∶1 划分与验证）；pp.20–23、31–32（筛选应用、随机划分与误差项）。全文证据：CCSNet 全部以 ECLIPSE 合成模拟训练；“training/validation data split is 10/1”，验证样本仍在同一参数采样域内，故无现场、受控注入或 OOD。模型对压力、饱和度、相组成等多物理输出做了模拟器对照和误差空间诊断，物理一致性高于仅报告网络精度。均值、标准差、误差直方图及经验回归误差项没有覆盖率／可靠性检验，故不记校准。CCSNet 又被用于生成筛选用 sweep／溶解度指标，但代理误差没有进入这些派生估计或决策。。复核信心：high。,全文明确的 ML 评价对象仅为合成模拟、实验室数据库或场地模型模拟，未与现场观测或运行结果比较；这属于明确缺失。因此最终编码为“confirmed_absent”；原锁定值“not_reported”在本行全文证据及当前 Codebook 边界下不采用。,Xiaoyang Zhang (XZ),Yangqi Ma (YM),2026-07-29,2026-07-30,outputs\wp8_ijggc_v2_2026-07-30\IJGGC_V2_INDEPENDENT_REVIEW_FINALIZED_LOCKED.xlsx,prior26
ESR_Liu2025_121,field_validation_category,not_reported,not_reported,not_reported,independent_exact_agreement_retained,no,该文件只有一页海报，说明 physics-coupled ML toolset、CRM 与储量／注入绩效用途，但没有给出数据来源、训练–测试方案、现场对照、受控注入评价、OOD、跨场地实验或不确定性校准结果；海报还把 cross-validation／进一步验证描述为 ongoing。按规则，缺报不能填 0，相关评分记 not reported。物理得分仅反映已陈述的简化耦合框架；不能据项目背景推断现场验证。,,Reviewer and locked coding agreed exactly; the locked value was retained.,Xiaoyang Zhang (XZ),Yangqi Ma (YM),2026-07-29,2026-07-30,outputs\wp8_ijggc_v2_2026-07-30\IJGGC_V2_INDEPENDENT_REVIEW_FINALIZED_LOCKED.xlsx,prior26
Shokouhi2021_PhysicsInformedSite,field_validation_category,confirmed_absent,not_reported,confirmed_absent,author_adjudicated_disagreement,yes,全文材料展示的是基于数值场的 physics-informed deep learning：损失中加入控制方程／边界条件并预测 CO₂ 储层响应；未出现现场观测、计划注入数据或跨场地评价。材料没有充分交代训练–测试留出方式，故 OOD 记 not_reported，而不是据沉默填 0；明确只有单一模拟设置，跨场地记 confirmed_absent。输出为确定性结果，没有校准或后验检查；该工作没有把代理嵌入反演／优化／决策链，代理误差传播不适用。,核查字段：现场验证类别。全文页码／章节：PDF pp.1–10（全文幻灯片：问题、PINN 架构、模拟结果与结论）。全文证据：全文材料展示的是基于数值场的 physics-informed deep learning：损失中加入控制方程／边界条件并预测 CO₂ 储层响应；未出现现场观测、计划注入数据或跨场地评价。材料没有充分交代训练–测试留出方式，故 OOD 记 not_reported，而不是据沉默填 0；明确只有单一模拟设置，跨场地记 confirmed_absent。输出为确定性结果，没有校准或后验检查；该工作没有把代理嵌入反演／优化／决策链，代理误差传播不适用。。复核信心：high。,全文明确的 ML 评价对象仅为合成模拟、实验室数据库或场地模型模拟，未与现场观测或运行结果比较；这属于明确缺失。因此最终编码为“confirmed_absent”；原锁定值“not_reported”在本行全文证据及当前 Codebook 边界下不采用。,Xiaoyang Zhang (XZ),Yangqi Ma (YM),2026-07-29,2026-07-30,outputs\wp8_ijggc_v2_2026-07-30\IJGGC_V2_INDEPENDENT_REVIEW_FINALIZED_LOCKED.xlsx,prior26
ESR_Pawar2023_168,field_validation_category,confirmed_absent,not_reported,confirmed_absent,author_adjudicated_disagreement,yes,论文用数值模拟生成的压力／饱和度场训练 FNO，并在同一合成数据生成机制的留出样本上报告误差；没有现场观测、计划注入数据、跨场地或明确分布外设置。FNO 未嵌入物理方程，物理性主要继承自训练模拟器；也未报告概率校准。本文只评价快速前向预测，没有实施反演、优化或储层决策，因此代理误差传播记 not_applicable。,核查字段：现场验证类别。全文页码／章节：PDF pp.1–5（全文：模拟数据、FNO 训练／测试与结果）。全文证据：论文用数值模拟生成的压力／饱和度场训练 FNO，并在同一合成数据生成机制的留出样本上报告误差；没有现场观测、计划注入数据、跨场地或明确分布外设置。FNO 未嵌入物理方程，物理性主要继承自训练模拟器；也未报告概率校准。本文只评价快速前向预测，没有实施反演、优化或储层决策，因此代理误差传播记 not_applicable。。复核信心：high。,全文明确的 ML 评价对象仅为合成模拟、实验室数据库或场地模型模拟，未与现场观测或运行结果比较；这属于明确缺失。因此最终编码为“confirmed_absent”；原锁定值“not_reported”在本行全文证据及当前 Codebook 边界下不采用。,Xiaoyang Zhang (XZ),Yangqi Ma (YM),2026-07-29,2026-07-30,outputs\wp8_ijggc_v2_2026-07-30\IJGGC_V2_INDEPENDENT_REVIEW_FINALIZED_LOCKED.xlsx,prior26
