paper_id,title,application_group,wp5_main_package,locked_ml_method_family,locked_specific_model,decision_supported,primary_method_family_id,primary_method_family,secondary_method_family_id,secondary_method_family,mapping_confidence,mapping_status,mapping_basis,ambiguity_note,quantitative_use,source_fields,wp9_8_r1_analysis_version,wp9_8_r1_review_item_id,wp9_8_r1_reviewer,wp9_8_r1_review_date,wp9_8_r1_evidence_locator,wp9_8_r1_source_workbook_sha256
Arafath2025_MalayBasinML,Permeability Prediction and Potential Site Assessment for CO2 Storage from Core Data and Well-Log Data in Malay Basin Using Advanced Machine Learning Algorithms,Screening and characterization,P1_screening_capacity,supervised classification,multilayer perceptron and Naive Bayes,screen reservoir and caprock intervals for potential CO2 storage,F1_unconstrained_data_driven,Unconstrained data-driven predictors,,,high,stable_for_synthesis,Principal inferential or decision role; architecture retained as secondary when the workflow is hybrid.,,descriptive primary-family crosswalk only; no maturity score changed,ml_method_family; specific_model; decision_supported; application_group; WP5 main package,WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,,,,,
Attanasi2025_ResourceML,Machine learning provides reconnaissance-type estimates of carbon dioxide storage resources in oil and gas reservoirs,Screening and characterization,P1_screening_capacity,supervised machine learning,four machine-learning algorithms for storage-resource estimation,reconnaissance storage-resource screening,F1_unconstrained_data_driven,Unconstrained data-driven predictors,,,high,stable_for_synthesis,Principal inferential or decision role; architecture retained as secondary when the workflow is hybrid.,,descriptive primary-family crosswalk only; no maturity score changed,ml_method_family; specific_model; decision_supported; application_group; WP5 main package,WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,,,,,
Baek2023_WellboreLeakage,Enabling site-specific well leakage risk estimation during geologic carbon sequestration using a modular deep-learning-based wellbore leakage model,"Leakage, wellbore and containment risk",P6_wellbore_integrity,deep learning surrogate,modular deep-learning-based wellbore leakage model,site-specific wellbore leakage risk screening,F1_unconstrained_data_driven,Unconstrained data-driven predictors,,,high,stable_for_synthesis,Principal inferential or decision role; architecture retained as secondary when the workflow is hybrid.,,descriptive primary-family crosswalk only; no maturity score changed,ml_method_family; specific_model; decision_supported; application_group; WP5 main package,WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,,,,,
Crain2023_MonitoringHistory,An integrated framework for optimal monitoring and history matching in CO2 storage projects,"Monitoring, inversion and updating",P4_monitoring_mrv,Bayesian/data-assimilation workflow,optimal monitoring and history matching framework,monitoring-well design and history matching for CO2 storage operations,F7_digital_twin_monitoring_updated,Digital-twin or monitoring-updated systems,F5_probabilistic_generative_inversion,Probabilistic and generative inversion,author_verified,author_verified_wp9_8_r1,主要推断角色是以监测井数据持续更新储层模型和监测设计，故主类F7；概率历史拟合是实现该更新的次要机制，保留F5。,Resolved by signed WP9.8-R1 author review.,descriptive primary-family crosswalk only; no maturity score changed,ml_method_family; specific_model; decision_supported; application_group; WP5 main package,WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,M01,Yangqi Ma,2026-08-01,"PDF pp. 2–4, monitoring-well optimization/history matching; pp. 8–13, Results",3ece3b766ddcd28748301a1f3b894a6012dcf9d2a3a1aea810f645303c29e1fe
Diplas2026_DOEInjection,A Fully Automated Design of Experiments-Based Method for Rapidly Screening Near-Optimal CO2 Injection Strategies,Operation and control,P2_pressure_control,response-surface surrogate and optimization,radial basis function and polynomial regression with DoE,screen well placement and rate allocations near operational pressure limits,F6_control_reinforcement_learning,Control and reinforcement-learning workflows,,,high,stable_for_synthesis,Principal inferential or decision role; architecture retained as secondary when the workflow is hybrid.,,descriptive primary-family crosswalk only; no maturity score changed,ml_method_family; specific_model; decision_supported; application_group; WP5 main package,WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,,,,,
ESR_Chan2024_124,Accelerated Co2 Storage Optimization Using Multi-Resolution Fourier Neural Operator at the Illinois Basin Decatur Project (Ibdp),Operation and control,P2_pressure_control,neural operator,multi-resolution Fourier neural operator,accelerated storage optimization at the Illinois Basin Decatur Project,F6_control_reinforcement_learning,Control and reinforcement-learning workflows,F3_neural_operator_multifidelity,Neural operators and multi-fidelity surrogates,author_verified,author_verified_wp9_8_r1,主要工作流是多目标注入计划/速率控制优化，故主类F6；多分辨率FNO是优化所用代理架构，作为次类F3。,Resolved by signed WP9.8-R1 author review.,descriptive primary-family crosswalk only; no maturity score changed,ml_method_family; specific_model; decision_supported; application_group; WP5 main package,WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,M02,Yangqi Ma,2026-08-01,"PDF pp. 8–10, Sections 4.3–4.5, Figs. 9–12",3ece3b766ddcd28748301a1f3b894a6012dcf9d2a3a1aea810f645303c29e1fe
ESR_Chen2024_119,Optimization of pressure management strategies for geological CO2 storage using surrogate model-based reinforcement learning,Operation and control,P2_pressure_control,reinforcement learning,surrogate model-based reinforcement learning,optimize pressure-management strategy under storage constraints,F6_control_reinforcement_learning,Control and reinforcement-learning workflows,,,high,stable_for_synthesis,Principal inferential or decision role; architecture retained as secondary when the workflow is hybrid.,,descriptive primary-family crosswalk only; no maturity score changed,ml_method_family; specific_model; decision_supported; application_group; WP5 main package,WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,,,,,
ESR_Falola2024_123,Application of Neural Operator Technique for Rapid Forecast of CO2 Pressure and Saturation Distribution,Storage dynamics and surrogates,P3_plume_trapping,neural operator,Fourier/Wavelet neural operator style surrogate,rapid forecast of CO2 pressure and saturation distributions under injection scenarios,F3_neural_operator_multifidelity,Neural operators and multi-fidelity surrogates,,,high,stable_for_synthesis,Principal inferential or decision role; architecture retained as secondary when the workflow is hybrid.,,descriptive primary-family crosswalk only; no maturity score changed,ml_method_family; specific_model; decision_supported; application_group; WP5 main package,WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,,,,,
ESR_Hassani2024_118,Machine Learning-Based CO2 Saturation Tracking in Saline Aquifers Using Bottomhole Pressure for Carbon Capture and Storage CCS Projects,Storage dynamics and surrogates,P3_plume_trapping,supervised machine learning,"random forest, SVR, RNN, and LSTM",tracking CO2 saturation evolution using pressure observations,F1_unconstrained_data_driven,Unconstrained data-driven predictors,,,high,stable_for_synthesis,Principal inferential or decision role; architecture retained as secondary when the workflow is hybrid.,,descriptive primary-family crosswalk only; no maturity score changed,ml_method_family; specific_model; decision_supported; application_group; WP5 main package,WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,,,,,
ESR_Kadeethum2024_128,An improved neural operator framework for large-scale CO2 storage operations,Storage dynamics and surrogates,P3_plume_trapping,neural operator,improved DeepONet / neural operator framework,rapid forecast of pressure and CO2 saturation for storage-operation screening,F3_neural_operator_multifidelity,Neural operators and multi-fidelity surrogates,,,high,stable_for_synthesis,Principal inferential or decision role; architecture retained as secondary when the workflow is hybrid.,,descriptive primary-family crosswalk only; no maturity score changed,ml_method_family; specific_model; decision_supported; application_group; WP5 main package,WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,,,,,
