analysis_universe,metric,N,positive,available,missing_or_unavailable,observed_fraction_of_total,positive_paper_ids,interpretation
Peer-reviewed journal-only sensitivity set,synthetic_led_evidence,49,37,47,2,0.755,Baek2023_WellboreLeakage;Crain2023_MonitoringHistory;Diplas2026_DOEInjection;ESR_Chan2024_124;ESR_Chen2024_119;ESR_Kadeethum2024_128;ESR_Kanakaki2025_045;ESR_Liu2025_121;ESR_Lozano2025_215;ESR_Nunez2023_166;ESR_Park2025_223;ESR_Tang2024_135;ESR_Zhang2025_115;ESR_Zheng2025_207;Gahlot2025_DigitalShadow;Han2024_HierarchicalMCMC;Jiang2024_DSIHistoryMatching;Lin2020_PressureLeakage;Lu2022_BayesianOptimization;Mo2018_EncoderDecoderUQ;Seabra2024_AIEnhancedDA;Shokouhi2021_PhysicsInformedSite;TARGET_DRLGeoRisk2026_214483;TARGET_JointInversion2023_2022JB025372;Tang2022_DLDataAssimilationForecasting;Tang2024_GNNFaulted;Teng2024_LikelihoodFreeDA;VoThanh2026_DigitalTwinGNN;Wang2025_4DHistoryMatching;Wen2021_CCSNet;Wen2021_PlumeDNN;Wen2022_UFNO;Wen2023_NestedFNO;Witte2023_WNO;Yan2021_RobustDLWorkflow;Zhang2021_LearningInversionFreeForecast;Zhong2019_PressureAnomaly,Descriptive sensitivity count only; the corpus is not a random sample and no population-prevalence inference is intended.
Peer-reviewed journal-only sensitivity set,score_ge3::field_evidence_score,49,7,48,1,0.143,Arafath2025_MalayBasinML;ESR_Wang2024_089;ESR_Zhang2025_178;Leong2024_SeisCO2Net;Lin2020_PressureLeakage;Lu2025_GISMLSite;Zhong2019_PressureAnomaly,Descriptive sensitivity count only; the corpus is not a random sample and no population-prevalence inference is intended.
Peer-reviewed journal-only sensitivity set,score_ge3::physical_consistency_score,49,38,49,0,0.776,Baek2023_WellboreLeakage;Crain2023_MonitoringHistory;Diplas2026_DOEInjection;ESR_Chan2024_124;ESR_Chen2024_119;ESR_Kanakaki2025_045;ESR_Lozano2025_215;ESR_Meng2025_211;ESR_Nunez2023_166;ESR_Park2025_223;ESR_Tang2022_226;ESR_Tang2024_135;ESR_Um2024_091;ESR_Um2024_104;ESR_Zhang2025_115;ESR_Zhang2025_178;ESR_Zheng2025_207;Gahlot2025_DigitalShadow;Han2024_HierarchicalMCMC;Jiang2024_DSIHistoryMatching;Leong2024_SeisCO2Net;Lu2022_BayesianOptimization;Mo2018_EncoderDecoderUQ;Seabra2024_AIEnhancedDA;Shokouhi2021_PhysicsInformedSite;TARGET_DRLGeoRisk2026_214483;TARGET_JointInversion2023_2022JB025372;Tang2022_DLDataAssimilationForecasting;Tang2024_GNNFaulted;Teng2024_LikelihoodFreeDA;VoThanh2026_DigitalTwinGNN;Wang2025_4DHistoryMatching;Wen2021_CCSNet;Wen2021_PlumeDNN;Wen2022_UFNO;Wen2023_NestedFNO;Witte2023_WNO;Yan2021_RobustDLWorkflow,Descriptive sensitivity count only; the corpus is not a random sample and no population-prevalence inference is intended.
Peer-reviewed journal-only sensitivity set,score_ge3::uncertainty_score,49,14,48,1,0.286,Crain2023_MonitoringHistory;ESR_Lozano2025_215;ESR_Tang2022_226;Gahlot2025_DigitalShadow;Han2024_HierarchicalMCMC;Jiang2024_DSIHistoryMatching;Mo2018_EncoderDecoderUQ;Seabra2024_AIEnhancedDA;Tang2022_DLDataAssimilationForecasting;Teng2024_LikelihoodFreeDA;VoThanh2026_DigitalTwinGNN;Wang2025_4DHistoryMatching;Zhang2021_LearningInversionFreeForecast;Zhong2019_PressureAnomaly,Descriptive sensitivity count only; the corpus is not a random sample and no population-prevalence inference is intended.
Peer-reviewed journal-only sensitivity set,score_ge3::transferability_score,49,6,48,1,0.122,ESR_Zhang2025_115;Seabra2024_AIEnhancedDA;Tang2022_DLDataAssimilationForecasting;Tang2024_GNNFaulted;VoThanh2026_DigitalTwinGNN;Wen2021_PlumeDNN,Descriptive sensitivity count only; the corpus is not a random sample and no population-prevalence inference is intended.
Peer-reviewed journal-only sensitivity set,score_ge3::decision_readiness_score,49,11,49,0,0.224,Baek2023_WellboreLeakage;Crain2023_MonitoringHistory;Diplas2026_DOEInjection;ESR_Tang2022_226;Leong2024_SeisCO2Net;Lin2020_PressureLeakage;Lu2022_BayesianOptimization;TARGET_DRLGeoRisk2026_214483;Wang2025_4DHistoryMatching;Wen2023_NestedFNO;Zhong2019_PressureAnomaly,Descriptive sensitivity count only; the corpus is not a random sample and no population-prevalence inference is intended.
Peer-reviewed journal-only sensitivity set,direct_field_validation,49,7,48,1,0.143,Arafath2025_MalayBasinML;ESR_Wang2024_089;ESR_Zhang2025_178;Leong2024_SeisCO2Net;Lin2020_PressureLeakage;Lu2025_GISMLSite;Zhong2019_PressureAnomaly,Descriptive sensitivity count only; the corpus is not a random sample and no population-prevalence inference is intended.
Peer-reviewed journal-only sensitivity set,controlled_release_ml_validation,49,5,48,1,0.102,ESR_Wang2024_089;ESR_Zhang2025_178;Leong2024_SeisCO2Net;Lin2020_PressureLeakage;Zhong2019_PressureAnomaly,Descriptive sensitivity count only; the corpus is not a random sample and no population-prevalence inference is intended.
Peer-reviewed journal-only sensitivity set,explicit_ood_testing,49,12,47,2,0.245,ESR_Chan2024_124;ESR_Tang2022_226;ESR_Zhang2025_115;Leong2024_SeisCO2Net;Lin2020_PressureLeakage;Seabra2024_AIEnhancedDA;Tang2022_DLDataAssimilationForecasting;Tang2024_GNNFaulted;VoThanh2026_DigitalTwinGNN;Wen2021_PlumeDNN;Wen2022_UFNO;Zhong2019_PressureAnomaly,Descriptive sensitivity count only; the corpus is not a random sample and no population-prevalence inference is intended.
Peer-reviewed journal-only sensitivity set,explicit_cross_site_testing,49,0,48,1,0.000,,Descriptive sensitivity count only; the corpus is not a random sample and no population-prevalence inference is intended.
