application_group,outcome,outcome_label,total_N,positive_n,positive_fraction_total,not_reported_n,unclear_n
Storage dynamics and surrogates,direct_field_validation,Direct field evaluation,22,0,0.0,22,0
Storage dynamics and surrogates,controlled_release_ml_validation,Controlled-event evaluation,22,0,0.0,22,0
Storage dynamics and surrogates,explicit_ood_testing,Explicit OOD testing,22,9,0.4090909090909091,11,2
Storage dynamics and surrogates,explicit_cross_site_testing,Cross-site / setting testing,22,0,0.0,21,1
Storage dynamics and surrogates,uncertainty_calibration_or_posterior_check,Calibrated UQ / posterior check,22,1,0.045454545454545456,21,0
Storage dynamics and surrogates,surrogate_error_propagation,Surrogate-error propagation,22,0,0.0,22,0
Storage dynamics and surrogates,any_physical_diagnostic_checked,Any physical diagnostic,22,8,0.36363636363636365,10,0
"Monitoring, inversion and updating",direct_field_validation,Direct field evaluation,13,2,0.15384615384615385,10,0
"Monitoring, inversion and updating",controlled_release_ml_validation,Controlled-event evaluation,13,1,0.07692307692307693,11,0
"Monitoring, inversion and updating",explicit_ood_testing,Explicit OOD testing,13,4,0.3076923076923077,8,0
"Monitoring, inversion and updating",explicit_cross_site_testing,Cross-site / setting testing,13,0,0.0,12,0
"Monitoring, inversion and updating",uncertainty_calibration_or_posterior_check,Calibrated UQ / posterior check,13,3,0.23076923076923078,7,3
"Monitoring, inversion and updating",surrogate_error_propagation,Surrogate-error propagation,13,3,0.23076923076923078,6,3
"Monitoring, inversion and updating",any_physical_diagnostic_checked,Any physical diagnostic,13,5,0.38461538461538464,2,0
"Leakage, wellbore and containment risk",direct_field_validation,Direct field evaluation,9,0,0.0,8,0
"Leakage, wellbore and containment risk",controlled_release_ml_validation,Controlled-event evaluation,9,2,0.2222222222222222,6,0
"Leakage, wellbore and containment risk",explicit_ood_testing,Explicit OOD testing,9,6,0.6666666666666666,3,0
"Leakage, wellbore and containment risk",explicit_cross_site_testing,Cross-site / setting testing,9,0,0.0,8,0
"Leakage, wellbore and containment risk",uncertainty_calibration_or_posterior_check,Calibrated UQ / posterior check,9,4,0.4444444444444444,5,0
"Leakage, wellbore and containment risk",surrogate_error_propagation,Surrogate-error propagation,9,1,0.1111111111111111,8,0
"Leakage, wellbore and containment risk",any_physical_diagnostic_checked,Any physical diagnostic,9,6,0.6666666666666666,1,0
Operation and control,direct_field_validation,Direct field evaluation,7,0,0.0,5,0
Operation and control,controlled_release_ml_validation,Controlled-event evaluation,7,0,0.0,5,0
Operation and control,explicit_ood_testing,Explicit OOD testing,7,4,0.5714285714285714,2,0
Operation and control,explicit_cross_site_testing,Cross-site / setting testing,7,1,0.14285714285714285,4,0
Operation and control,uncertainty_calibration_or_posterior_check,Calibrated UQ / posterior check,7,1,0.14285714285714285,4,0
Operation and control,surrogate_error_propagation,Surrogate-error propagation,7,0,0.0,7,0
Operation and control,any_physical_diagnostic_checked,Any physical diagnostic,7,3,0.42857142857142855,2,0
Screening and characterization,direct_field_validation,Direct field evaluation,4,1,0.25,3,0
Screening and characterization,controlled_release_ml_validation,Controlled-event evaluation,4,0,0.0,3,0
Screening and characterization,explicit_ood_testing,Explicit OOD testing,4,2,0.5,1,0
Screening and characterization,explicit_cross_site_testing,Cross-site / setting testing,4,0,0.0,3,0
Screening and characterization,uncertainty_calibration_or_posterior_check,Calibrated UQ / posterior check,4,1,0.25,2,0
Screening and characterization,surrogate_error_propagation,Surrogate-error propagation,4,0,0.0,3,0
Screening and characterization,any_physical_diagnostic_checked,Any physical diagnostic,4,0,0.0,0,0
Other / cross-cutting,direct_field_validation,Direct field evaluation,2,0,0.0,2,0
Other / cross-cutting,controlled_release_ml_validation,Controlled-event evaluation,2,0,0.0,2,0
Other / cross-cutting,explicit_ood_testing,Explicit OOD testing,2,1,0.5,1,0
Other / cross-cutting,explicit_cross_site_testing,Cross-site / setting testing,2,0,0.0,2,0
Other / cross-cutting,uncertainty_calibration_or_posterior_check,Calibrated UQ / posterior check,2,0,0.0,1,1
Other / cross-cutting,surrogate_error_propagation,Surrogate-error propagation,2,0,0.0,1,1
Other / cross-cutting,any_physical_diagnostic_checked,Any physical diagnostic,2,1,0.5,0,0
