review_id,authors,year,scope,corpus_verification,decision_framing,method_evolution,physical_diagnostics,uncertainty_calibration,transfer_testing,field_validation,mrv_auditability,open_traceability,missingness_aware_coding,minimum_validation_packages,remaining_delta_for_this_review
Li2023_GCSMLReview,Li et al.,2023,"Geological storage mechanisms, projects, and ML applications",unclear,partial,yes,partial,partial,unclear,partial,unclear,unclear,unclear,unclear,"Verified paper-level maturity fields, explicit missingness, and MRV-facing auditability."
Mao2024_DecisionReview,Mao and Jahanbani Ghahfarokhi,2024,Intelligent decision-making for geological CO2 storage from reservoir engineering,unclear,yes,partial,partial,partial,partial,partial,unclear,unclear,unclear,partial,"Decision-specific minimum evidence packages tied to consequence, uncertainty, physical diagnostics, and auditability."
Lin2025_MLDrivenGCSReview,Lin et al.,2025,Comprehensive ML-driven geological CO2 storage review,partial,partial,yes,partial,partial,partial,partial,partial,unclear,unclear,partial,"Decision-centered evidence requirements, explicit unknown handling, and traceability from visual elements to paper IDs."
Marvin2025_MLGCSReview,Marvin et al.,2025,Progress and implications of ML in geological CO2 storage,unclear,partial,yes,partial,partial,partial,partial,partial,unclear,unclear,partial,Missingness-aware coding and decision-threshold evidence rather than broad challenge enumeration.
AlMudhafar2026_MLLifecycleReview,Watheq J. Al-Mudhafar; Ahmed Alsubaih; Kamy Sepehrnoori,2026,"ML applications organized by pre-injection, injection, and post-injection stages.",unclear,yes,yes,yes,partial,partial,partial,partial,unclear,unclear,partial,"The remaining contribution is the integrated, full-text-verified study ledger with explicit missingness, public quantitative traceability, seven decision-specific minimum validation packages, and non-compensatory evidence logic."
CruzAzuara2026_MLStorageEORReview,de la Cruz-Azuara et al.,2026,ML for geological storage and CO2-EOR with sim-to-real and field-deployment roadmap,partial,partial,yes,partial,partial,yes,partial,partial,yes,unclear,unclear,"Storage-only decision-specific evidence packages, MRV and stewardship auditability, strict missingness states, and element-level traceability."
Wang2026_LifecycleTrustworthyReview,Chunkai Wang et al.,2026,Lifecycle ML applications and requirements for trustworthy geological CO2 storage deployment.,unclear,yes,partial,yes,partial,yes,partial,yes,unclear,unclear,partial,"The remaining contribution is the integrated, full-text-verified study ledger with explicit missingness, public quantitative traceability, seven decision-specific minimum validation packages, and non-compensatory evidence logic."
Wei2026_AIUncertaintyDecisionReview,Wenkai Wei et al.,2026,AI methods from surrogate prediction to uncertainty-aware storage decision making.,partial,yes,yes,yes,yes,yes,partial,partial,unclear,unclear,partial,"The remaining contribution is the integrated, full-text-verified study ledger with explicit missingness, public quantitative traceability, seven decision-specific minimum validation packages, and non-compensatory evidence logic."
Yan2021_MLCCUSReview,Yan et al.,2021,"Broad ML across capture, utilization, transport-adjacent topics, and geological storage",unclear,partial,partial,partial,partial,unclear,partial,unclear,unclear,unclear,unclear,Storage-only missingness-aware evidence coding and decision-specific validation packages.
Li2024_StatComputationalReview,Li et al.,2024,Statistical and computational methods for geological CO2 storage,unclear,partial,partial,partial,partial,unclear,partial,unclear,unclear,unclear,unclear,"Joint maturity vector with strict definitions for calibration, OOD, field evidence, and surrogate-error propagation."
WangChuLyu2024_DLReview,Yanwei Wang; Hongyang Chu; Xiaocong Lyu,2024,Deep-learning methods across geological utilization and storage.,not_applicable,partial,yes,partial,unclear,unclear,unclear,unclear,unclear,unclear,unclear,"The remaining contribution is the integrated, full-text-verified study ledger with explicit missingness, public quantitative traceability, seven decision-specific minimum validation packages, and non-compensatory evidence logic."
Aminaho2026_AIMonitoringReview,Aminaho et al.,2026,AI methods for monitoring CO2 storage reservoirs,unclear,partial,partial,partial,partial,unclear,partial,partial,unclear,unclear,partial,"Integration of monitoring evidence with decision updates, provenance, thresholds, and stewardship audit trails."
Roberts2020_FieldReleaseLeakage,Roberts and Stalker,2020,Controlled CO2 release experiments and leakage-monitoring evidence,unclear,not_applicable,not_applicable,yes,partial,not_applicable,yes,partial,unclear,unclear,not_applicable,Use field-release lessons to specify leakage-ML validation packages without counting background anchors as ML studies.
Bashir2024_ComprehensiveStorageReview,Bashir et al.,2024,"Broad geological storage principles, mechanisms, and prospects",unclear,not_applicable,not_applicable,yes,partial,not_applicable,yes,partial,unclear,unclear,not_applicable,Translate established geoscience constraints into observable ML validation requirements.
PRESENT_SYNTHESIS,Present synthesis,2026,Decision-centred evidence-maturity synthesis with study-level traceability,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,"Integrates full-text verification, missingness-aware study-level traceability, method-specific evidence obligations and seven decision-specific minimum validation packages; historical search reconstruction remains partial."
