project_group,project_or_experiment_names,project_types,wp5_package_ids,monitoring_modalities,geological_lessons,primary_ml_validation_count,field_or_mechanism_background_count,benchmark_design_anchor_count,source_paper_ids,validation_implication,main_limitation
Aquistore,Aquistore,field_inspired_geomechanical_benchmark; field_pressure_plume_background; field_mmv_background,P2_pressure_control;P3_plume_trapping;P4_monitoring_mrv;P5_leakage_response;P7_geomechanics_seal,Aquistore-inspired conditional geostatistical model with simulated pressure and risk states; field-informed plume and pressure interaction analysis; integrated MMV program,"Pressure management must consider geological uncertainty, geomechanical response, and leakage-risk proxies jointly.; Multiple plume and pressure interactions complicate attribution of observed response to one injector or one geological feature.; Site-specific baseline design, acquisition geometry, and operational context determine whether a predicted signal can be observed and audited.",0,2,1,TARGET_DRLGeoRisk2026_214483;ESR_Shokri2024_206;LOCAL_Worth2014_AquistoreMMV,"Integrated MMV and plume-pressure interactions motivate monitoring-consistent, geomechanically aware control benchmarks.","The ML control evidence remains field inspired and simulated, not operational field validation."
Cauvery Basin,Cauvery Basin,field_derived_case_without_verified_field_evaluation,P1_screening_capacity;P2_pressure_control,field-derived seismic and reservoir characterization inputs,Field-derived inputs do not by themselves prove that an ML output was independently validated against observations or decisions.,0,0,1,ESR_Vishal2025_213,Field-derived inputs can make a characterization benchmark geologically relevant.,Independent evaluation against field observations is not reported in the locked coding.
CO2CRC Otway,CO2CRC Otway Project,field_rock_physics_background; field_detectability_background,P3_plume_trapping;P4_monitoring_mrv,4D seismic rock-physics modeling; 4D seismic detectability analysis,"Plume detectability depends on saturation-dependent rock physics and acquisition sensitivity, not saturation error alone.; A plume can be physically present but below survey detectability, so monitoring performance must be evaluated in observation space.",0,2,0,Caspari2015_OtwayRockPhysics;Pevzner2015_OtwayDetectability,Rock physics and survey detectability determine whether plume error is observable in seismic data.,These field studies define validation conditions but do not evaluate a primary ML workflow.
Cranfield,Cranfield HPT controlled-release experiments; Cranfield field-scale demonstration,controlled_release_experiment; field_monitoring_background; field_history_matching_background; field_leakage_attribution_background,P3_plume_trapping;P4_monitoring_mrv;P5_leakage_response,downhole pressure and controlled surface release; downhole pressure time series and artificial release; continuous downhole pressure; 4D seismic and reservoir simulation/history matching; soil-gas composition and source attribution,"Pressure anomalies are pathway-, well-, and operating-state dependent, so a detector must separate normal pressure evolution from an event signature.; Pressure monitoring can reveal leakage-related departures, but detectability depends on background variability and observation geometry.; Continuous pressure records expose operational variability and pressure communication relevant to anomaly baselines.; A field history match must reconcile plume evolution, reservoir dynamics, and survey response rather than optimize one data type in isolation.; An anomalous gas signal must be distinguished from biological and non-storage sources before a leakage response is triggered.",2,3,0,Lin2020_PressureLeakage;Zhong2019_PressureAnomaly;Meckel2009_CranfieldPDG;ESR_Alfi2016_220;ESR_Anderson2017_373,"Leakage classifiers should be tested on unseen events while pressure baselines, source attribution, and response logic are retained.",One controlled site cannot establish realistic base-rate performance or cross-site transfer.
Frio pilots,Frio-II pilot; Frio pilot,planned_experimental_injection; field_injection_background,P3_plume_trapping;P4_monitoring_mrv,time-lapse field seismic; pressure wells fluid sampling and time-lapse geophysics,"Seismic response to a small injected plume depends on acquisition repeatability, rock physics, and saturation sensitivity.; A small experimental injection provides known timing and mass but still exposes heterogeneity, migration, and monitoring-detectability limits.",1,1,0,Leong2024_SeisCO2Net;LOCAL_Hovorka2006_FrioPermanence,"Small planned injections can connect ML seismic inversion to known injection timing and field observations, with rock-physics and acquisition limits stated.",A controlled injection is not an artificial leakage event and remains a single experimental site.
Ginninderra,Ginninderra controlled-release experiment,controlled_release_background,P5_leakage_response,controlled subsurface release and near-surface monitoring,"Controlled releases permit known-event evaluation but remain sensitive to site-specific soil, weather, pathway, and sensor conditions.",0,1,0,LOCAL_Feitz2018_Ginninderra,"Controlled releases support known-event benchmark design with explicit soil, pathway, weather, and sensor conditions.",Near-surface field-laboratory evidence does not establish general deep-storage detector performance.
GoraeV Basin,GoraeV Basin,heldout_simulation_setting,P2_pressure_control,blind simulation case for a distinct geological setting,A withheld geological setting tests model-domain shift more strongly than a random split but still lacks field observation error and operational context.,0,0,1,ESR_Wu2025_042,A held-out geological setting provides a stronger transfer test than a random split.,The blind case is simulated and must not be described as field cross-site validation.
Illinois Basin / IBDP,Illinois Basin field case; Illinois Basin-Decatur Project,field_derived_characterization; field_inspired_simulation_benchmark; field_inspired_transfer_benchmark; field_pressure_history_matching_background; near_surface_monitoring_background,P2_pressure_control;P3_plume_trapping;P4_monitoring_mrv;P5_leakage_response,core mineralogy and storage-related well data; project-informed geological model and simulated pressure/plume states; project-informed reservoir simulation; project-inspired geomodel simulations; multilevel reservoir pressure monitoring; soil CO2 flux monitoring,"Mineralogy and saturation interpretation inherit sampling, scale, and petrophysical non-uniqueness from field measurements.; Operational optimization must preserve site-relevant connectivity, pressure response, and injection constraints.; A saturation predictor used in storage decisions must remain reliable under changed states and constraints, not only random held-out samples.; Transfer claims require explicit separation of geological settings and preservation of plume and pressure behavior.; Vertical and lateral pressure observations constrain plume position and reservoir-model updating at different scales.; Near-surface flux varies for non-leak reasons, so background characterization and attribution are part of alarm validation.",1,2,3,ESR_Wang2024_089;ESR_Chan2024_124;ESR_Zhang2025_115;ESR_Nunez2023_166;ESR_Strandli2014_383;IBDP_SoilCO2FluxUpdate,"Field pressure, mineralogy, saturation, and near-surface monitoring define distinct validation targets; project-inspired simulation alone remains benchmark evidence.",Only workflows directly compared with observations count as field validation; several named-site studies remain simulated.
In Salah,In Salah,geomechanical_field_background,P2_pressure_control;P7_geomechanics_seal,InSAR surface deformation pressure history and geomechanical modeling,"Injection-induced deformation reflects pressure migration, structure, and coupled reservoir-caprock behavior; surface response can reveal model inadequacy.",0,1,0,LOCAL_White2014_InSalahGeomechanicalBehavior,"Pressure, deformation, and geomechanical response should be checked jointly when injection decisions can affect reservoir-caprock behavior.",A site-specific response does not establish universal pressure limits or validate an ML risk model.
Malay Basin X field,X field Malay Basin,field_derived_site_characterization,P1_screening_capacity,core analysis and well logs,"Permeability prediction and site screening depend on representativeness across formations, wells, and measurement scales.",1,0,0,Arafath2025_MalayBasinML,Held-out core and well-log observations can qualify characterization models for field-derived triage.,The database is not an operating CO2 storage project and does not validate dynamic capacity or containment.
