figure_id,visual_element_id,stage_id,element_type,displayed_text,source_files,source_fields,evidence_role,unknown_count,not_reported_count,confirmed_absent_count,claim_boundary
FigWP9_04,S1_stage,S1,stage,Benchmark and provenance readiness,evidence/WP5_MINIMUM_VALIDATION_PACKAGES.csv;evidence/FIELD_PROJECT_VALIDATION_SUMMARY.csv;evidence/JOURNAL_NEUTRAL_CODEBOOK_V2_WP9_3.md;evidence/WP9_4_METHOD_FAMILY_EVIDENCE_OBLIGATIONS.csv,WP5 minimum evidence fields; WP6 validation implication and limitation; WP9.3 dimensions; WP9.4 evidence obligations,author synthesis,not_applicable_to_synthesis_figure,not_applicable_to_synthesis_figure,not_applicable_to_synthesis_figure,"Representative of the wider storage domain, transferable, physically reliable or deployment ready."
FigWP9_04,S1_artifact,S1,artifact,Versioned benchmark and provenance dossier,evidence/WP5_MINIMUM_VALIDATION_PACKAGES.csv;evidence/FIELD_PROJECT_VALIDATION_SUMMARY.csv;evidence/JOURNAL_NEUTRAL_CODEBOOK_V2_WP9_3.md;evidence/WP9_4_METHOD_FAMILY_EVIDENCE_OBLIGATIONS.csv,WP5 minimum evidence fields; WP6 validation implication and limitation; WP9.3 dimensions; WP9.4 evidence obligations,author synthesis,not_applicable_to_synthesis_figure,not_applicable_to_synthesis_figure,not_applicable_to_synthesis_figure,"Representative of the wider storage domain, transferable, physically reliable or deployment ready."
FigWP9_04,S1_stop_condition,S1,stop_condition,"Provenance, split independence, label origin or use-domain limits cannot be reconstructed.",evidence/WP5_MINIMUM_VALIDATION_PACKAGES.csv;evidence/FIELD_PROJECT_VALIDATION_SUMMARY.csv;evidence/JOURNAL_NEUTRAL_CODEBOOK_V2_WP9_3.md;evidence/WP9_4_METHOD_FAMILY_EVIDENCE_OBLIGATIONS.csv,WP5 minimum evidence fields; WP6 validation implication and limitation; WP9.3 dimensions; WP9.4 evidence obligations,author synthesis,not_applicable_to_synthesis_figure,not_applicable_to_synthesis_figure,not_applicable_to_synthesis_figure,"Representative of the wider storage domain, transferable, physically reliable or deployment ready."
FigWP9_04,S1_admissible_claim,S1,admissible_claim,The workflow is reproducible within a defined benchmark domain.,evidence/WP5_MINIMUM_VALIDATION_PACKAGES.csv;evidence/FIELD_PROJECT_VALIDATION_SUMMARY.csv;evidence/JOURNAL_NEUTRAL_CODEBOOK_V2_WP9_3.md;evidence/WP9_4_METHOD_FAMILY_EVIDENCE_OBLIGATIONS.csv,WP5 minimum evidence fields; WP6 validation implication and limitation; WP9.3 dimensions; WP9.4 evidence obligations,author synthesis,not_applicable_to_synthesis_figure,not_applicable_to_synthesis_figure,not_applicable_to_synthesis_figure,"Representative of the wider storage domain, transferable, physically reliable or deployment ready."
FigWP9_04,S2_stage,S2,stage,Physical-diagnostic qualification,evidence/WP5_MINIMUM_VALIDATION_PACKAGES.csv;evidence/FIELD_PROJECT_VALIDATION_SUMMARY.csv;evidence/JOURNAL_NEUTRAL_CODEBOOK_V2_WP9_3.md;evidence/WP9_4_METHOD_FAMILY_EVIDENCE_OBLIGATIONS.csv,WP5 minimum evidence fields; WP6 validation implication and limitation; WP9.3 dimensions; WP9.4 evidence obligations,author synthesis,not_applicable_to_synthesis_figure,not_applicable_to_synthesis_figure,not_applicable_to_synthesis_figure,"Physically valid outside the tested regime, decision safe, transferable or field ready."
FigWP9_04,S2_artifact,S2,artifact,Decision-variable physical diagnostic report,evidence/WP5_MINIMUM_VALIDATION_PACKAGES.csv;evidence/FIELD_PROJECT_VALIDATION_SUMMARY.csv;evidence/JOURNAL_NEUTRAL_CODEBOOK_V2_WP9_3.md;evidence/WP9_4_METHOD_FAMILY_EVIDENCE_OBLIGATIONS.csv,WP5 minimum evidence fields; WP6 validation implication and limitation; WP9.3 dimensions; WP9.4 evidence obligations,author synthesis,not_applicable_to_synthesis_figure,not_applicable_to_synthesis_figure,not_applicable_to_synthesis_figure,"Physically valid outside the tested regime, decision safe, transferable or field ready."
FigWP9_04,S2_stop_condition,S2,stop_condition,"Only aggregate predictive error is reported, or the physical relation controlling the decision is neither encoded nor quantitatively checked.",evidence/WP5_MINIMUM_VALIDATION_PACKAGES.csv;evidence/FIELD_PROJECT_VALIDATION_SUMMARY.csv;evidence/JOURNAL_NEUTRAL_CODEBOOK_V2_WP9_3.md;evidence/WP9_4_METHOD_FAMILY_EVIDENCE_OBLIGATIONS.csv,WP5 minimum evidence fields; WP6 validation implication and limitation; WP9.3 dimensions; WP9.4 evidence obligations,author synthesis,not_applicable_to_synthesis_figure,not_applicable_to_synthesis_figure,not_applicable_to_synthesis_figure,"Physically valid outside the tested regime, decision safe, transferable or field ready."
FigWP9_04,S2_admissible_claim,S2,admissible_claim,The model is physically diagnosed for the evaluated process and regime.,evidence/WP5_MINIMUM_VALIDATION_PACKAGES.csv;evidence/FIELD_PROJECT_VALIDATION_SUMMARY.csv;evidence/JOURNAL_NEUTRAL_CODEBOOK_V2_WP9_3.md;evidence/WP9_4_METHOD_FAMILY_EVIDENCE_OBLIGATIONS.csv,WP5 minimum evidence fields; WP6 validation implication and limitation; WP9.3 dimensions; WP9.4 evidence obligations,author synthesis,not_applicable_to_synthesis_figure,not_applicable_to_synthesis_figure,not_applicable_to_synthesis_figure,"Physically valid outside the tested regime, decision safe, transferable or field ready."
FigWP9_04,S3_stage,S3,stage,Calibrated uncertainty and surrogate-error propagation,evidence/WP5_MINIMUM_VALIDATION_PACKAGES.csv;evidence/FIELD_PROJECT_VALIDATION_SUMMARY.csv;evidence/JOURNAL_NEUTRAL_CODEBOOK_V2_WP9_3.md;evidence/WP9_4_METHOD_FAMILY_EVIDENCE_OBLIGATIONS.csv,WP5 minimum evidence fields; WP6 validation implication and limitation; WP9.3 dimensions; WP9.4 evidence obligations,author synthesis,not_applicable_to_synthesis_figure,not_applicable_to_synthesis_figure,not_applicable_to_synthesis_figure,"Calibrated under distribution shift, decision robust or risk bounded beyond the evaluated regime."
FigWP9_04,S3_artifact,S3,artifact,Calibration and discrepancy-propagation dossier,evidence/WP5_MINIMUM_VALIDATION_PACKAGES.csv;evidence/FIELD_PROJECT_VALIDATION_SUMMARY.csv;evidence/JOURNAL_NEUTRAL_CODEBOOK_V2_WP9_3.md;evidence/WP9_4_METHOD_FAMILY_EVIDENCE_OBLIGATIONS.csv,WP5 minimum evidence fields; WP6 validation implication and limitation; WP9.3 dimensions; WP9.4 evidence obligations,author synthesis,not_applicable_to_synthesis_figure,not_applicable_to_synthesis_figure,not_applicable_to_synthesis_figure,"Calibrated under distribution shift, decision robust or risk bounded beyond the evaluated regime."
