review_item_id,paper_id,dimension,category_field,prior_category,final_category,score_field,prior_score,final_score,score_state,evidence_page_or_section,decision_rationale,review_decision,reviewer_name,reviewer_affiliation,review_date,signature_or_initials,row_completion,source_workbook_sha256
F001,Baek2023_WellboreLeakage,decision_readiness,decision_metric_used,not reported,named_decision_linkage,decision_readiness_score,3,2,scored,"PDF p. 3, Section 1; pp. 8–10, Sections 4.3–5",泄漏风险分布明确连接到场址可行性和监管判断，但未评价阈值、告警、优化目标或可审计行动规则；按WP9.3记named_decision_linkage、2分。,changed,Yangqi Ma,,2026-08-01,YM,complete,3ece3b766ddcd28748301a1f3b894a6012dcf9d2a3a1aea810f645303c29e1fe
F002,Crain2023_MonitoringHistory,decision_readiness,decision_metric_used,not reported,evaluated_decision_mechanism,decision_readiness_score,3,3,scored,"PDF pp. 2–4, Optimization of Monitoring Well Locations; pp. 8–13, Results",论文把监测井位置作为优化变量，并以历史拟合后的不确定性降低量评价方案，构成已评价的监测设计和更新机制；未展示运行审计与责任路径，故3分。,changed,Yangqi Ma,,2026-08-01,YM,complete,3ece3b766ddcd28748301a1f3b894a6012dcf9d2a3a1aea810f645303c29e1fe
F003,ESR_Tang2022_226,decision_readiness,decision_metric_used,explicit decision metric unknown from metadata,evaluated_decision_mechanism,decision_readiness_score,3,3,scored,"PDF pp. 32–35, Section 4.4, Figs. 10–12",ES–MDA以观测更新储层模型，并评价当前与未来压力、地表位移预测，属于已测试的监测更新机制；未形成可审计运行流程，故3分。,changed,Yangqi Ma,,2026-08-01,YM,complete,3ece3b766ddcd28748301a1f3b894a6012dcf9d2a3a1aea810f645303c29e1fe
F004,Leong2024_SeisCO2Net,decision_readiness,decision_metric_used,not reported,named_decision_linkage,decision_readiness_score,3,2,scored,"PDF pp. 18–20, Sections 2.5–2.7; pp. 35–48, Field-data results",反演的CO₂饱和度图明确服务于Frio–II羽流监测，但全文未评价阈值、告警、监测更新或优化目标；因此只满足命名决策关联、2分。,changed,Yangqi Ma,,2026-08-01,YM,complete,3ece3b766ddcd28748301a1f3b894a6012dcf9d2a3a1aea810f645303c29e1fe
F005,Lin2020_PressureLeakage,decision_readiness,decision_metric_used,not reported,evaluated_decision_mechanism,decision_readiness_score,4,3,scored,"PDF pp. 11–13, Sections 3.1–3.2; pp. 18–26, Sections 4–6",文中定义平方误差阈值并在受控泄漏试验上评价早期告警，满足已评价阈值机制；没有人员责任、审计记录或运行采用证据，不能记4分。,changed,Yangqi Ma,,2026-08-01,YM,complete,3ece3b766ddcd28748301a1f3b894a6012dcf9d2a3a1aea810f645303c29e1fe
F006,Lu2022_BayesianOptimization,decision_readiness,decision_metric_used,not reported,evaluated_decision_mechanism,decision_readiness_score,3,3,scored,"PDF pp. 3–4, Section 3; pp. 7–8, Eq. 10 and Sections 4.3–5",贝叶斯优化明确评价注入周期与累计封存量目标，且候选方案由储层模拟器复核，属于已评价的优化决策机制；无可审计现场实施链，故3分。,changed,Yangqi Ma,,2026-08-01,YM,complete,3ece3b766ddcd28748301a1f3b894a6012dcf9d2a3a1aea810f645303c29e1fe
F007,Wang2025_4DHistoryMatching,decision_readiness,decision_metric_used,not reported,evaluated_decision_mechanism,decision_readiness_score,3,3,scored,"PDF pp. 31–46, Section 6, Figs. 14–23",代理模型嵌入层级MCMC历史拟合，监测数据用于更新地质模型和后验预测，属于已评价的监测更新机制；仍为合成演示且无审计责任链，故3分。,changed,Yangqi Ma,,2026-08-01,YM,complete,3ece3b766ddcd28748301a1f3b894a6012dcf9d2a3a1aea810f645303c29e1fe
F008,Wen2023_NestedFNO,decision_readiness,decision_metric_used,not reported,named_decision_linkage,decision_readiness_score,3,2,scored,"PDF pp. 4–6, Figs. 3–4 and Probabilistic assessment",羽流足迹和最大压力被明确连接到土地租赁、监测设计和注入安全，但论文未评价行动阈值或优化规则；按命名决策变量记2分。,changed,Yangqi Ma,,2026-08-01,YM,complete,3ece3b766ddcd28748301a1f3b894a6012dcf9d2a3a1aea810f645303c29e1fe
F009,Zhong2019_PressureAnomaly,decision_readiness,decision_metric_used,not reported,evaluated_decision_mechanism,decision_readiness_score,4,3,scored,"PDF p. 13, Section 2.3.4; pp. 16–17, Sections 3.3 and 4.2, Figs. 7–8",3σ规则被定义并用于受控释放数据的异常检测，且比较不同阈值下的告警数，满足已评价阈值机制；无可审计运行采用，故3分。,changed,Yangqi Ma,,2026-08-01,YM,complete,3ece3b766ddcd28748301a1f3b894a6012dcf9d2a3a1aea810f645303c29e1fe
F010,ESR_Chen2024_119,physical_consistency,physical_diagnostic_fields,,diagnostic_checked,physical_consistency_score,3,3,scored,"PDF p. 4, Section 2.1; pp. 14–18, Results and full-order comparisons",独立测试对压力、饱和度及全阶模拟结果给出定量误差，满足决策相关物理量诊断；未验证流动与独立监测或风险过程的耦合，故3分。,changed,Yangqi Ma,,2026-08-01,YM,complete,3ece3b766ddcd28748301a1f3b894a6012dcf9d2a3a1aea810f645303c29e1fe
F011,ESR_Falola2024_123,physical_consistency,physical_diagnostic_fields,,diagnostic_checked,physical_consistency_score,3,3,scored,"PDF pp. 7–11, Results, pressure/saturation comparisons",测试集逐场比较代理与全物理模拟器的压力、饱和度场并报告误差，满足定量物理诊断；没有监测或风险过程耦合验证，故3分。,changed,Yangqi Ma,,2026-08-01,YM,complete,3ece3b766ddcd28748301a1f3b894a6012dcf9d2a3a1aea810f645303c29e1fe
F012,ESR_Lozano2025_215,physical_consistency,physical_diagnostic_fields,,diagnostic_checked,physical_consistency_score,3,3,scored,"PDF pp. 21–24, Results, saturation profiles and simulator comparisons",反演饱和度剖面及空间结果与数值目标定量比较，属于已检查的羽流/饱和度诊断；未形成流动–监测过程的联合闭环验证，故3分。,changed,Yangqi Ma,,2026-08-01,YM,complete,3ece3b766ddcd28748301a1f3b894a6012dcf9d2a3a1aea810f645303c29e1fe
F013,ESR_Meng2025_211,physical_consistency,physical_diagnostic_fields,,coupled_validation,physical_consistency_score,4,4,scored,"PDF pp. 3–7, coupled model and Mohr–Coulomb criteria; pp. 11–20, FSD/Pareto results",CMG–GEM耦合组分流动与地质力学，并定量评价Mohr–Coulomb断层滑移趋势及优化响应，属于流动–风险过程耦合验证，满足4分。,changed,Yangqi Ma,,2026-08-01,YM,complete,3ece3b766ddcd28748301a1f3b894a6012dcf9d2a3a1aea810f645303c29e1fe
F014,ESR_Nunez2023_166,physical_consistency,physical_diagnostic_fields,,diagnostic_checked,physical_consistency_score,3,3,scored,"PDF pp. 14–19, Results, pressure/saturation simulator comparisons",论文在测试样本上量化压力与饱和度场相对数值模拟器的误差，满足物理量诊断；无流动与监测/风险过程的耦合验证，故3分。,changed,Yangqi Ma,,2026-08-01,YM,complete,3ece3b766ddcd28748301a1f3b894a6012dcf9d2a3a1aea810f645303c29e1fe
