paper_id,title,legacy_peer_review_status,normalized_publication_status,normalization_basis,included_in_strict_journal_only_sensitivity,doi_or_url,venue,crossref_type
ESR_Tang2024_135,Multi-fidelity Fourier neural operator for fast modeling of large-scale geological carbon storage,journal_peer_reviewed_likely,peer_reviewed_journal,Crossref type=journal-article.,yes,10.1016/j.jhydrol.2024.130641,Journal of Hydrology,journal-article
Wen2022_UFNO,U-FNO: An enhanced Fourier neural operator-based deep-learning model for multiphase flow,journal_peer_reviewed_likely,peer_reviewed_journal,Crossref type=journal-article.,yes,10.1016/j.advwatres.2022.104180,Advances in Water Resources,journal-article
Wen2021_CCSNet,CCSNet: a deep learning modeling suite for CO2 storage,journal_peer_reviewed_likely,peer_reviewed_journal,Crossref type=journal-article.,yes,10.1016/j.advwatres.2021.104009,Advances in Water Resources,journal-article
ESR_Um2024_091,Real-time deep-learning inversion of seismic full waveform data for CO2 saturation and uncertainty in geological carbon storage monitoring,conference_or_abstract,peer_reviewed_journal,Crossref type=journal-article.,yes,10.1111/1365-2478.13197,Geophysical Prospecting,journal-article
ESR_Wang2024_089,Machine learning and deep learning for mineralogy interpretation and CO2 saturation estimation in geological carbon Storage: A case study in the Illinois Basin,journal_peer_reviewed_likely,peer_reviewed_journal,Crossref type=journal-article.,yes,10.1016/j.fuel.2023.130586,Fuel,journal-article
ESR_Um2024_104,Deep learning multiphysics network for imaging CO2 saturation and estimating uncertainty in geological carbon storage,conference_or_abstract,peer_reviewed_journal,Crossref type=journal-article.,yes,10.1111/1365-2478.13257,Geophysical Prospecting,journal-article
ESR_Tang2022_226,Deep learning-accelerated 3D carbon storage reservoir pressure forecasting based on data assimilation using surface displacement from InSAR,journal_peer_reviewed_likely,peer_reviewed_journal,Crossref type=journal-article.,yes,10.1016/j.ijggc.2022.103765,International Journal of Greenhouse Gas Control,journal-article
ESR_Meng2025_211,Multiobjective optimization of CO2 injection under geomechanical risk in high water cut oil reservoirs using artificial intelligence approaches,journal_peer_reviewed_likely,peer_reviewed_journal,Crossref type=journal-article.,yes,10.1038/s41598-025-10111-0,Scientific Reports,journal-article
Lu2025_GISMLSite,Optimisation study of carbon dioxide geological storage sites based on GIS and machine learning algorithms,journal_peer_reviewed_likely,peer_reviewed_journal,Crossref type=journal-article.,yes,10.1007/s40948-025-00945-3,Geomechanics and Geophysics for Geo-Energy and Geo-Resources,journal-article
Wang2025_4DHistoryMatching,Deep learning framework for history matching CO2 storage with 4D seismic and monitoring well data,preprint_or_repository_version,peer_reviewed_journal,Crossref type=journal-article.,yes,10.1016/j.geoen.2025.213736,Geoenergy Science and Engineering,journal-article
