"query_file","source","year","title","doi","url","pdf_url"
"search_01_storage_dynamics_2026.json","crossref","2022","Monitoring the CO2 Plume Migration during Geological Carbon Storage using Spatiotemporal Clustering","10.1002/essoar.10510855.1","https://doi.org/10.1002/essoar.10510855.1",""
"search_01_storage_dynamics_2026.json","openalex","2026","Toward Real-Time Digital Twins for CO₂ Storage: Graph Neural Network Ensembles for Multi-physics Forecasting and Risk Quantification","10.1007/s00603-026-05545-5","https://doi.org/10.1007/s00603-026-05545-5","https://link.springer.com/content/pdf/10.1007/s00603-026-05545-5.pdf"
"search_01_storage_dynamics_2026.json","openalex","2026","Physics-informed neural networks for groundwater: evidence, limits, and a roadmap","10.1007/s12665-026-12866-9","https://doi.org/10.1007/s12665-026-12866-9","https://link.springer.com/content/pdf/10.1007/s12665-026-12866-9.pdf"
"search_03_leakage_geomechanics_2026.json","openalex","2025","Coupled processes in fractured media: a key to the energy transition","10.1007/s44421-025-00011-4","https://doi.org/10.1007/s44421-025-00011-4","https://link.springer.com/content/pdf/10.1007/s44421-025-00011-4.pdf"
"search_03_leakage_geomechanics_2026.json","crossref","2026","Wellbore integrity during geological CO2 injection","10.1016/b978-0-323-99586-3.00012-6","https://doi.org/10.1016/b978-0-323-99586-3.00012-6",""
"search_03_leakage_geomechanics_2026.json","openalex","2025","Coupling geothermal energy with geological carbon storage: A holistic review of enhanced geothermal systems using CO₂ as a working fluid","10.1016/j.nxener.2025.100486","https://doi.org/10.1016/j.nxener.2025.100486","https://doi.org/10.1016/j.nxener.2025.100486"
"search_01_storage_dynamics_2026.json","openalex","2025","Permeability Prediction and Potential Site Assessment for CO<sub>2</sub> Storage from Core Data and Well-Log Data in Malay Basin Using Advanced Machine Learning Algorithms","10.1021/acsomega.4c07242","https://doi.org/10.1021/acsomega.4c07242","https://pubs.acs.org/doi/pdf/10.1021/acsomega.4c07242?ref=article_openPDF"
"search_03_leakage_geomechanics_2026.json","openalex","2025","A Comprehensive Review of Cement Degradation Analysis under Downhole Conditions: CCS/CCUS/CO<sub>2</sub>-EOR Applications","10.1021/acsomega.4c11295","https://doi.org/10.1021/acsomega.4c11295","https://pubs.acs.org/doi/pdf/10.1021/acsomega.4c11295?ref=article_openPDF"
"search_03_leakage_geomechanics_2026.json","openalex","2025","A Review on Ecosystem Monitoring for CO<sub>2</sub> Geological Storage","10.1021/acsomega.5c06876","https://doi.org/10.1021/acsomega.5c06876","https://pubs.acs.org/doi/pdf/10.1021/acsomega.5c06876?ref=article_openPDF"
"search_03_leakage_geomechanics_2026.json","semantic","2026","Optimizing Class G Cement for CO2 Storage (CCS): A Comprehensive Study on the Effects of Fly Ash and Eggshell Blends on Wellbore Cement Integrity","10.1021/acsomega.5c12873","https://www.semanticscholar.org/paper/6f25b2c0aed89607bed9b74b617dd5052b3e8d4b","https://doi.org/10.1021/acsomega.5c12873"
"search_01_storage_dynamics_2026.json","openalex","2023","Joint Inversion of Geophysical Data for Geologic Carbon Sequestration Monitoring: A Differentiable Physics‐Informed Neural Network Model","10.1029/2022jb025372","https://doi.org/10.1029/2022jb025372","https://onlinelibrary.wiley.com/doi/pdfdirect/10.1029/2022JB025372"
"search_01_storage_dynamics_2026.json","openalex","2026","Synergizing advanced materials and artificial intelligence for next-generation carbon capture, utilization, and storage (CCUS): a review","10.1039/d5ra07338c","https://doi.org/10.1039/d5ra07338c","https://pubs.rsc.org/en/content/articlepdf/2026/ra/d5ra07338c"
"search_01_storage_dynamics_2026.json","openalex","2026","Advancements in Machine Learning–Driven Proxy Modelling Techniques for Reservoir Engineering: A Systematic Review","10.1111/jpg.70037","https://doi.org/10.1111/jpg.70037","https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/jpg.70037"
"search_03_leakage_geomechanics_2026.json","crossref","2019","CO2 STORAGE IN THE SUBSURFACE - TRAP, SEAL, AND GEOMECHANICS CONSIDERATIONS","10.1130/abs/2019am-333859","https://doi.org/10.1130/abs/2019am-333859",""
"search_02_monitoring_mrv_2026.json","crossref","2014","Optimization and data assimilation for geological carbon storage","10.1201/b16790-21","https://doi.org/10.1201/b16790-21",""
"search_01_storage_dynamics_2026.json","crossref","2026","FOURIER NEURAL OPERATOR SURROGATE OF LITHIUM-ION BATTERY MODELS","10.1615/jmachlearnmodelcomput.2026063142","https://doi.org/10.1615/jmachlearnmodelcomput.2026063142",""
"search_03_leakage_geomechanics_2026.json","crossref","2013","Wellbore Efficiency Model for CO2 Geological Storage Part I: Theory and Wellbore Element","10.2118/165411-ms","https://doi.org/10.2118/165411-ms","https://onepetro.org/SPECHOC/proceedings-pdf/doi/10.2118/165411-MS/1575082/spe-165411-ms.pdf"
"search_03_leakage_geomechanics_2026.json","crossref","2013","Wellbore Efficiency Model for CO2 Geological Storage Part II: Wellbore System","10.2118/167149-ms","https://doi.org/10.2118/167149-ms","https://onepetro.org/SPEURCC/proceedings-pdf/doi/10.2118/167149-MS/1567665/spe-167149-ms.pdf"
"search_01_storage_dynamics_2026.json","crossref","2023","Rapid High-Fidelity Forecasting for Geological Carbon Storage Using Neural Operator and Transfer Learning","10.2118/216135-ms","https://doi.org/10.2118/216135-ms","https://onepetro.org/SPEADIP/proceedings-pdf/doi/10.2118/216135-MS/3272589/spe-216135-ms.pdf"
"search_01_storage_dynamics_2026.json","openalex","2025","Deep Learning–Assisted Multiobjective Optimization of Geological CO2 Storage Performance under Geomechanical Risks","10.2118/220850-pa","https://doi.org/10.2118/220850-pa","https://onepetro.org/SJ/article-pdf/30/04/2073/4566931/spe-220850-pa.pdf"
"search_01_storage_dynamics_2026.json","crossref","2025","Coupled Flow-Geomechanics Surrogate Model with Flexible Boundary Conditions for Geological CO2 Storage Using Fourier Neural Operator Based Gated Recurrent Network","10.2118/223871-ms","https://doi.org/10.2118/223871-ms","https://onepetro.org/spersc/proceedings-pdf/doi/10.2118/223871-MS/4645888/spe-223871-ms.pdf"
"search_03_leakage_geomechanics_2026.json","crossref","2025","CO2 Storage Risk Assessment: Leveraging Machine Learning Proxy Modeling for Predicting Fracture Growth and Leakage","10.2118/229305-ms","https://doi.org/10.2118/229305-ms","https://onepetro.org/SPEADIP/proceedings-pdf/doi/10.2118/229305-MS/5289031/spe-229305-ms.pdf"
"search_03_leakage_geomechanics_2026.json","semantic","2026","AI Driven Detection of Early Leakage Pathways Using Time Lapse Pressure, Temperature, Flow, and Geochemical (CO2 Concentration) Signals in Subsurface CCUS Systems","10.2118/232352-ms","https://www.semanticscholar.org/paper/3556bc2f1f3611c34e99fc9a030a0e5abcfdc8ac","https://doi.org/10.2118/232352-ms"
"search_03_leakage_geomechanics_2026.json","crossref","2026","Quantitative CO2 Geological Storage Leakage Risk Assessment Using an Integrated Simulation Approach","10.2118/233171-ms","https://doi.org/10.2118/233171-ms","https://onepetro.org/SPEEURO/proceedings-pdf/doi/10.2118/233171-MS/5386843/spe-233171-ms.pdf"
