dimension,category,N
field_evidence_score,Score 0,23
field_evidence_score,Score 1,24
field_evidence_score,Score 2,1
field_evidence_score,Score 3,8
field_evidence_score,Score 4,0
field_evidence_score,Unknown / not reported,1
physical_consistency_score,Score 0,0
physical_consistency_score,Score 1,11
physical_consistency_score,Score 2,4
physical_consistency_score,Score 3,32
physical_consistency_score,Score 4,10
physical_consistency_score,Unknown / not reported,0
uncertainty_score,Score 0,24
uncertainty_score,Score 1,9
uncertainty_score,Score 2,9
uncertainty_score,Score 3,10
uncertainty_score,Score 4,4
uncertainty_score,Unknown / not reported,1
transferability_score,Score 0,33
transferability_score,Score 1,6
transferability_score,Score 2,10
transferability_score,Score 3,7
transferability_score,Score 4,0
transferability_score,Unknown / not reported,1
decision_readiness_score,Score 0,0
decision_readiness_score,Score 1,15
decision_readiness_score,Score 2,31
decision_readiness_score,Score 3,9
decision_readiness_score,Score 4,2
decision_readiness_score,Unknown / not reported,0
