record_id,title,authors,year,venue,doi_or_url,record_class,current_status,full_text_verified,full_text_source,full_text_version,main_quantitative_inclusion,status_or_exclusion_reason,evidence_page_or_section_note,source_inventory,application_group,notes
ESR_Tang2024_135,Multi-fidelity Fourier neural operator for fast modeling of large-scale geological carbon storage,Hewei Tang; Qingkai Kong; Joseph P. Morris,2024,Journal of Hydrology,https://doi.org/10.1016/j.jhydrol.2024.130641,full_text_verified_primary_ML_CGS,quantitative_main,yes,https://doi.org/10.1016/j.jhydrol.2024.130641,journal_article,yes,Meets the predeclared main-claim eligibility rule.,"Full text extracted; evidence terms detected: mass, plume, geomechanics, rock/sensor physics, uncertainty",evidence/WP4_CONSERVATIVE_ANALYSIS_CORE.csv,Storage dynamics and surrogates,coding_basis=metadata/title/rubric; source_status=core_metadata_screened_needs_full_text_check; full-text PDF extracted by automated OA workflow
Wen2022_UFNO,U-FNO—An enhanced Fourier neural operator-based deep-learning model for multiphase flow,Gege Wen; Zongyi Li; Kamyar Azizzadenesheli; Anima Anandkumar; Sally M. Benson,2022,Advances in Water Resources,https://doi.org/10.1016/j.advwatres.2022.104180,full_text_verified_primary_ML_CGS,quantitative_main,yes,https://doi.org/10.1016/j.advwatres.2022.104180,journal_article,yes,Meets the predeclared main-claim eligibility rule.,"Full text extracted; evidence terms detected: pressure, plume, rock/sensor physics",evidence/WP4_CONSERVATIVE_ANALYSIS_CORE.csv,Storage dynamics and surrogates,legacy literature_matrix candidate; full-text PDF extracted by automated OA workflow
Wen2021_CCSNet,CCSNet: A deep learning modeling suite for CO2 storage,Gege Wen; Catherine Hay; Sally M. Benson,2021,Advances in Water Resources,https://doi.org/10.1016/j.advwatres.2021.104009,full_text_verified_primary_ML_CGS,quantitative_main,yes,https://doi.org/10.1016/j.advwatres.2021.104009,journal_article,yes,Meets the predeclared main-claim eligibility rule.,"Full text extracted; evidence terms detected: mass, pressure, plume, geomechanics, geochemistry, rock/sensor physics",evidence/WP4_CONSERVATIVE_ANALYSIS_CORE.csv,Storage dynamics and surrogates,legacy literature_matrix candidate; full-text PDF extracted by automated OA workflow
ESR_Um2024_091,Real‐time deep‐learning inversion of seismic full waveform data for CO2 saturation and uncertainty in geological carbon storage monitoring,Evan Schankee Um; David Alumbaugh; Youzuo Lin; Shihang Feng,2024,Geophysical Prospecting,https://doi.org/10.1111/1365-2478.13197,full_text_verified_primary_ML_CGS,quantitative_main,yes,https://doi.org/10.1111/1365-2478.13197,conference_or_abstract,yes,Meets the predeclared main-claim eligibility rule.,"Full text extracted; evidence terms detected: plume, geomechanics, rock/sensor physics, uncertainty",evidence/WP4_CONSERVATIVE_ANALYSIS_CORE.csv,"Monitoring, inversion and updating",coding_basis=metadata/title/rubric; source_status=core_metadata_screened_needs_full_text_check; full-text PDF extracted by automated OA workflow
ESR_Wang2024_089,Machine learning and deep learning for mineralogy interpretation and CO2 saturation estimation in geological carbon Storage: A case study in the Illinois Basin,Hongsheng Wang; Sherilyn Williams-Stroud; Dustin Crandall; Cheng Chen,2024,Fuel,https://doi.org/10.1016/j.fuel.2023.130586,full_text_verified_primary_ML_CGS,quantitative_main,yes,https://doi.org/10.1016/j.fuel.2023.130586,journal_article,yes,Meets the predeclared main-claim eligibility rule.,"Full text extracted; evidence terms detected: geomechanics, geochemistry, rock/sensor physics",evidence/WP4_CONSERVATIVE_ANALYSIS_CORE.csv,"Monitoring, inversion and updating",coding_basis=metadata/title/rubric; source_status=core_metadata_screened_needs_full_text_check; full-text PDF extracted by automated OA workflow
ESR_Um2024_104,Deep learning multiphysics network for imaging CO2 saturation and estimating uncertainty in geological carbon storage,Evan Schankee Um; David Alumbaugh; Michael Commer; Shihang Feng; Erika Gasperikova; Yaoguo Li; Youzuo Lin; Savini Samarasinghe,2024,Geophysical Prospecting,https://doi.org/10.1111/1365-2478.13257,full_text_verified_primary_ML_CGS,quantitative_main,yes,https://doi.org/10.1111/1365-2478.13257,conference_or_abstract,yes,Meets the predeclared main-claim eligibility rule.,"Full text extracted; evidence terms detected: geomechanics, geochemistry, rock/sensor physics",evidence/WP4_CONSERVATIVE_ANALYSIS_CORE.csv,"Monitoring, inversion and updating",coding_basis=metadata/title/rubric; source_status=core_metadata_screened_needs_full_text_check; full-text PDF extracted by automated OA workflow
ESR_Tang2022_226,Deep learning-accelerated 3D carbon storage reservoir pressure forecasting based on data assimilation using surface displacement from InSAR,Hewei Tang; Pengcheng Fu; Honggeun Jo; Su Jiang; Christopher S. Sherman; François Hamon; Nicholas A. Azzolina; Joseph P. Morris,2022,International Journal of Greenhouse Gas Control,https://doi.org/10.1016/j.ijggc.2022.103765,full_text_verified_primary_ML_CGS,quantitative_main,yes,https://doi.org/10.1016/j.ijggc.2022.103765,journal_article,yes,Meets the predeclared main-claim eligibility rule.,"Full text extracted; evidence terms detected: mass, plume, geomechanics, rock/sensor physics, uncertainty, OOD/transfer",evidence/WP4_CONSERVATIVE_ANALYSIS_CORE.csv,"Leakage, wellbore and containment risk",coding_basis=metadata/title/rubric; source_status=core_metadata_screened_needs_full_text_check; full-text PDF extracted by automated OA workflow
ESR_Meng2025_211,Multiobjective optimization of CO2 injection under geomechanical risk in high water cut oil reservoirs using artificial intelligence approaches,Fankun Meng; Jia Liu; Gang Tong; Hui Zhao; Chengyue Wen; Yuhui Zhou; Vamegh Rasouli; Minou Rabiei,2025,Scientific Reports,https://doi.org/10.1038/s41598-025-10111-0,full_text_verified_primary_ML_CGS,quantitative_main,yes,https://doi.org/10.1038/s41598-025-10111-0,journal_article,yes,Meets the predeclared main-claim eligibility rule.,"Full text extracted; evidence terms detected: geomechanics, geochemistry, rock/sensor physics, uncertainty",evidence/WP4_CONSERVATIVE_ANALYSIS_CORE.csv,"Leakage, wellbore and containment risk",coding_basis=metadata/title/rubric; source_status=core_metadata_screened_needs_full_text_check; full-text PDF extracted by automated OA workflow
Lu2025_GISMLSite,Optimisation study of carbon dioxide geological storage sites based on GIS and machine learning algorithms,Wei Lu; Shengwen Qi; Bowen Zheng; Wang Zhang; Zan Wang; Yi Ru; Yan Zhang; Lina Ma; Yujie Diao; Lei Fu,2025,Geomechanics and Geophysics for Geo-Energy and Geo-Resources,https://doi.org/10.1007/s40948-025-00945-3,full_text_verified_primary_ML_CGS,quantitative_main,yes,https://doi.org/10.1007/s40948-025-00945-3,journal_article,yes,Meets the predeclared main-claim eligibility rule.,"Full text extracted; evidence terms detected: geomechanics, geochemistry, rock/sensor physics",evidence/WP4_CONSERVATIVE_ANALYSIS_CORE.csv,Screening and characterization,legacy literature_matrix candidate; full-text PDF extracted by automated OA workflow
Wang2025_4DHistoryMatching,Deep learning framework for history matching CO2 storage with 4D seismic and monitoring well data,Nanzhe Wang; Louis J. Durlofsky,2025,Geoenergy Science and Engineering,https://doi.org/10.1016/j.geoen.2025.213736,full_text_verified_primary_ML_CGS,quantitative_main,yes,https://doi.org/10.1016/j.geoen.2025.213736,preprint_or_repository_full_text,yes,Meets the predeclared main-claim eligibility rule.,Automated full-text text extraction; page-specific manual notes still recommended.,evidence/WP4_CONSERVATIVE_ANALYSIS_CORE.csv,"Monitoring, inversion and updating",arXiv legal preprint identified by acquisition scout
