search_date,search_file,query,source,fields_searched,requested_year_range,language_filter,result_cap_per_source_query,returned_results,error,deduplication,screening_status_file,status_summary_all_queries
2026-07-27,search_01_storage_dynamics_2026.json,geological carbon storage machine learning pressure plume surrogate neural operator 2026,crossref,provider default bibliographic fields; query passed as a single free-text expression,2025-2026,English,8,8,,DOI first; normalized title and publication lineage second,config/wp2_targeted_search_status_map.csv,added_verified_primary=3; background_anchor=15; duplicate_or_precursor=7; eligible_full_text_pending=2; excluded_insufficient_detail=2; excluded_out_of_scope=6; supplement_only=7
2026-07-27,search_01_storage_dynamics_2026.json,geological carbon storage machine learning pressure plume surrogate neural operator 2026,openalex,provider default bibliographic fields; query passed as a single free-text expression,2025-2026,English,8,8,,DOI first; normalized title and publication lineage second,config/wp2_targeted_search_status_map.csv,added_verified_primary=3; background_anchor=15; duplicate_or_precursor=7; eligible_full_text_pending=2; excluded_insufficient_detail=2; excluded_out_of_scope=6; supplement_only=7
2026-07-27,search_01_storage_dynamics_2026.json,geological carbon storage machine learning pressure plume surrogate neural operator 2026,semantic,provider default bibliographic fields; query passed as a single free-text expression,2025-2026,English,8,0,,DOI first; normalized title and publication lineage second,config/wp2_targeted_search_status_map.csv,added_verified_primary=3; background_anchor=15; duplicate_or_precursor=7; eligible_full_text_pending=2; excluded_insufficient_detail=2; excluded_out_of_scope=6; supplement_only=7
2026-07-27,search_01_storage_dynamics_2026.json,geological carbon storage machine learning pressure plume surrogate neural operator 2026,arxiv,provider default bibliographic fields; query passed as a single free-text expression,2025-2026,English,8,0,,DOI first; normalized title and publication lineage second,config/wp2_targeted_search_status_map.csv,added_verified_primary=3; background_anchor=15; duplicate_or_precursor=7; eligible_full_text_pending=2; excluded_insufficient_detail=2; excluded_out_of_scope=6; supplement_only=7
2026-07-27,search_02_monitoring_mrv_2026.json,geological CO2 storage machine learning monitoring history matching data assimilation MRV 2026,crossref,provider default bibliographic fields; query passed as a single free-text expression,2025-2026,English,8,8,,DOI first; normalized title and publication lineage second,config/wp2_targeted_search_status_map.csv,added_verified_primary=3; background_anchor=15; duplicate_or_precursor=7; eligible_full_text_pending=2; excluded_insufficient_detail=2; excluded_out_of_scope=6; supplement_only=7
2026-07-27,search_02_monitoring_mrv_2026.json,geological CO2 storage machine learning monitoring history matching data assimilation MRV 2026,openalex,provider default bibliographic fields; query passed as a single free-text expression,2025-2026,English,8,0,,DOI first; normalized title and publication lineage second,config/wp2_targeted_search_status_map.csv,added_verified_primary=3; background_anchor=15; duplicate_or_precursor=7; eligible_full_text_pending=2; excluded_insufficient_detail=2; excluded_out_of_scope=6; supplement_only=7
2026-07-27,search_02_monitoring_mrv_2026.json,geological CO2 storage machine learning monitoring history matching data assimilation MRV 2026,semantic,provider default bibliographic fields; query passed as a single free-text expression,2025-2026,English,8,0,,DOI first; normalized title and publication lineage second,config/wp2_targeted_search_status_map.csv,added_verified_primary=3; background_anchor=15; duplicate_or_precursor=7; eligible_full_text_pending=2; excluded_insufficient_detail=2; excluded_out_of_scope=6; supplement_only=7
2026-07-27,search_02_monitoring_mrv_2026.json,geological CO2 storage machine learning monitoring history matching data assimilation MRV 2026,arxiv,provider default bibliographic fields; query passed as a single free-text expression,2025-2026,English,8,0,,DOI first; normalized title and publication lineage second,config/wp2_targeted_search_status_map.csv,added_verified_primary=3; background_anchor=15; duplicate_or_precursor=7; eligible_full_text_pending=2; excluded_insufficient_detail=2; excluded_out_of_scope=6; supplement_only=7
2026-07-27,search_03_leakage_geomechanics_2026.json,geological CO2 storage machine learning leakage wellbore geomechanics seal risk 2026,crossref,provider default bibliographic fields; query passed as a single free-text expression,2025-2026,English,8,8,,DOI first; normalized title and publication lineage second,config/wp2_targeted_search_status_map.csv,added_verified_primary=3; background_anchor=15; duplicate_or_precursor=7; eligible_full_text_pending=2; excluded_insufficient_detail=2; excluded_out_of_scope=6; supplement_only=7
2026-07-27,search_03_leakage_geomechanics_2026.json,geological CO2 storage machine learning leakage wellbore geomechanics seal risk 2026,openalex,provider default bibliographic fields; query passed as a single free-text expression,2025-2026,English,8,8,,DOI first; normalized title and publication lineage second,config/wp2_targeted_search_status_map.csv,added_verified_primary=3; background_anchor=15; duplicate_or_precursor=7; eligible_full_text_pending=2; excluded_insufficient_detail=2; excluded_out_of_scope=6; supplement_only=7
2026-07-27,search_03_leakage_geomechanics_2026.json,geological CO2 storage machine learning leakage wellbore geomechanics seal risk 2026,semantic,provider default bibliographic fields; query passed as a single free-text expression,2025-2026,English,8,2,,DOI first; normalized title and publication lineage second,config/wp2_targeted_search_status_map.csv,added_verified_primary=3; background_anchor=15; duplicate_or_precursor=7; eligible_full_text_pending=2; excluded_insufficient_detail=2; excluded_out_of_scope=6; supplement_only=7
2026-07-27,search_03_leakage_geomechanics_2026.json,geological CO2 storage machine learning leakage wellbore geomechanics seal risk 2026,arxiv,provider default bibliographic fields; query passed as a single free-text expression,2025-2026,English,8,0,,DOI first; normalized title and publication lineage second,config/wp2_targeted_search_status_map.csv,added_verified_primary=3; background_anchor=15; duplicate_or_precursor=7; eligible_full_text_pending=2; excluded_insufficient_detail=2; excluded_out_of_scope=6; supplement_only=7
