review_id,comparison_tier,authors,year,title,venue,doi,evidence_role,search_transparency,corpus_verification,decision_framing,method_evolution,physical_diagnostics,uncertainty_calibration,transfer_testing,field_validation,mrv_auditability,open_traceability,missingness_aware_coding,minimum_validation_packages,remaining_delta_for_this_review
Li2023_GCSMLReview,direct,Li et al.,2023,"Recent Advances in Geological Storage: Trapping Mechanisms, Storage Sites, Projects, and Application of Machine Learning",Energy & Fuels,10.1021/acs.energyfuels.3c01433,verified competing-review feature coding,unclear,unclear,partial,yes,partial,partial,unclear,partial,unclear,unclear,unclear,unclear,"Verified paper-level maturity fields, explicit missingness, and MRV-facing auditability."
Mao2024_DecisionReview,direct,Mao and Jahanbani Ghahfarokhi,2024,A review of intelligent decision-making strategy for geological CO2 storage: Insights from reservoir engineering,Geoenergy Science and Engineering,10.1016/j.geoen.2024.212951,verified competing-review feature coding,partial,unclear,yes,partial,partial,partial,partial,partial,unclear,unclear,unclear,partial,"Decision-specific minimum evidence packages tied to consequence, uncertainty, physical diagnostics, and auditability."
Lin2025_MLDrivenGCSReview,direct,Lin et al.,2025,Advances in Machine-Learning-Driven CO2 Geological Storage: A Comprehensive Review and Outlook,Energy & Fuels,10.1021/acs.energyfuels.5c02370,verified competing-review feature coding,partial,partial,partial,yes,partial,partial,partial,partial,partial,unclear,unclear,partial,"Decision-centered evidence requirements, explicit unknown handling, and traceability from visual elements to paper IDs."
Marvin2025_MLGCSReview,direct,Marvin et al.,2025,Review of progress and implication of machine learning in geological carbon dioxide storage,Geosystem Engineering,10.1080/12269328.2025.2499267,verified competing-review feature coding,partial,unclear,partial,yes,partial,partial,partial,partial,partial,unclear,unclear,partial,Missingness-aware coding and decision-threshold evidence rather than broad challenge enumeration.
AlMudhafar2026_MLLifecycleReview,direct,Watheq J. Al-Mudhafar; Ahmed Alsubaih; Kamy Sepehrnoori,2026,"Machine Learning Applications in CO2 Geological Sequestration: A Review of Pre-Injection Evaluation, Injection Optimization, and Post-Injection Monitoring",Energies,10.3390/en19133104,verified competing-review feature coding,unclear,unclear,yes,yes,yes,partial,partial,partial,partial,unclear,unclear,partial,"The remaining contribution is the integrated, full-text-verified study ledger with explicit missingness, public quantitative traceability, seven decision-specific minimum validation packages, and non-compensatory evidence logic."
CruzAzuara2026_MLStorageEORReview,direct,de la Cruz-Azuara et al.,2026,"Machine learning for CO2 geological storage and CO2-enhanced oil recovery in hydrocarbon reservoirs: A critical review of methodologies, the sim-to-real gap, and a roadmap for field-scale deployment",Results in Engineering,10.1016/j.rineng.2026.110928,verified competing-review feature coding,yes,partial,partial,yes,partial,partial,yes,partial,partial,yes,unclear,unclear,"Storage-only decision-specific evidence packages, MRV and stewardship auditability, strict missingness states, and element-level traceability."
Wang2026_LifecycleTrustworthyReview,direct,Chunkai Wang et al.,2026,"Machine learning across the lifecycle of geological CO2 storage: applications, workflows and requirements for trustworthy deployment",Clean Energy,10.1093/ce/zkag027,verified competing-review feature coding,unclear,unclear,yes,partial,yes,partial,yes,partial,yes,unclear,unclear,partial,"The remaining contribution is the integrated, full-text-verified study ledger with explicit missingness, public quantitative traceability, seven decision-specific minimum validation packages, and non-compensatory evidence logic."
Wei2026_AIUncertaintyDecisionReview,direct,Wenkai Wei et al.,2026,Artificial intelligence for geological CO2 storage: From surrogate prediction to uncertainty-aware decision making,Renewable and Sustainable Energy Reviews,10.1016/j.rser.2026.117185,verified competing-review feature coding,yes,partial,yes,yes,yes,yes,yes,partial,partial,unclear,unclear,partial,"The remaining contribution is the integrated, full-text-verified study ledger with explicit missingness, public quantitative traceability, seven decision-specific minimum validation packages, and non-compensatory evidence logic."
Yan2021_MLCCUSReview,near_direct,Yan et al.,2021,"Harnessing the power of machine learning for carbon capture, utilisation, and storage (CCUS) - a state-of-the-art review",Energy & Environmental Science,10.1039/D1EE02395K,verified competing-review feature coding,partial,unclear,partial,partial,partial,partial,unclear,partial,unclear,unclear,unclear,unclear,Storage-only missingness-aware evidence coding and decision-specific validation packages.
Li2024_StatComputationalReview,near_direct,Li et al.,2024,Advancing the frontiers of CO2 geological storage: A statistical and computational perspective,Earth-Science Reviews,10.1016/j.earscirev.2024.104906,verified competing-review feature coding,partial,unclear,partial,partial,partial,partial,unclear,partial,unclear,unclear,unclear,unclear,"Joint maturity vector with strict definitions for calibration, OOD, field evidence, and surrogate-error propagation."
WangChuLyu2024_DLReview,near_direct,Yanwei Wang; Hongyang Chu; Xiaocong Lyu,2024,Deep learning in CO2 geological utilization and storage: Recent advances and perspectives,Advances in Geo-Energy Research,10.46690/ager.2024.09.01,verified competing-review feature coding,not_applicable,not_applicable,partial,yes,partial,unclear,unclear,unclear,unclear,unclear,unclear,unclear,"The remaining contribution is the integrated, full-text-verified study ledger with explicit missingness, public quantitative traceability, seven decision-specific minimum validation packages, and non-compensatory evidence logic."
Aminaho2026_AIMonitoringReview,near_direct,Aminaho et al.,2026,Artificial intelligence based solutions for monitoring CO2 storage reservoirs: A review,Next Research,10.1016/j.nexres.2026.101860,verified competing-review feature coding,partial,unclear,partial,partial,partial,partial,unclear,partial,partial,unclear,unclear,partial,"Integration of monitoring evidence with decision updates, provenance, thresholds, and stewardship audit trails."
Roberts2020_FieldReleaseLeakage,contextual,Roberts and Stalker,2020,"What have we learnt about CO2 leakage from CO2 release field experiments, and what are the gaps for the future?",Earth-Science Reviews,10.1016/j.earscirev.2019.102939,verified competing-review feature coding,partial,unclear,not_applicable,not_applicable,yes,partial,not_applicable,yes,partial,unclear,unclear,not_applicable,Use field-release lessons to specify leakage-ML validation packages without counting background anchors as ML studies.
Bashir2024_ComprehensiveStorageReview,contextual,Bashir et al.,2024,"Comprehensive review of CO2 geological storage: Exploring principles, mechanisms, and prospects",Earth-Science Reviews,10.1016/j.earscirev.2023.104672,verified competing-review feature coding,partial,unclear,not_applicable,not_applicable,yes,partial,not_applicable,yes,partial,unclear,unclear,not_applicable,Translate established geoscience constraints into observable ML validation requirements.
