field,locked_value,independent_reviewer_value,count
controlled_release_validation_state,confirmed_absent,confirmed_absent,5
controlled_release_validation_state,ml_evaluated_on_controlled_release,ml_evaluated_on_controlled_release,3
controlled_release_validation_state,not_reported,confirmed_absent,46
controlled_release_validation_state,not_reported,ml_evaluated_on_controlled_release,2
controlled_release_validation_state,not_reported,not_reported,1
cross_site_test_state,confirmed_absent,confirmed_absent,5
cross_site_test_state,explicit_heldout_cross_site_test,explicit_heldout_cross_site_test,1
cross_site_test_state,not_reported,confirmed_absent,48
cross_site_test_state,not_reported,not_reported,1
cross_site_test_state,not_reported,unclear,1
cross_site_test_state,unclear,confirmed_absent,1
decision_readiness_score,1,1,10
decision_readiness_score,1,2,10
decision_readiness_score,1,3,2
decision_readiness_score,2,1,5
decision_readiness_score,2,2,18
decision_readiness_score,2,3,5
decision_readiness_score,2,4,2
decision_readiness_score,3,3,2
decision_readiness_score,not_reported,2,2
field_evidence_score,0,0,20
field_evidence_score,0,1,10
field_evidence_score,0,3,2
field_evidence_score,0,not_reported,1
field_evidence_score,1,0,3
field_evidence_score,1,1,11
field_evidence_score,1,3,1
field_evidence_score,2,1,2
field_evidence_score,2,2,1
field_evidence_score,2,3,1
field_evidence_score,3,3,3
field_evidence_score,not_reported,3,1
field_validation_category,confirmed_absent,confirmed_absent,4
field_validation_category,field_observation_comparison,controlled_field_evaluation,1
field_validation_category,field_observation_comparison,field_observation_comparison,1
field_validation_category,field_observation_comparison,field_workflow_evaluation,1
field_validation_category,not_reported,confirmed_absent,44
field_validation_category,not_reported,controlled_field_evaluation,2
field_validation_category,not_reported,field_observation_comparison,2
field_validation_category,not_reported,field_workflow_evaluation,1
field_validation_category,not_reported,not_reported,1
ood_test_category,confirmed_absent,confirmed_absent,3
ood_test_category,cross_site_heldout,cross_site_heldout,1
ood_test_category,legacy_explicit_ood_test,confirmed_absent,17
ood_test_category,legacy_explicit_ood_test,legacy_explicit_ood_test,8
ood_test_category,not_reported,confirmed_absent,16
ood_test_category,not_reported,legacy_explicit_ood_test,7
ood_test_category,not_reported,not_reported,2
ood_test_category,not_reported,unclear,1
ood_test_category,unclear,confirmed_absent,2
physical_consistency_score,1,1,7
physical_consistency_score,1,2,1
physical_consistency_score,1,3,11
physical_consistency_score,1,4,1
physical_consistency_score,2,1,1
physical_consistency_score,2,2,2
physical_consistency_score,2,3,9
physical_consistency_score,2,4,9
physical_consistency_score,3,3,1
physical_consistency_score,3,4,1
physical_consistency_score,not_reported,1,1
physical_consistency_score,not_reported,3,2
surrogate_error_propagation_category,confirmed_absent,not_applicable,1
surrogate_error_propagation_category,legacy_surrogate_error_propagation,not_applicable,2
surrogate_error_propagation_category,legacy_surrogate_error_propagation,propagated_into_inference_or_decision,2
surrogate_error_propagation_category,not_applicable,not_applicable,1
surrogate_error_propagation_category,not_reported,confirmed_absent,13
surrogate_error_propagation_category,not_reported,not_applicable,30
surrogate_error_propagation_category,not_reported,propagated_into_inference_or_decision,4
surrogate_error_propagation_category,unclear,confirmed_absent,2
surrogate_error_propagation_category,unclear,not_applicable,1
surrogate_error_propagation_category,unclear,propagated_into_inference_or_decision,1
transferability_score,0,0,1
transferability_score,1,0,1
transferability_score,1,1,2
transferability_score,2,0,10
transferability_score,2,2,3
transferability_score,2,3,4
transferability_score,3,2,1
transferability_score,4,3,1
transferability_score,not_reported,0,11
transferability_score,not_reported,1,3
transferability_score,not_reported,2,6
transferability_score,not_reported,3,2
uncertainty_calibration_category,deterministic_or_confirmed_absent,deterministic_or_confirmed_absent,1
uncertainty_calibration_category,deterministic_or_confirmed_absent,not_reported,2
uncertainty_calibration_category,legacy_uncertainty_calibration_or_posterior_check,calibrated_or_posterior_checked,3
uncertainty_calibration_category,legacy_uncertainty_calibration_or_posterior_check,confirmed_absent,1
uncertainty_calibration_category,legacy_uncertainty_calibration_or_posterior_check,deterministic_or_confirmed_absent,4
uncertainty_calibration_category,legacy_uncertainty_calibration_or_posterior_check,legacy_uncertainty_calibration_or_posterior_check,2
uncertainty_calibration_category,not_reported,calibrated_or_posterior_checked,3
uncertainty_calibration_category,not_reported,confirmed_absent,4
uncertainty_calibration_category,not_reported,deterministic_or_confirmed_absent,21
uncertainty_calibration_category,not_reported,legacy_uncertainty_calibration_or_posterior_check,2
uncertainty_calibration_category,not_reported,not_reported,10
uncertainty_calibration_category,unclear,calibrated_or_posterior_checked,4
uncertainty_score,0,0,1
uncertainty_score,1,1,1
uncertainty_score,1,2,2
uncertainty_score,2,0,2
uncertainty_score,2,1,3
uncertainty_score,2,2,4
uncertainty_score,2,3,7
uncertainty_score,2,4,3
uncertainty_score,3,3,2
uncertainty_score,3,4,2
uncertainty_score,not_reported,0,14
uncertainty_score,not_reported,1,3
