analysis_version,analysis_status,universe,application_group,dimension,total_N,available_n,score_0_n,score_1_n,score_2_n,score_3_n,score_4_n,score_ge3_n,median_score,unknown_n,not_reported_n,unclear_n,not_applicable_n,unscored_n
WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,author_verified_wp9_8_r1_controlled_integration,main_claim_eligible_conservative,ALL,field_evidence_score,57,56,23,24,4,5,0,5,1.0,0,1,0,0,1
WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,author_verified_wp9_8_r1_controlled_integration,main_claim_eligible_conservative,ALL,physical_consistency_score,57,57,0,11,5,32,9,41,3.0,0,0,0,0,0
WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,author_verified_wp9_8_r1_controlled_integration,main_claim_eligible_conservative,ALL,uncertainty_score,57,56,24,9,10,10,3,13,1.0,0,1,0,0,1
WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,author_verified_wp9_8_r1_controlled_integration,main_claim_eligible_conservative,ALL,transferability_score,57,56,34,6,10,6,0,6,0.0,0,1,0,0,1
WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,author_verified_wp9_8_r1_controlled_integration,main_claim_eligible_conservative,ALL,decision_readiness_score,57,57,0,15,34,8,0,8,2.0,0,0,0,0,0
WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,author_verified_wp9_8_r1_controlled_integration,main_claim_eligible_conservative,Cross-cutting and other,field_evidence_score,1,1,0,1,0,0,0,0,1.0,0,0,0,0,0
WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,author_verified_wp9_8_r1_controlled_integration,main_claim_eligible_conservative,Cross-cutting and other,physical_consistency_score,1,1,0,0,0,1,0,1,3.0,0,0,0,0,0
WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,author_verified_wp9_8_r1_controlled_integration,main_claim_eligible_conservative,Cross-cutting and other,uncertainty_score,1,1,0,1,0,0,0,0,1.0,0,0,0,0,0
WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,author_verified_wp9_8_r1_controlled_integration,main_claim_eligible_conservative,Cross-cutting and other,transferability_score,1,1,1,0,0,0,0,0,0.0,0,0,0,0,0
WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,author_verified_wp9_8_r1_controlled_integration,main_claim_eligible_conservative,Cross-cutting and other,decision_readiness_score,1,1,0,1,0,0,0,0,1.0,0,0,0,0,0
WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,author_verified_wp9_8_r1_controlled_integration,main_claim_eligible_conservative,"Leakage, wellbore and containment risk",field_evidence_score,9,9,1,6,2,0,0,0,1.0,0,0,0,0,0
WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,author_verified_wp9_8_r1_controlled_integration,main_claim_eligible_conservative,"Leakage, wellbore and containment risk",physical_consistency_score,9,9,0,1,1,3,4,7,3.0,0,0,0,0,0
WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,author_verified_wp9_8_r1_controlled_integration,main_claim_eligible_conservative,"Leakage, wellbore and containment risk",uncertainty_score,9,9,2,3,2,2,0,2,1.0,0,0,0,0,0
WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,author_verified_wp9_8_r1_controlled_integration,main_claim_eligible_conservative,"Leakage, wellbore and containment risk",transferability_score,9,9,6,0,1,2,0,2,0.0,0,0,0,0,0
WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,author_verified_wp9_8_r1_controlled_integration,main_claim_eligible_conservative,"Leakage, wellbore and containment risk",decision_readiness_score,9,9,0,0,6,3,0,3,2.0,0,0,0,0,0
WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,author_verified_wp9_8_r1_controlled_integration,main_claim_eligible_conservative,"Monitoring, inversion and updating",field_evidence_score,13,13,7,4,1,1,0,1,0.0,0,0,0,0,0
WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,author_verified_wp9_8_r1_controlled_integration,main_claim_eligible_conservative,"Monitoring, inversion and updating",physical_consistency_score,13,13,0,1,0,10,2,12,3.0,0,0,0,0,0
WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,author_verified_wp9_8_r1_controlled_integration,main_claim_eligible_conservative,"Monitoring, inversion and updating",uncertainty_score,13,13,1,1,3,5,3,8,3.0,0,0,0,0,0
WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,author_verified_wp9_8_r1_controlled_integration,main_claim_eligible_conservative,"Monitoring, inversion and updating",transferability_score,13,13,8,2,0,3,0,3,0.0,0,0,0,0,0
WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,author_verified_wp9_8_r1_controlled_integration,main_claim_eligible_conservative,"Monitoring, inversion and updating",decision_readiness_score,13,13,0,2,9,2,0,2,2.0,0,0,0,0,0
WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,author_verified_wp9_8_r1_controlled_integration,main_claim_eligible_conservative,Operation and control,field_evidence_score,7,7,1,5,0,1,0,1,1.0,0,0,0,0,0
WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,author_verified_wp9_8_r1_controlled_integration,main_claim_eligible_conservative,Operation and control,physical_consistency_score,7,7,0,1,1,4,1,5,3.0,0,0,0,0,0
WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,author_verified_wp9_8_r1_controlled_integration,main_claim_eligible_conservative,Operation and control,uncertainty_score,7,7,2,1,4,0,0,0,2.0,0,0,0,0,0
WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,author_verified_wp9_8_r1_controlled_integration,main_claim_eligible_conservative,Operation and control,transferability_score,7,7,4,1,1,1,0,1,0.0,0,0,0,0,0
WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,author_verified_wp9_8_r1_controlled_integration,main_claim_eligible_conservative,Operation and control,decision_readiness_score,7,7,0,0,4,3,0,3,2.0,0,0,0,0,0
WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,author_verified_wp9_8_r1_controlled_integration,main_claim_eligible_conservative,Screening and characterization,field_evidence_score,4,4,0,2,0,2,0,2,2.0,0,0,0,0,0
WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,author_verified_wp9_8_r1_controlled_integration,main_claim_eligible_conservative,Screening and characterization,physical_consistency_score,4,4,0,3,1,0,0,0,1.0,0,0,0,0,0
WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,author_verified_wp9_8_r1_controlled_integration,main_claim_eligible_conservative,Screening and characterization,uncertainty_score,4,4,4,0,0,0,0,0,0.0,0,0,0,0,0
WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,author_verified_wp9_8_r1_controlled_integration,main_claim_eligible_conservative,Screening and characterization,transferability_score,4,4,2,2,0,0,0,0,0.5,0,0,0,0,0
WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,author_verified_wp9_8_r1_controlled_integration,main_claim_eligible_conservative,Screening and characterization,decision_readiness_score,4,4,0,0,4,0,0,0,2.0,0,0,0,0,0
WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,author_verified_wp9_8_r1_controlled_integration,main_claim_eligible_conservative,Storage dynamics and surrogates,field_evidence_score,22,21,13,6,1,1,0,1,0.0,0,1,0,0,1
WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,author_verified_wp9_8_r1_controlled_integration,main_claim_eligible_conservative,Storage dynamics and surrogates,physical_consistency_score,22,22,0,5,2,14,1,15,3.0,0,0,0,0,0
WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,author_verified_wp9_8_r1_controlled_integration,main_claim_eligible_conservative,Storage dynamics and surrogates,uncertainty_score,22,21,15,3,1,2,0,2,0.0,0,1,0,0,1
WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,author_verified_wp9_8_r1_controlled_integration,main_claim_eligible_conservative,Storage dynamics and surrogates,transferability_score,22,21,12,1,8,0,0,0,0.0,0,1,0,0,1
WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,author_verified_wp9_8_r1_controlled_integration,main_claim_eligible_conservative,Storage dynamics and surrogates,decision_readiness_score,22,22,0,12,10,0,0,0,1.0,0,0,0,0,0
WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,author_verified_wp9_8_r1_controlled_integration,main_claim_eligible_conservative,Unmapped applications,field_evidence_score,1,1,1,0,0,0,0,0,0.0,0,0,0,0,0
WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,author_verified_wp9_8_r1_controlled_integration,main_claim_eligible_conservative,Unmapped applications,physical_consistency_score,1,1,0,0,0,0,1,1,4.0,0,0,0,0,0
WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,author_verified_wp9_8_r1_controlled_integration,main_claim_eligible_conservative,Unmapped applications,uncertainty_score,1,1,0,0,0,1,0,1,3.0,0,0,0,0,0
WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,author_verified_wp9_8_r1_controlled_integration,main_claim_eligible_conservative,Unmapped applications,transferability_score,1,1,1,0,0,0,0,0,0.0,0,0,0,0,0
WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,author_verified_wp9_8_r1_controlled_integration,main_claim_eligible_conservative,Unmapped applications,decision_readiness_score,1,1,0,0,1,0,0,0,2.0,0,0,0,0,0
