analysis_version,analysis_status,universe,application_group,dimension,total_N,available_n,score_0_n,score_1_n,score_2_n,score_3_n,score_4_n,score_ge3_n,score_ge3_proportion,score_ge3_wilson95_low,score_ge3_wilson95_high,median_score,unknown_n,not_reported_n,unclear_n,not_applicable_n,unscored_n,human_gate_status
IJGGC-V2-WP8-R2-FULL-57-PAPER-REVIEW-2026-07-30,full_57_paper_independent_review_with_author_adjudication,main_claim_eligible_conservative,ALL,field_evidence_score,57,56,23,24,1,8,0,8,0.143,0.074,0.257,1.0,0,1,0,0,1,full_57_paper_independent_review_completed_and_author_adjudicated
IJGGC-V2-WP8-R2-FULL-57-PAPER-REVIEW-2026-07-30,full_57_paper_independent_review_with_author_adjudication,main_claim_eligible_conservative,ALL,physical_consistency_score,57,57,0,11,4,32,10,42,0.737,0.610,0.834,3.0,0,0,0,0,0,full_57_paper_independent_review_completed_and_author_adjudicated
IJGGC-V2-WP8-R2-FULL-57-PAPER-REVIEW-2026-07-30,full_57_paper_independent_review_with_author_adjudication,main_claim_eligible_conservative,ALL,uncertainty_score,57,56,24,9,9,10,4,14,0.250,0.155,0.377,1.0,0,1,0,0,1,full_57_paper_independent_review_completed_and_author_adjudicated
IJGGC-V2-WP8-R2-FULL-57-PAPER-REVIEW-2026-07-30,full_57_paper_independent_review_with_author_adjudication,main_claim_eligible_conservative,ALL,transferability_score,57,56,33,6,10,7,0,7,0.125,0.062,0.236,0.0,0,1,0,0,1,full_57_paper_independent_review_completed_and_author_adjudicated
IJGGC-V2-WP8-R2-FULL-57-PAPER-REVIEW-2026-07-30,full_57_paper_independent_review_with_author_adjudication,main_claim_eligible_conservative,ALL,decision_readiness_score,57,57,0,15,31,9,2,11,0.193,0.111,0.313,2.0,0,0,0,0,0,full_57_paper_independent_review_completed_and_author_adjudicated
IJGGC-V2-WP8-R2-FULL-57-PAPER-REVIEW-2026-07-30,full_57_paper_independent_review_with_author_adjudication,main_claim_eligible_conservative,Cross-cutting and other,field_evidence_score,1,1,0,1,0,0,0,0,0.000,0.000,0.793,1.0,0,0,0,0,0,full_57_paper_independent_review_completed_and_author_adjudicated
IJGGC-V2-WP8-R2-FULL-57-PAPER-REVIEW-2026-07-30,full_57_paper_independent_review_with_author_adjudication,main_claim_eligible_conservative,Cross-cutting and other,physical_consistency_score,1,1,0,0,0,1,0,1,1.000,0.207,1.000,3.0,0,0,0,0,0,full_57_paper_independent_review_completed_and_author_adjudicated
IJGGC-V2-WP8-R2-FULL-57-PAPER-REVIEW-2026-07-30,full_57_paper_independent_review_with_author_adjudication,main_claim_eligible_conservative,Cross-cutting and other,uncertainty_score,1,1,0,1,0,0,0,0,0.000,0.000,0.793,1.0,0,0,0,0,0,full_57_paper_independent_review_completed_and_author_adjudicated
IJGGC-V2-WP8-R2-FULL-57-PAPER-REVIEW-2026-07-30,full_57_paper_independent_review_with_author_adjudication,main_claim_eligible_conservative,Cross-cutting and other,transferability_score,1,1,1,0,0,0,0,0,0.000,0.000,0.793,0.0,0,0,0,0,0,full_57_paper_independent_review_completed_and_author_adjudicated
IJGGC-V2-WP8-R2-FULL-57-PAPER-REVIEW-2026-07-30,full_57_paper_independent_review_with_author_adjudication,main_claim_eligible_conservative,Cross-cutting and other,decision_readiness_score,1,1,0,1,0,0,0,0,0.000,0.000,0.793,1.0,0,0,0,0,0,full_57_paper_independent_review_completed_and_author_adjudicated
